date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/27/2021,@ Oklahoma,3-2,5.0,52.0,36.0,159.0,0.101,43.0,5.0,8.0,68.0,3.0,2.0,18.0,3.0,68.0,2.0,Oklahoma,5,10.4,7.2,31.8,8.6,1.0,1.6,13.6,0.4,3.6,0.6,13.6
08/28/2021,"Houston @ Norman, OK",1-3,4.0,48.0,12.0,136.0,0.265,43.0,5.0,10.0,53.0,4.0,5.0,20.0,0.0,68.0,2.0,Houston,4,12.0,3.0,34.0,10.75,1.25,2.5,13.25,1.25,5.0,0.0,17.0
09/03/2021,"LSU @ State College, PA",1-3,4.0,59.0,27.0,165.0,0.194,57.0,6.0,10.0,78.0,3.0,1.0,12.0,2.0,72.0,0.0,LSU,4,14.75,6.75,41.25,14.25,1.5,2.5,19.5,0.25,3.0,0.5,18.0
09/04/2021,@ Penn St.,0-3,3.0,39.0,14.0,96.0,0.26,38.0,3.0,6.0,49.0,9.0,2.0,6.0,1.0,47.0,3.0,Penn St.,3,13.0,4.666666666666667,32.0,12.666666666666666,1.0,2.0,16.333333333333332,0.6666666666666666,2.0,0.3333333333333333,15.666666666666666
09/04/2021,"Iowa St. @ State College, PA",0-3,3.0,37.0,23.0,115.0,0.122,33.0,3.0,4.0,45.0,4.0,0.0,10.0,3.0,45.0,0.0,Iowa St.,3,12.333333333333334,7.666666666666667,38.333333333333336,11.0,1.0,1.3333333333333333,15.0,0.0,3.3333333333333335,1.0,15.0
09/10/2021,"UAB @ Fort Collins, CO",0-3,3.0,40.0,18.0,105.0,0.21,38.0,4.0,7.0,39.0,5.0,2.0,4.0,0.0,48.0,2.0,UAB,3,13.333333333333334,6.0,35.0,12.666666666666666,1.3333333333333333,2.3333333333333335,13.0,0.6666666666666666,1.3333333333333333,0.0,16.0
09/10/2021,@ Colorado St.,2-3,5.0,56.0,28.0,162.0,0.173,45.0,7.0,15.0,62.0,10.0,2.0,26.0,4.0,78.0,0.0,Colorado St.,5,11.2,5.6,32.4,9.0,1.4,3.0,12.4,0.4,5.2,0.8,15.6
09/11/2021,"SIUE @ Fort Collins, CO",3-0,3.0,42.0,21.0,111.0,0.189,42.0,4.0,5.0,58.0,4.0,3.0,10.0,0.0,54.0,3.0,SIUE,3,14.0,7.0,37.0,14.0,1.3333333333333333,1.6666666666666667,19.333333333333332,1.0,3.3333333333333335,0.0,18.0
09/17/2021,"Santa Clara @ Boise, ID",0-3,3.0,34.0,31.0,125.0,0.024,31.0,3.0,4.0,46.0,4.0,0.0,16.0,2.0,45.0,0.0,Santa Clara,3,11.333333333333334,10.333333333333334,41.666666666666664,10.333333333333334,1.0,1.3333333333333333,15.333333333333334,0.0,5.333333333333333,0.6666666666666666,15.0
09/18/2021,@ Boise St.,0-3,3.0,29.0,18.0,75.0,0.147,28.0,1.0,6.0,25.0,6.0,1.0,0.0,3.0,31.0,1.0,Boise St.,3,9.666666666666666,6.0,25.0,9.333333333333334,0.3333333333333333,2.0,8.333333333333334,0.3333333333333333,0.0,1.0,10.333333333333334
09/22/2021,@ Oregon,0-3,3.0,26.0,16.0,107.0,0.093,25.0,2.0,7.0,44.0,7.0,0.0,6.0,2.0,31.0,0.0,Oregon,3,8.666666666666666,5.333333333333333,35.666666666666664,8.333333333333334,0.6666666666666666,2.3333333333333335,14.666666666666666,0.0,2.0,0.6666666666666666,10.333333333333334
