date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/27/2021,"San Jose St. @ Eugene, OR",1-3,4.0,55.0,16.0,146.0,0.267,49.0,4.0,12.0,61.0,12.0,1.0,14.0,5.0,67.0,0.0,San Jose St.
08/27/2021,@ Oregon,0-3,3.0,31.0,23.0,96.0,0.083,30.0,2.0,11.0,33.0,3.0,0.0,6.0,1.0,36.0,2.0,Oregon
08/28/2021,"Portland St. @ Eugene, OR",1-3,4.0,53.0,20.0,157.0,0.21,46.0,3.0,8.0,68.0,9.0,0.0,4.0,1.0,58.0,0.0,Portland St.
09/03/2021,"Nevada @ Davis, CA",3-0,3.0,48.0,4.0,84.0,0.524,41.0,6.0,13.0,32.0,2.0,0.0,10.0,1.0,59.0,1.0,Nevada
09/04/2021,@ UC Davis,1-3,4.0,45.0,17.0,119.0,0.235,38.0,4.0,18.0,37.0,8.0,0.0,8.0,3.0,53.0,0.0,UC Davis
09/10/2021,"South Carolina @ Kennesaw, GA",3-1,4.0,55.0,15.0,133.0,0.301,50.0,12.0,12.0,54.0,4.0,0.0,8.0,0.0,71.0,1.0,South Carolina
09/11/2021,"Clemson @ Kennesaw, GA",3-1,4.0,52.0,21.0,142.0,0.218,44.0,10.0,12.0,54.0,5.0,1.0,16.0,1.0,71.0,4.0,Clemson
09/12/2021,@ Auburn,2-3,5.0,69.0,29.0,186.0,0.215,63.0,12.0,11.0,79.0,5.0,1.0,4.0,1.0,84.0,0.0,Auburn
09/16/2021,@ Boise St.,0-3,3.0,42.0,18.0,117.0,0.205,42.0,3.0,5.0,50.0,11.0,0.0,6.0,1.0,48.0,1.0,Boise St.
09/17/2021,"Oregon St. @ Boise, ID",3-0,3.0,36.0,18.0,104.0,0.173,34.0,4.0,6.0,49.0,3.0,2.0,24.0,0.0,54.0,1.0,Oregon St.
09/23/2021,LMU (CA),1-3,4.0,47.0,19.0,126.0,0.222,44.0,9.0,6.0,49.0,5.0,1.0,12.0,2.0,63.0,0.0,LMU 
09/25/2021,Pepperdine,2-3,5.0,60.0,25.0,151.0,0.232,58.0,10.0,9.0,59.0,3.0,1.0,31.0,0.0,86.5,2.0,Pepperdine
09/28/2021,@ Saint Mary's (CA),2-3,5.0,55.0,27.0,142.0,0.197,52.0,10.0,10.0,55.0,9.0,1.0,26.0,1.0,79.0,2.0,Saint Mary's 
09/30/2021,BYU,0-3,3.0,29.0,21.0,100.0,0.08,29.0,3.0,8.0,35.0,3.0,1.0,4.0,2.0,35.0,0.0,BYU
10/02/2021,San Diego,1-3,4.0,44.0,25.0,138.0,0.138,41.0,5.0,12.0,58.0,2.0,0.0,4.0,3.0,51.0,3.0,San Diego
10/09/2021,San Francisco,3-0,3.0,34.0,10.0,81.0,0.296,31.0,12.0,4.0,37.0,1.0,0.0,8.0,4.0,50.0,0.0,San Francisco
10/14/2021,@ Portland,3-2,5.0,50.0,22.0,139.0,0.201,45.0,10.0,14.0,66.0,14.0,5.0,18.0,0.0,74.0,4.0,Portland
10/16/2021,@ Gonzaga,3-0,3.0,39.0,14.0,105.0,0.238,33.0,6.0,4.0,52.0,3.0,1.0,12.0,3.0,52.0,2.0,Gonzaga
10/21/2021,Pacific,3-1,4.0,56.0,16.0,129.0,0.31,55.0,6.0,13.0,51.0,5.0,0.0,10.0,3.0,67.0,0.0,Pacific
10/23/2021,Saint Mary's (CA),2-3,5.0,61.0,16.0,155.0,0.29,57.0,6.0,9.0,74.0,6.0,0.0,18.0,2.0,76.0,1.0,Saint Mary's 
10/28/2021,@ San Diego,0-3,3.0,37.0,24.0,104.0,0.125,31.0,1.0,5.0,38.0,5.0,0.0,0.0,0.0,38.0,0.0,San Diego
10/30/2021,@ BYU,0-3,3.0,28.0,19.0,100.0,0.09,27.0,1.0,4.0,38.0,4.0,1.0,4.0,2.0,32.0,0.0,BYU
11/06/2021,@ San Francisco,3-1,4.0,49.0,20.0,156.0,0.186,43.0,9.0,8.0,78.0,3.0,8.0,0.0,0.0,66.0,1.0,San Francisco
11/11/2021,Gonzaga,3-0,3.0,47.0,11.0,84.0,0.429,45.0,9.0,9.0,32.0,2.0,2.0,8.0,0.0,62.0,0.0,Gonzaga
11/18/2021,@ LMU (CA),3-1,4.0,49.0,15.0,123.0,0.276,44.0,10.0,11.0,33.0,8.0,2.0,4.0,0.0,63.0,0.0,LMU 
11/20/2021,@ Pepperdine,0-3,3.0,33.0,18.0,93.0,0.161,31.0,5.0,8.0,31.0,2.0,0.0,12.0,2.0,44.0,0.0,Pepperdine
11/23/2021,@ Pacific,3-1,4.0,43.0,14.0,120.0,0.242,41.0,4.0,10.0,56.0,10.0,2.0,20.0,1.0,59.0,1.0,Pacific
