date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/27/2021,@ Mercer,0-3,3.0,36.0,20.0,134.0,0.119,34.0,1.0,4.0,75.0,1.0,1.0,6.0,0.0,41.0,2.0,Mercer,3,12.0,6.666666666666667,44.66666666666666,11.333333333333334,0.3333333333333333,1.3333333333333333,25.0,0.3333333333333333,2.0,0.0,13.666666666666666,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2021,"Murray St. @ Macon,, Ga",1-3,4.0,45.0,18.0,168.0,0.161,44.0,6.0,3.0,75.0,6.0,3.0,12.0,3.0,60.0,1.0,Murray St.,4,11.25,4.5,42.0,11.0,1.5,0.75,18.75,0.75,3.0,0.75,15.0,,6.0,,3.3333333333333335,,22.33333333333333,,0.0595,,5.666666666666667,,0.16666666666666666,,0.6666666666666666,,12.5,,0.16666666666666666,,1.0,,0.0,,6.833333333333333
08/28/2021,"New Hampshire @ Macon, Ga.",1-3,4.0,47.0,31.0,165.0,0.097,44.0,9.0,6.0,84.0,7.0,6.0,8.0,2.0,66.0,1.0,New Hampshire,4,11.75,7.75,41.25,11.0,2.25,1.5,21.0,1.5,2.0,0.5,16.5,,7.75,,3.7222222222222228,,28.888888888888886,,0.09333333333333334,,7.4444444444444455,,0.611111111111111,,0.6944444444444443,,14.583333333333334,,0.3611111111111111,,1.6666666666666667,,0.25,,9.555555555555555
09/03/2021,@ Fla. Atlantic,1-3,4.0,31.0,14.0,113.0,0.15,31.0,5.0,3.0,46.0,5.0,9.0,2.0,0.0,46.0,1.0,Fla. Atlantic,4,7.75,3.5,28.25,7.75,1.25,0.75,11.5,2.25,0.5,0.0,11.5,11.666666666666666,8.75,6.305555555555556,4.729166666666667,42.638888888888886,31.979166666666664,0.12566666666666668,0.09425,11.111111111111112,8.333333333333334,1.361111111111111,1.0208333333333333,1.1944444444444444,0.8958333333333333,21.583333333333332,16.1875,0.861111111111111,0.6458333333333333,2.3333333333333335,1.75,0.4166666666666667,0.3125,15.055555555555555,11.291666666666666
09/03/2021,"Bethune-Cookman @ Boca Raton, FL",3-1,4.0,65.0,23.0,125.0,0.336,59.0,7.0,7.0,49.0,2.0,1.0,4.0,0.0,75.0,1.0,Bethune-Cookman,4,16.25,5.75,31.25,14.75,1.75,1.75,12.25,0.25,1.0,0.0,18.75,10.25,8.55,5.25,4.483333333333333,37.166666666666664,31.23333333333333,0.136,0.10540000000000001,9.916666666666666,8.216666666666667,1.6666666666666667,1.0666666666666667,1.0,0.8666666666666666,17.083333333333332,15.25,1.5,0.9666666666666666,1.8333333333333333,1.5,0.4166666666666667,0.25,14.333333333333334,11.333333333333332
09/04/2021,@ Fla. Atlantic,0-3,3.0,34.0,19.0,103.0,0.146,34.0,6.0,3.0,48.0,9.0,1.0,4.0,0.0,43.0,0.0,Fla. Atlantic,3,11.333333333333334,6.333333333333333,34.333333333333336,11.333333333333334,2.0,1.0,16.0,0.3333333333333333,1.3333333333333333,0.0,14.333333333333334,11.916666666666666,9.833333333333334,5.666666666666667,4.694444444444445,33.583333333333336,31.23611111111111,0.19433333333333333,0.14383333333333334,11.166666666666666,9.305555555555555,1.75,1.1805555555555556,1.3333333333333333,1.0138888888888888,14.916666666666666,14.75,1.3333333333333333,0.8472222222222222,1.1666666666666667,1.4166666666666667,0.16666666666666666,0.20833333333333334,15.583333333333334,12.569444444444443
09/10/2021,"Presbyterian @ Atlanta, GA",3-2,5.0,55.0,19.0,170.0,0.212,54.0,8.0,3.0,86.0,14.0,2.0,12.0,1.0,71.0,0.0,Presbyterian,5,11.0,3.8,34.0,10.8,1.6,0.6,17.2,0.4,2.4,0.2,14.2,11.777777777777779,10.047619047619047,5.194444444444444,4.928571428571429,31.277777777777782,31.678571428571427,0.21066666666666667,0.14414285714285713,11.277777777777777,9.595238095238097,1.6666666666666667,1.2976190476190474,1.1666666666666667,1.0119047619047619,13.25,14.928571428571429,0.9444444444444445,0.7738095238095237,0.9444444444444443,1.4047619047619049,0.0,0.17857142857142858,14.861111111111112,12.82142857142857
09/10/2021,@ Georgia St.,3-1,4.0,57.0,24.0,164.0,0.201,57.0,1.0,2.0,77.0,4.0,4.0,22.0,1.0,73.0,0.0,Georgia St.,4,14.25,6.0,41.0,14.25,0.25,0.5,19.25,1.0,5.5,0.25,18.25,12.861111111111112,10.166666666666666,5.294444444444444,4.7875,33.19444444444445,31.96875,0.2313333333333333,0.15262499999999998,12.294444444444444,9.745833333333334,1.7833333333333332,1.3354166666666665,1.1166666666666667,0.9604166666666666,15.15,15.2125,0.3277777777777778,0.7270833333333333,1.5777777777777777,1.5291666666666668,0.06666666666666667,0.18125,15.761111111111111,12.993749999999999
09/11/2021,"Alcorn @ Atlanta, GA",3-0,3.0,44.0,15.0,111.0,0.261,41.0,6.0,4.0,47.0,0.0,2.0,4.0,0.0,54.0,1.0,Alcorn,3,14.666666666666666,5.0,37.0,13.666666666666666,2.0,1.3333333333333333,15.666666666666666,0.6666666666666666,1.3333333333333333,0.0,18.0,12.194444444444445,10.62037037037037,5.377777777777777,4.922222222222222,36.44444444444445,32.97222222222222,0.18633333333333332,0.158,12.127777777777778,10.246296296296297,1.2833333333333332,1.2148148148148146,0.7000000000000001,0.9092592592592593,17.483333333333334,15.66111111111111,0.5777777777777778,0.7574074074074074,3.077777777777778,1.9703703703703705,0.15,0.18888888888888888,15.594444444444443,13.577777777777776
09/17/2021,South Fla.,1-3,4.0,48.0,27.0,155.0,0.135,46.0,3.0,6.0,72.0,5.0,3.0,4.0,2.0,56.0,1.0,South Fla.,4,12.0,6.75,38.75,11.5,0.75,1.5,18.0,0.75,1.0,0.5,14.0,13.305555555555555,11.025,4.933333333333334,4.93,37.333333333333336,33.375,0.22466666666666665,0.16829999999999998,12.905555555555557,10.588333333333335,1.2833333333333332,1.2933333333333332,0.811111111111111,0.9516666666666668,17.372222222222224,15.661666666666665,0.688888888888889,0.7483333333333333,3.077777777777778,1.9066666666666667,0.15,0.16999999999999998,16.816666666666666,14.02
