date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/27/2021,"Marquette @ Honolulu, HI",2-3,5.0,56.0,27.0,153.0,0.19,55.0,9.0,9.0,68.0,9.0,0.0,12.0,2.0,71.0,0.0,Marquette
08/28/2021,"Fairfield @ Honolulu, HI",3-0,3.0,45.0,21.0,106.0,0.226,40.0,6.0,7.0,49.0,2.0,0.0,10.0,1.0,56.0,0.0,Fairfield
08/29/2021,@ Hawaii,0-3,3.0,43.0,15.0,122.0,0.23,42.0,3.0,8.0,52.0,4.0,2.0,10.0,0.0,53.0,0.0,Hawaii
09/01/2021,@ Cal Poly,3-2,5.0,61.0,25.0,155.0,0.232,57.0,5.0,20.0,62.0,10.0,5.0,20.0,1.0,81.0,2.0,Cal Poly
09/06/2021,A&M-Corpus Christi,3-0,3.0,44.0,13.0,123.0,0.252,43.0,8.0,3.0,64.0,5.0,1.0,14.0,2.0,60.0,1.0,A&M-Corpus Christi
09/10/2021,Houston,3-1,4.0,69.0,28.0,168.0,0.244,68.0,2.0,14.0,80.0,9.0,2.0,14.0,0.0,80.0,0.0,Houston
09/11/2021,UAlbany,3-0,3.0,38.0,13.0,97.0,0.258,31.0,6.0,5.0,50.0,3.0,0.0,8.0,5.0,48.0,0.0,UAlbany
09/11/2021,UTSA,3-0,3.0,53.0,14.0,127.0,0.307,49.0,3.0,2.0,73.0,1.0,0.0,12.0,2.0,62.0,0.0,UTSA
09/14/2021,@ Texas St.,3-0,3.0,49.0,18.0,126.0,0.246,42.0,5.0,9.0,56.0,5.0,1.0,12.0,1.0,61.0,0.0,Texas St.
09/17/2021,Texas,1-3,4.0,55.0,27.0,157.0,0.178,48.0,5.0,10.0,62.0,5.0,3.0,8.0,1.0,67.0,0.0,Texas
09/22/2021,@ Alabama,3-1,4.0,58.0,21.0,142.0,0.261,55.0,7.0,7.0,68.0,4.0,1.0,12.0,1.0,72.0,2.0,Alabama
09/26/2021,South Carolina,3-0,3.0,43.0,16.0,111.0,0.243,38.0,4.0,7.0,46.0,5.0,1.0,12.0,0.0,54.0,0.0,South Carolina
10/02/2021,@ Tennessee,0-3,3.0,34.0,25.0,113.0,0.08,32.0,1.0,5.0,38.0,8.0,1.0,10.0,0.0,41.0,0.0,Tennessee
10/03/2021,@ Tennessee,3-2,5.0,67.0,28.0,187.0,0.209,64.0,4.0,10.0,79.0,7.0,3.0,28.0,1.0,88.0,1.0,Tennessee
10/07/2021,Georgia,0-3,3.0,29.0,24.0,113.0,0.044,28.0,0.0,7.0,54.0,6.0,1.0,12.0,3.0,36.0,2.0,Georgia
10/08/2021,Georgia,3-2,5.0,65.0,29.0,187.0,0.193,59.0,8.0,13.0,85.0,10.0,3.0,22.0,2.0,87.0,5.0,Georgia
10/13/2021,Ole Miss,2-3,5.0,62.0,35.0,196.0,0.138,50.0,6.0,3.0,93.0,7.0,3.0,10.0,1.0,76.0,0.0,Ole Miss
10/16/2021,@ Florida,0-3,3.0,31.0,22.0,95.0,0.095,29.0,2.0,2.0,31.0,4.0,0.0,2.0,2.0,34.0,0.0,Florida
10/23/2021,@ Mississippi St.,1-3,4.0,46.0,18.0,141.0,0.199,40.0,6.0,9.0,68.0,8.0,1.0,12.0,5.0,59.0,0.0,Mississippi St.
10/24/2021,@ Mississippi St.,1-3,4.0,47.0,27.0,137.0,0.146,46.0,4.0,13.0,47.0,3.0,0.0,12.0,1.0,57.0,0.0,Mississippi St.
11/04/2021,Auburn,3-2,5.0,68.0,30.0,193.0,0.197,64.0,6.0,4.0,96.0,9.0,2.0,23.0,1.0,87.5,0.0,Auburn
11/05/2021,Auburn,2-3,5.0,58.0,31.0,198.0,0.136,54.0,9.0,8.0,102.0,11.0,1.0,8.0,3.0,72.0,0.0,Auburn
11/13/2021,@ Kentucky,0-3,3.0,36.0,14.0,94.0,0.234,32.0,1.0,4.0,35.0,13.0,1.0,0.0,1.0,38.0,2.0,Kentucky
11/14/2021,@ Kentucky,0-3,3.0,19.0,23.0,96.0,-0.042,18.0,1.0,6.0,34.0,5.0,1.0,6.0,0.0,24.0,1.0,Kentucky
11/17/2021,Arkansas,0-3,3.0,32.0,9.0,113.0,0.204,30.0,0.0,6.0,55.0,8.0,2.0,10.0,1.0,39.0,0.0,Arkansas
11/21/2021,@ LSU,2-3,5.0,62.0,32.0,155.0,0.194,59.0,7.0,16.0,61.0,9.0,0.0,10.0,2.0,74.0,2.0,LSU
11/26/2021,Missouri,3-1,4.0,62.0,15.0,156.0,0.301,59.0,4.0,6.0,82.0,5.0,3.0,6.0,4.0,72.0,0.0,Missouri
11/27/2021,Missouri,3-0,3.0,43.0,16.0,116.0,0.233,40.0,5.0,3.0,61.0,4.0,1.0,6.0,2.0,52.0,0.0,Missouri
