date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/27/2021,"Elon @ Blacksburg, VA",3-0,3.0,41.0,11.0,87.0,0.345,37.0,10.0,5.0,32.0,3.0,3.0,6.0,4.0,57.0,0.0,Elon
08/27/2021,@ Virginia Tech,0-3,3.0,43.0,23.0,126.0,0.159,36.0,3.0,9.0,46.0,4.0,1.0,8.0,0.0,51.0,2.0,Virginia Tech
08/28/2021,"Lehigh @ Blacksburg, VA",3-1,4.0,56.0,15.0,116.0,0.353,53.0,10.0,7.0,54.0,4.0,3.0,13.0,1.0,75.5,2.0,Lehigh
09/03/2021,"Western Ill. @ Indianapolis, IN",3-0,3.0,38.0,9.0,86.0,0.337,35.0,9.0,7.0,45.0,3.0,2.0,6.0,2.0,52.0,0.0,Western Ill.
09/04/2021,"Chattanooga @ Indianapolis, IN",3-2,5.0,71.0,36.0,189.0,0.185,66.0,8.0,8.0,82.0,2.0,1.0,14.0,1.0,87.0,0.0,Chattanooga
09/04/2021,@ IUPUI,3-0,3.0,41.0,14.0,107.0,0.252,39.0,3.0,6.0,49.0,4.0,3.0,12.0,3.0,53.0,1.0,IUPUI
09/10/2021,South Dakota St.,3-2,5.0,63.0,31.0,159.0,0.201,61.0,11.0,9.0,58.0,0.0,4.0,16.0,3.0,86.0,0.0,South Dakota St.
09/11/2021,Valparaiso,2-3,5.0,62.0,31.0,189.0,0.164,56.0,7.0,3.0,85.0,2.0,9.0,16.0,2.0,86.0,1.0,Valparaiso
09/11/2021,Youngstown St.,3-0,3.0,46.0,14.0,110.0,0.291,43.0,6.0,6.0,55.0,2.0,3.0,6.0,0.0,58.0,0.0,Youngstown St.
09/14/2021,@ Purdue Fort Wayne,3-0,3.0,46.0,20.0,122.0,0.213,46.0,2.0,3.0,53.0,2.0,3.0,8.0,5.0,55.0,0.0,Purdue Fort Wayne
09/17/2021,@ Morehead St.,0-3,3.0,39.0,18.0,102.0,0.206,35.0,5.0,5.0,32.0,6.0,1.0,6.0,4.0,48.0,0.0,Morehead St.
09/18/2021,"Marshall @ Morehead, KY",3-1,4.0,61.0,24.0,165.0,0.224,59.0,4.0,11.0,81.0,4.0,2.0,14.0,2.0,74.0,2.0,Marshall
09/24/2021,@ Ohio,0-3,3.0,26.0,19.0,111.0,0.063,23.0,3.0,6.0,50.0,4.0,5.0,10.0,0.0,39.0,1.0,Ohio
09/25/2021,@ Ohio,3-0,3.0,44.0,14.0,100.0,0.3,40.0,5.0,5.0,42.0,2.0,1.0,10.0,4.0,55.0,1.0,Ohio
10/01/2021,Kent St.,3-0,3.0,36.0,25.0,127.0,0.087,32.0,10.0,7.0,69.0,2.0,3.0,16.0,1.0,57.0,0.0,Kent St.
10/02/2021,Kent St.,3-0,3.0,43.0,18.0,109.0,0.229,40.0,3.0,4.0,51.0,5.0,2.0,16.0,2.0,56.0,0.0,Kent St.
10/08/2021,@ Buffalo,3-0,3.0,46.0,9.0,96.0,0.385,42.0,7.0,3.0,37.0,4.0,3.0,10.0,0.0,61.0,1.0,Buffalo
10/09/2021,@ Akron,3-0,3.0,41.0,9.0,110.0,0.291,35.0,5.0,6.0,54.0,3.0,1.0,10.0,1.0,52.0,0.0,Akron
10/15/2021,Western Mich.,2-3,5.0,56.0,26.0,160.0,0.188,55.0,7.0,6.0,67.0,8.0,3.0,14.0,2.0,73.0,1.0,Western Mich.
10/16/2021,Western Mich.,3-1,4.0,61.0,23.0,149.0,0.255,56.0,9.0,5.0,68.0,10.0,2.0,14.0,2.0,79.0,1.0,Western Mich.
10/19/2021,@ Ball St.,1-3,4.0,57.0,27.0,154.0,0.195,55.0,1.0,9.0,70.0,4.0,4.0,18.0,2.0,71.0,0.0,Ball St.
10/22/2021,@ NIU,1-3,4.0,53.0,26.0,165.0,0.164,49.0,3.0,12.0,75.0,6.0,3.0,20.0,0.0,69.0,0.0,NIU
10/23/2021,@ NIU,3-0,3.0,45.0,12.0,112.0,0.295,39.0,2.0,5.0,53.0,1.0,0.0,22.0,2.0,58.0,1.0,NIU
10/29/2021,Miami (OH),1-3,4.0,49.0,35.0,155.0,0.09,44.0,8.0,6.0,71.0,1.0,0.0,16.0,3.0,65.0,0.0,Miami 
10/30/2021,Bowling Green,1-3,4.0,59.0,28.0,170.0,0.182,58.0,2.0,5.0,82.0,6.0,3.0,14.0,4.0,71.0,0.0,Bowling Green
11/05/2021,Eastern Mich.,3-0,3.0,43.0,15.0,103.0,0.272,41.0,5.0,3.0,45.0,4.0,2.0,6.0,1.0,53.0,0.0,Eastern Mich.
11/06/2021,Eastern Mich.,3-1,4.0,53.0,22.0,134.0,0.231,52.0,12.0,5.0,66.0,2.0,2.0,4.0,3.0,69.0,1.0,Eastern Mich.
11/12/2021,@ Central Mich.,1-3,4.0,39.0,26.0,155.0,0.084,37.0,7.0,5.0,77.0,2.0,1.0,20.0,0.0,57.0,0.0,Central Mich.
11/13/2021,@ Central Mich.,3-1,4.0,57.0,16.0,158.0,0.259,50.0,6.0,5.0,72.0,3.0,7.0,12.0,0.0,76.0,0.0,Central Mich.
11/17/2021,Ball St.,0-3,3.0,47.0,24.0,127.0,0.181,42.0,2.0,6.0,51.0,5.0,3.0,10.0,1.0,57.0,0.0,Ball St.
11/21/2021,"Western Mich. @ Muncie, IN",0-3,3.0,32.0,18.0,116.0,0.121,29.0,2.0,3.0,48.0,3.0,1.0,8.0,0.0,39.0,0.0,Western Mich.
12/02/2021,"Indiana St. @ Valparaiso, IN",3-2,5.0,65.0,30.0,155.0,0.226,63.0,10.0,8.0,57.0,5.0,0.0,20.0,5.0,85.0,1.0,Indiana St.
12/03/2021,@ Valparaiso,0-3,3.0,33.0,16.0,117.0,0.145,31.0,2.0,7.0,62.0,3.0,1.0,16.0,3.0,44.0,1.0,Valparaiso
