date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/27/2021,"UC Irvine @ Pocatello, ID",3-2,5.0,67.0,27.0,173.0,0.231,62.0,7.0,11.0,60.0,1.0,2.0,16.0,0.0,84.0,0.0,UC Irvine,5,13.4,5.4,34.6,12.4,1.4,2.2,12.0,0.4,3.2,0.0,16.8,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/28/2021,"Seattle U @ Pocatello, ID",3-0,3.0,42.0,11.0,83.0,0.373,39.0,7.0,7.0,33.0,0.0,2.0,6.0,0.0,54.0,0.0,Seattle U,3,14.0,3.6666666666666665,27.666666666666668,13.0,2.333333333333333,2.333333333333333,11.0,0.6666666666666666,2.0,0.0,18.0,,6.7,,2.7,,17.3,,0.1155,,6.2,,0.7,,1.1,,6.0,,0.2,,1.6,,0.0,,8.4
08/28/2021,@ Idaho St.,3-0,3.0,43.0,9.0,93.0,0.366,37.0,11.0,14.0,43.0,6.0,2.0,10.0,0.0,61.0,0.0,Idaho St.,3,14.333333333333334,3.0,31.0,12.333333333333334,3.6666666666666665,4.666666666666667,14.333333333333334,0.6666666666666666,3.333333333333333,0.0,20.33333333333333,,9.133333333333333,,3.022222222222222,,20.755555555555556,,0.20133333333333334,,8.466666666666667,,1.2444444444444442,,1.511111111111111,,7.666666666666667,,0.35555555555555557,,1.7333333333333334,,0.0,,11.6
09/03/2021,"Arizona @ Las Cruces, NM",3-2,5.0,63.0,25.0,171.0,0.222,58.0,11.0,13.0,68.0,3.0,1.0,16.0,2.0,83.0,1.0,Arizona,5,12.6,5.0,34.2,11.6,2.2,2.6,13.6,0.2,3.2,0.4,16.6,13.911111111111111,10.433333333333334,4.022222222222222,3.0166666666666666,31.08888888888889,23.316666666666666,0.3233333333333333,0.2425,12.577777777777778,9.433333333333334,2.4666666666666663,1.8499999999999999,3.0666666666666664,2.3,12.444444444444445,9.333333333333334,0.5777777777777778,0.43333333333333335,2.8444444444444446,2.1333333333333333,0.0,0.0,18.377777777777776,13.783333333333331
09/03/2021,Northwestern,3-0,3.0,40.0,15.0,105.0,0.238,37.0,10.0,13.0,30.0,2.0,0.0,22.0,2.0,61.0,0.0,Northwestern,3,13.333333333333334,5.0,35.0,12.333333333333334,3.333333333333333,4.333333333333333,10.0,0.0,7.333333333333333,0.6666666666666666,20.33333333333333,13.644444444444446,10.866666666666667,3.888888888888889,3.413333333333333,30.95555555555556,25.493333333333332,0.3203333333333333,0.2384,12.311111111111112,9.866666666666667,2.733333333333333,1.92,3.1999999999999997,2.36,12.97777777777778,10.186666666666667,0.5111111111111112,0.38666666666666666,2.8444444444444446,2.3466666666666667,0.13333333333333333,0.08,18.311111111111114,14.346666666666664
09/05/2021,New Mexico St.,3-2,5.0,59.0,21.0,161.0,0.236,52.0,7.0,14.0,65.0,7.0,4.0,14.0,4.0,77.0,0.0,New Mexico St.,5,11.8,4.2,32.2,10.4,1.4,2.8,13.0,0.8,2.8,0.8,15.4,13.422222222222222,11.277777777777779,4.333333333333333,3.6777777777777776,33.4,27.07777777777778,0.2753333333333333,0.2383333333333333,12.088888888888889,10.277777777777779,3.0666666666666664,2.1555555555555554,3.866666666666667,2.6888888888888887,12.644444444444446,10.155555555555557,0.2888888888888889,0.32222222222222224,4.622222222222223,3.1777777777777776,0.35555555555555557,0.17777777777777778,19.08888888888889,15.344444444444441
09/10/2021,"Grand Canyon @ Portland, OR",1-3,4.0,56.0,21.0,140.0,0.25,53.0,6.0,11.0,48.0,10.0,1.0,16.0,3.0,71.0,3.0,Grand Canyon,4,14.0,5.25,35.0,13.25,1.5,2.75,12.0,0.25,4.0,0.75,17.75,12.577777777777778,11.352380952380953,4.733333333333333,3.7523809523809524,33.800000000000004,27.809523809523814,0.23199999999999998,0.238,11.444444444444445,10.295238095238096,2.3111111111111113,2.047619047619048,3.244444444444445,2.704761904761905,12.199999999999998,10.561904761904762,0.3333333333333333,0.3904761904761905,4.444444444444445,3.123809523809524,0.6222222222222222,0.26666666666666666,17.444444444444446,15.352380952380951
09/10/2021,"Portland @ Portland, OR",3-0,3.0,39.0,13.0,90.0,0.289,37.0,4.0,12.0,41.0,2.0,0.0,17.0,2.0,51.5,1.0,Portland,3,13.0,4.333333333333333,30.0,12.333333333333334,1.3333333333333333,4.0,13.666666666666666,0.0,5.666666666666667,0.6666666666666666,17.166666666666668,13.044444444444444,11.683333333333334,4.816666666666666,3.939583333333333,34.06666666666666,28.708333333333336,0.24133333333333332,0.2395,11.994444444444445,10.664583333333335,2.0777777777777775,1.9791666666666667,3.2944444444444443,2.7104166666666667,11.666666666666666,10.741666666666667,0.3500000000000001,0.3729166666666667,4.711111111111111,3.2333333333333334,0.7388888888888889,0.32708333333333334,17.82777777777778,15.652083333333332
09/11/2021,@ Portland St.,3-1,4.0,61.0,18.0,145.0,0.297,55.0,11.0,8.0,60.0,7.0,0.0,16.0,4.0,80.0,2.0,Portland St.,4,15.25,4.5,36.25,13.75,2.75,2.0,15.0,0.0,4.0,1.0,20.0,12.933333333333332,11.829629629629629,4.594444444444444,3.9833333333333334,32.4,28.851851851851855,0.2583333333333333,0.245,11.994444444444445,10.850000000000001,1.4111111111111112,1.9074074074074074,3.1833333333333336,2.8537037037037036,12.888888888888888,11.066666666666668,0.3500000000000001,0.3314814814814815,4.155555555555556,3.503703703703704,0.7388888888888889,0.3648148148148148,16.772222222222226,15.82037037037037
09/17/2021,"Texas St. @ Corpus Christi, TX",0-3,3.0,39.0,12.0,98.0,0.276,34.0,7.0,9.0,34.0,5.0,3.0,16.0,1.0,57.0,5.0,Texas St.,3,13.0,4.0,32.666666666666664,11.333333333333334,2.333333333333333,3.0,11.333333333333334,1.0,5.333333333333333,0.3333333333333333,19.0,14.083333333333334,12.171666666666667,4.694444444444444,4.035,33.75,29.59166666666667,0.2786666666666667,0.25020000000000003,13.111111111111112,11.14,1.8611111111111114,1.9916666666666667,2.9166666666666665,2.7683333333333335,13.555555555555555,11.46,0.08333333333333337,0.29833333333333334,4.555555555555556,3.5533333333333332,0.8055555555555555,0.42833333333333334,18.305555555555557,16.238333333333333
09/17/2021,@ A&M-Corpus Christi,3-1,4.0,52.0,15.0,110.0,0.336,44.0,7.0,16.0,38.0,4.0,3.0,14.0,1.0,69.0,0.0,A&M-Corpus Christi,4,13.0,3.75,27.5,11.0,1.75,4.0,9.5,0.75,3.5,0.25,17.25,13.75,12.246969696969698,4.277777777777778,4.031818181818182,32.97222222222222,29.871212121212125,0.28733333333333333,0.2525454545454546,12.472222222222223,11.157575757575758,2.138888888888889,2.022727272727273,3.0,2.7893939393939395,13.333333333333334,11.44848484848485,0.3333333333333333,0.3621212121212121,5.0,3.7151515151515153,0.6666666666666666,0.4196969696969697,18.722222222222225,16.48939393939394
09/18/2021,"Tarleton St. @ Corpus Christi, TX",3-1,4.0,64.0,25.0,147.0,0.265,54.0,9.0,13.0,55.0,2.0,1.0,12.0,0.0,80.0,0.0,Tarleton St.,4,16.0,6.25,36.75,13.5,2.25,3.25,13.75,0.25,3.0,0.0,20.0,13.75,12.309722222222222,4.083333333333333,4.008333333333334,32.138888888888886,29.673611111111114,0.303,0.2595,12.027777777777779,11.144444444444446,2.277777777777778,2.0,3.0,2.890277777777778,11.944444444444445,11.286111111111111,0.5833333333333334,0.39444444444444443,4.277777777777778,3.6972222222222224,0.5277777777777778,0.4055555555555555,18.75,16.552777777777777
09/23/2021,@ UTRGV,3-1,4.0,63.0,33.0,168.0,0.179,61.0,4.0,10.0,64.0,5.0,0.0,26.0,0.0,80.0,0.0,UTRGV,4,15.75,8.25,42.0,15.25,1.0,2.5,16.0,0.0,6.5,0.0,20.0,14.0,12.593589743589744,4.666666666666667,4.180769230769231,32.30555555555555,30.217948717948723,0.29233333333333333,0.259923076923077,11.944444444444445,11.325641025641026,2.111111111111111,2.019230769230769,3.4166666666666665,2.9179487179487182,11.527777777777779,11.475641025641027,0.6666666666666666,0.38333333333333336,3.944444444444444,3.6435897435897435,0.1944444444444445,0.3743589743589743,18.75,16.817948717948717
