date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/27/2021,Lehigh,3-2,5.0,54.0,23.0,138.0,0.225,48.0,8.0,12.0,63.0,6.0,2.0,12.0,1.0,70.0,2.0,Lehigh,5,10.8,4.6,27.6,9.6,1.6,2.4,12.6,0.4,2.4,0.2,14.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2021,Toledo,3-0,3.0,36.0,12.0,98.0,0.245,33.0,4.0,4.0,47.0,3.0,1.0,12.0,0.0,47.0,1.0,Toledo,3,12.0,4.0,32.666666666666664,11.0,1.3333333333333333,1.3333333333333333,15.666666666666666,0.3333333333333333,4.0,0.0,15.666666666666666,,5.4,,2.3,,13.8,,0.1125,,4.8,,0.8,,1.2,,6.3,,0.2,,1.2,,0.1,,7.0
08/28/2021,Elon,3-1,4.0,58.0,17.0,144.0,0.285,53.0,5.0,9.0,58.0,4.0,2.0,6.0,2.0,68.0,1.0,Elon,4,14.5,4.25,36.0,13.25,1.25,2.25,14.5,0.5,1.5,0.5,17.0,,7.6000000000000005,,2.8666666666666667,,20.08888888888889,,0.15666666666666665,,6.866666666666667,,0.9777777777777779,,1.2444444444444445,,9.422222222222222,,0.24444444444444446,,2.1333333333333333,,0.06666666666666667,,9.888888888888888
09/03/2021,"Georgia St. @ Jacksonville, FL",3-2,5.0,58.0,26.0,191.0,0.168,53.0,9.0,9.0,92.0,3.0,1.0,18.0,6.0,77.0,4.0,Georgia St.,5,11.6,5.2,38.2,10.6,1.8,1.8,18.4,0.2,3.6,1.2,15.4,12.433333333333332,9.325,4.283333333333333,3.2125,32.08888888888889,24.066666666666666,0.25166666666666665,0.18874999999999997,11.283333333333333,8.4625,1.3944444444444446,1.0458333333333334,1.9944444444444445,1.4958333333333333,14.255555555555555,10.691666666666666,0.41111111111111115,0.30833333333333335,2.6333333333333333,1.975,0.2333333333333333,0.175,15.555555555555555,11.666666666666666
09/03/2021,@ North Florida,2-3,5.0,40.0,25.0,160.0,0.094,36.0,7.0,14.0,67.0,9.0,4.0,14.0,1.0,58.0,0.0,North Florida,5,8.0,5.0,32.0,7.2,1.4,2.8,13.4,0.8,2.8,0.2,11.6,12.700000000000001,9.78,4.483333333333333,3.6100000000000003,35.62222222222222,26.893333333333334,0.2326666666666667,0.1846,11.616666666666665,8.89,1.461111111111111,1.1966666666666668,1.7944444444444445,1.5566666666666666,16.188888888888886,12.233333333333333,0.3444444444444444,0.2866666666666667,3.033333333333333,2.3,0.5666666666666667,0.38,16.022222222222222,12.413333333333332
09/04/2021,"Davidson @ Jacksonville, Fla.",3-2,5.0,62.0,13.0,173.0,0.283,58.0,4.0,6.0,80.0,6.0,1.0,20.0,4.0,77.0,1.0,Davidson,5,12.4,2.6,34.6,11.6,0.8,1.2,16.0,0.2,4.0,0.8,15.4,11.366666666666667,9.483333333333333,4.816666666666666,3.841666666666667,35.4,27.744444444444444,0.18233333333333335,0.16949999999999998,10.35,8.608333333333334,1.4833333333333334,1.2305555555555554,2.2833333333333337,1.7638888888888886,15.433333333333332,12.427777777777777,0.5,0.37222222222222223,2.6333333333333333,2.3833333333333333,0.6333333333333333,0.35000000000000003,14.666666666666666,12.277777777777777
09/10/2021,"Troy @ Chattanooga, Tenn.",1-3,4.0,43.0,23.0,133.0,0.15,43.0,7.0,7.0,51.0,5.0,2.0,19.0,6.0,61.5,2.0,Troy,4,10.75,5.75,33.25,10.75,1.75,1.75,12.75,0.5,4.75,1.5,15.375,10.666666666666666,9.9,4.266666666666667,3.6642857142857146,34.93333333333334,28.723809523809525,0.18166666666666664,0.1857142857142857,9.799999999999999,9.035714285714286,1.3333333333333333,1.1690476190476191,1.9333333333333336,1.6833333333333331,15.933333333333332,12.938095238095238,0.4000000000000001,0.34761904761904766,3.466666666666667,2.6142857142857143,0.7333333333333334,0.4142857142857143,14.133333333333333,12.723809523809523
09/11/2021,@ Chattanooga,3-2,5.0,52.0,26.0,170.0,0.153,49.0,8.0,9.0,78.0,8.0,0.0,22.0,2.0,71.0,2.0,Chattanooga,5,10.4,5.2,34.0,9.8,1.6,1.8,15.6,0.0,4.4,0.4,14.2,10.383333333333333,10.00625,4.45,3.9250000000000003,33.28333333333333,29.289583333333333,0.17566666666666664,0.18124999999999997,9.85,9.25,1.3166666666666667,1.2416666666666667,1.916666666666667,1.6916666666666664,14.049999999999999,12.914583333333333,0.5000000000000001,0.3666666666666667,3.85,2.88125,0.8333333333333334,0.55,14.125,13.055208333333333
09/11/2021,"Tennessee Tech @ Chattanooga, TN",3-0,3.0,36.0,8.0,76.0,0.368,31.0,7.0,5.0,39.0,2.0,0.0,22.0,0.0,54.0,0.0,Tennessee Tech,3,12.0,2.6666666666666665,25.33333333333333,10.333333333333334,2.333333333333333,1.6666666666666667,13.0,0.0,7.333333333333333,0.0,18.0,11.183333333333332,10.05,4.516666666666667,4.066666666666666,33.949999999999996,29.812962962962963,0.19533333333333333,0.17811111111111108,10.716666666666669,9.31111111111111,1.3833333333333335,1.2814814814814814,1.5833333333333337,1.7037037037037035,14.783333333333333,13.212962962962962,0.2333333333333334,0.32592592592592595,4.383333333333334,3.0500000000000003,0.8999999999999999,0.5333333333333334,14.991666666666667,13.182407407407407
09/17/2021,George Mason,3-1,4.0,44.0,13.0,116.0,0.267,40.0,11.0,13.0,43.0,2.0,6.0,16.0,0.0,69.0,0.0,George Mason,4,11.0,3.25,29.0,10.0,2.75,3.25,10.75,1.5,4.0,0.0,17.25,11.049999999999999,10.245000000000001,4.538888888888889,3.9266666666666667,30.861111111111114,29.365,0.22366666666666668,0.19709999999999997,10.294444444444444,9.413333333333332,1.8944444444444446,1.3866666666666667,1.7388888888888892,1.7,13.783333333333333,13.191666666666666,0.16666666666666674,0.29333333333333333,5.4944444444444445,3.478333333333334,0.6333333333333333,0.4800000000000001,15.858333333333334,13.664166666666665
