date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,Washington,3-1,4.0,61.0,11.0,142.0,0.352,60.0,7.0,11.0,63.0,78.0,4.0,4.0,16.0,6.0,12.0,80.0,1.0,Washington,4,15.25,2.75,35.5,15.0,1.75,2.75,15.75,1.0,1.0,4.0,1.5,20.0
08/27/2022,Washington,1-3,4.0,53.0,16.0,158.0,0.234,44.0,5.0,5.0,55.0,90.0,9.0,1.0,12.0,3.0,7.0,65.0,1.0,Washington,4,13.25,4.0,39.5,11.0,1.25,1.25,13.75,2.25,0.25,3.0,0.75,16.25
09/01/2022,@ Colorado St.,3-0,3.0,49.0,14.0,110.0,0.318,46.0,3.0,6.0,48.0,51.0,3.0,2.0,20.0,1.0,12.0,64.0,1.0,Colorado St.,3,16.333333333333332,4.666666666666667,36.666666666666664,15.333333333333334,1.0,2.0,16.0,1.0,0.6666666666666666,6.666666666666667,0.3333333333333333,21.333333333333332
09/02/2022,"Alabama St. @ Fort Collins, CO",3-0,3.0,43.0,6.0,69.0,0.536,40.0,10.0,7.0,24.0,37.0,3.0,1.0,10.0,1.0,6.0,59.0,0.0,Alabama St.,3,14.333333333333334,2.0,23.0,13.333333333333334,3.3333333333333335,2.3333333333333335,8.0,1.0,0.3333333333333333,3.3333333333333335,0.3333333333333333,19.666666666666668
09/03/2022,"FGCU @ Fort Collins, CO",3-0,3.0,40.0,12.0,94.0,0.298,35.0,12.0,8.0,39.0,46.0,3.0,1.0,8.0,1.0,5.0,57.0,1.0,FGCU,3,13.333333333333334,4.0,31.333333333333332,11.666666666666666,4.0,2.6666666666666665,13.0,1.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,19.0
09/09/2022,Little Rock,3-0,3.0,46.0,13.0,106.0,0.311,43.0,8.0,3.0,55.0,39.0,2.0,1.0,12.0,2.0,7.0,61.0,1.0,Little Rock,3,15.333333333333334,4.333333333333333,35.333333333333336,14.333333333333334,2.6666666666666665,1.0,18.333333333333332,0.6666666666666666,0.3333333333333333,4.0,0.6666666666666666,20.333333333333332
09/09/2022,FIU,3-0,3.0,48.0,10.0,124.0,0.306,43.0,2.0,8.0,50.0,56.0,3.0,1.0,16.0,2.0,9.0,59.0,0.0,FIU,3,16.0,3.3333333333333335,41.333333333333336,14.333333333333334,0.6666666666666666,2.6666666666666665,16.666666666666668,1.0,0.3333333333333333,5.333333333333333,0.6666666666666666,19.666666666666668
09/11/2022,Colorado,3-0,3.0,42.0,13.0,118.0,0.246,40.0,7.0,8.0,66.0,46.0,1.0,2.0,21.0,2.0,12.5,61.5,0.0,Colorado,3,14.0,4.333333333333333,39.333333333333336,13.333333333333334,2.3333333333333335,2.6666666666666665,22.0,0.3333333333333333,0.6666666666666666,7.0,0.6666666666666666,20.5
09/15/2022,Georgia Tech,3-1,4.0,62.0,13.0,157.0,0.312,55.0,7.0,13.0,67.0,75.0,2.0,0.0,8.0,2.0,4.0,73.0,1.0,Georgia Tech,4,15.5,3.25,39.25,13.75,1.75,3.25,16.75,0.5,0.0,2.0,0.5,18.25
09/16/2022,NC State,3-1,4.0,59.0,23.0,169.0,0.213,57.0,3.0,13.0,78.0,78.0,2.0,1.0,24.0,6.0,13.0,75.0,0.0,NC State,4,14.75,5.75,42.25,14.25,0.75,3.25,19.5,0.5,0.25,6.0,1.5,18.75
