date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,UAB,3-1,4.0,57.0,17.0,141.0,0.284,50.0,3.0,14.0,65.0,80.0,4.0,3.0,12.0,0.0,9.0,69.0,0.0,UAB,4,14.25,4.25,35.25,12.5,0.75,3.5,16.25,1.0,0.75,3.0,0.0,17.25
08/27/2022,Xavier,2-3,5.0,56.0,24.0,155.0,0.206,53.0,11.0,13.0,55.0,99.0,2.0,4.0,2.0,0.0,5.0,72.0,3.0,Xavier,5,11.2,4.8,31.0,10.6,2.2,2.6,11.0,0.4,0.8,0.4,0.0,14.4
08/27/2022,Cleveland St.,3-1,4.0,65.0,19.0,152.0,0.303,60.0,2.0,13.0,67.0,78.0,5.0,3.0,8.0,0.0,7.0,74.0,1.0,Cleveland St.,4,16.25,4.75,38.0,15.0,0.5,3.25,16.75,1.25,0.75,2.0,0.0,18.5
09/02/2022,"Rider @ Bethlehem, PA",3-0,3.0,43.0,8.0,89.0,0.393,31.0,8.0,14.0,33.0,48.0,2.0,1.0,18.0,1.0,10.0,61.0,0.0,Rider,3,14.333333333333334,2.6666666666666665,29.666666666666668,10.333333333333334,2.6666666666666665,4.666666666666667,11.0,0.6666666666666666,0.3333333333333333,6.0,0.3333333333333333,20.333333333333332
09/02/2022,@ Lehigh,1-3,4.0,56.0,37.0,172.0,0.11,50.0,5.0,9.0,71.0,97.0,6.0,5.0,8.0,0.0,9.0,70.0,0.0,Lehigh,4,14.0,9.25,43.0,12.5,1.25,2.25,17.75,1.5,1.25,2.0,0.0,17.5
09/03/2022,"Cleveland St. @ Bethlehem, PA",3-0,3.0,39.0,16.0,92.0,0.25,33.0,8.0,9.0,37.0,45.0,1.0,3.0,8.0,2.0,7.0,54.0,3.0,Cleveland St.,3,13.0,5.333333333333333,30.666666666666668,11.0,2.6666666666666665,3.0,12.333333333333334,0.3333333333333333,1.0,2.6666666666666665,0.6666666666666666,18.0
09/08/2022,@ Canisius,3-1,4.0,51.0,16.0,123.0,0.285,48.0,10.0,12.0,39.0,69.0,7.0,0.0,22.0,5.0,11.0,72.0,1.0,Canisius,4,12.75,4.0,30.75,12.0,2.5,3.0,9.75,1.75,0.0,5.5,1.25,18.0
09/09/2022,Youngstown St.,3-1,4.0,58.0,28.0,134.0,0.224,55.0,10.0,9.0,50.0,82.0,8.0,3.0,10.0,1.0,8.0,76.0,0.0,Youngstown St.,4,14.5,7.0,33.5,13.75,2.5,2.25,12.5,2.0,0.75,2.5,0.25,19.0
09/09/2022,Bucknell,3-0,3.0,44.0,14.0,107.0,0.28,42.0,10.0,7.0,50.0,44.0,3.0,1.0,8.0,0.0,5.0,59.0,0.0,Bucknell,3,14.666666666666666,4.666666666666667,35.666666666666664,14.0,3.3333333333333335,2.3333333333333335,16.666666666666668,1.0,0.3333333333333333,2.6666666666666665,0.0,19.666666666666668
09/16/2022,"St. Francis Brooklyn @ Fort Myers, FL",3-0,3.0,42.0,13.0,103.0,0.282,36.0,7.0,6.0,40.0,47.0,1.0,0.0,8.0,1.0,4.0,53.0,1.0,St. Francis Brooklyn,3,14.0,4.333333333333333,34.333333333333336,12.0,2.3333333333333335,2.0,13.333333333333334,0.3333333333333333,0.0,2.6666666666666665,0.3333333333333333,17.666666666666668
