date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2022,"Miami (OH) @ Peoria, Ill.",3-2,5.0,57.0,25.0,149.0,0.215,51.0,7.0,9.0,65.0,94.0,8.0,0.0,24.0,0.0,12.0,76.0,6.0,Miami ,5,11.4,5.0,29.8,10.2,1.4,1.8,13.0,1.6,0.0,4.8,0.0,15.2,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2022,"Western Ky. @ Peoria, Ill.",0-3,3.0,32.0,16.0,82.0,0.195,30.0,5.0,2.0,29.0,68.0,8.0,0.0,6.0,0.0,3.0,40.0,5.0,Western Ky.,3,10.666666666666666,5.333333333333333,27.33333333333333,10.0,1.6666666666666667,0.6666666666666666,9.666666666666666,2.6666666666666665,0.0,2.0,0.0,13.333333333333334,,5.7,,2.5,,14.9,,0.1075,,5.1,,0.7,,0.9,,6.5,,0.0,,2.4,,0.0,,7.6
08/27/2022,@ Bradley,2-3,5.0,60.0,18.0,156.0,0.269,58.0,3.0,9.0,78.0,92.0,6.0,0.0,16.0,3.0,8.0,71.0,0.0,Bradley,5,12.0,3.6,31.2,11.6,0.6,1.8,15.6,1.2,0.0,3.2,0.6,14.2,,7.355555555555555,,3.444444444444444,,19.04444444444444,,0.1366666666666667,,6.733333333333333,,1.0222222222222221,,0.8222222222222223,,7.5555555555555545,,0.0,,2.2666666666666666,,0.0,,9.511111111111111
09/02/2022,"Ohio @ New Orleans, LA",0-3,3.0,32.0,14.0,102.0,0.176,30.0,5.0,6.0,36.0,67.0,6.0,1.0,2.0,0.0,2.0,39.0,1.0,Ohio,3,10.666666666666666,4.666666666666667,34.0,10.0,1.6666666666666667,2.0,12.0,2.0,0.3333333333333333,0.6666666666666666,0.0,13.0,11.355555555555554,8.516666666666666,4.644444444444445,3.483333333333333,29.444444444444443,22.083333333333332,0.22633333333333336,0.16975,10.6,7.949999999999999,1.222222222222222,0.9166666666666666,1.4222222222222223,1.0666666666666667,12.755555555555555,9.566666666666666,0.0,0.0,3.3333333333333335,2.5,0.19999999999999998,0.15,14.244444444444445,10.683333333333334
09/02/2022,@ Tulane,3-0,3.0,41.0,7.0,119.0,0.286,36.0,6.0,8.0,57.0,47.0,3.0,3.0,2.0,0.0,4.0,51.0,0.0,Tulane,3,13.666666666666666,2.333333333333333,39.66666666666666,12.0,2.0,2.6666666666666665,19.0,1.0,1.0,0.6666666666666666,0.0,17.0,11.111111111111112,8.946666666666665,4.533333333333333,3.7199999999999998,30.844444444444445,24.466666666666665,0.21333333333333337,0.17099999999999999,10.533333333333333,8.36,1.3111111111111111,1.0666666666666667,1.488888888888889,1.2533333333333334,12.422222222222222,10.053333333333333,0.1111111111111111,0.06666666666666667,1.9555555555555557,2.1333333333333333,0.19999999999999998,0.12,13.511111111111111,11.146666666666667
09/03/2022,"Howard @ New Orleans, LA",3-2,5.0,62.0,17.0,166.0,0.271,56.0,3.0,8.0,78.0,88.0,6.0,5.0,16.0,0.0,13.0,78.0,2.0,Howard,5,12.4,3.4,33.2,11.2,0.6,1.6,15.6,1.2,1.0,3.2,0.0,15.6,12.111111111111109,9.733333333333333,3.5333333333333328,3.4888888888888885,34.955555555555556,27.0,0.24366666666666667,0.19016666666666668,11.200000000000001,8.966666666666667,1.4222222222222223,1.222222222222222,2.1555555555555554,1.488888888888889,15.533333333333333,11.544444444444444,0.4444444444444444,0.2222222222222222,1.511111111111111,1.8888888888888886,0.19999999999999998,0.09999999999999999,14.733333333333333,12.122222222222222
09/07/2022,Kansas,1-3,4.0,34.0,33.0,132.0,0.008,34.0,5.0,3.0,51.0,92.0,7.0,1.0,17.0,2.0,9.5,48.5,2.0,Kansas,4,8.5,8.25,33.0,8.5,1.25,0.75,12.75,1.75,0.25,4.25,0.5,12.125,12.244444444444445,10.114285714285714,3.4666666666666663,3.4761904761904754,35.62222222222222,27.885714285714283,0.24433333333333332,0.2017142857142857,11.066666666666665,9.285714285714286,1.4222222222222223,1.1333333333333333,2.088888888888889,1.5047619047619047,15.533333333333333,12.123809523809523,0.7777777777777777,0.3333333333333333,1.511111111111111,2.076190476190476,0.0,0.08571428571428572,15.200000000000001,12.619047619047619
09/09/2022,NIU,0-3,3.0,42.0,19.0,120.0,0.192,39.0,3.0,6.0,55.0,69.0,3.0,1.0,4.0,0.0,3.0,48.0,0.0,NIU,3,14.0,6.333333333333333,40.0,13.0,1.0,2.0,18.33333333333333,1.0,0.3333333333333333,1.3333333333333333,0.0,16.0,11.522222222222224,9.9125,4.6611111111111105,4.072916666666666,35.288888888888884,28.525,0.18833333333333332,0.1775,10.566666666666665,9.1875,1.2833333333333334,1.1479166666666667,1.6722222222222223,1.4104166666666667,15.783333333333333,12.202083333333333,0.75,0.32291666666666663,2.7055555555555557,2.3479166666666664,0.16666666666666666,0.1375,14.908333333333333,12.557291666666666
09/10/2022,Wichita St.,0-3,3.0,41.0,22.0,141.0,0.135,37.0,1.0,7.0,61.0,70.0,5.0,1.0,6.0,1.0,4.0,46.0,1.0,Wichita St.,3,13.666666666666666,7.333333333333333,47.0,12.333333333333334,0.3333333333333333,2.333333333333333,20.33333333333333,1.6666666666666667,0.3333333333333333,2.0,0.3333333333333333,15.333333333333334,11.633333333333333,10.366666666666667,5.994444444444444,4.3240740740740735,35.4,29.799999999999997,0.157,0.1791111111111111,10.899999999999999,9.61111111111111,0.9500000000000001,1.1314814814814815,1.45,1.4759259259259259,15.56111111111111,12.883333333333333,0.5277777777777778,0.32407407407407407,2.9277777777777776,2.235185185185185,0.16666666666666666,0.12222222222222223,14.575000000000001,12.939814814814815
09/14/2022,Kansas St.,0-3,3.0,27.0,25.0,112.0,0.018,25.0,0.0,7.0,43.0,65.0,6.0,0.0,8.0,1.0,4.0,31.0,0.0,Kansas St.,3,9.0,8.333333333333334,37.333333333333336,8.333333333333334,0.0,2.333333333333333,14.333333333333334,2.0,0.0,2.6666666666666665,0.3333333333333333,10.333333333333334,12.055555555555557,10.696666666666667,7.3055555555555545,4.625,40.0,31.52,0.11166666666666668,0.1747,11.277777777777779,9.883333333333333,0.8611111111111112,1.0516666666666667,1.6944444444444444,1.5616666666666668,17.138888888888886,13.62833333333333,0.3055555555555555,0.325,2.5277777777777777,2.2116666666666664,0.27777777777777773,0.14333333333333334,14.486111111111109,13.179166666666665
