date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent
08/26/2022,Sam Houston,3-0,3.0,43.0,8.0,98.0,0.357,41.0,5.0,8.0,44.0,45.0,3.0,0.0,10.0,2.0,5.0,53.0,0.0,Sam Houston
08/26/2022,NC State,3-1,4.0,47.0,14.0,141.0,0.234,44.0,10.0,15.0,58.0,68.0,6.0,2.0,31.0,0.0,17.5,74.5,0.0,NC State
08/27/2022,Florida A&M,3-0,3.0,42.0,10.0,81.0,0.395,40.0,8.0,11.0,34.0,41.0,4.0,1.0,16.0,1.0,9.0,59.0,0.0,Florida A&M
09/01/2022,"Syracuse @ Orlando, FL",3-1,4.0,52.0,18.0,130.0,0.262,48.0,11.0,5.0,49.0,78.0,3.0,1.0,16.0,1.0,9.0,72.0,2.0,Syracuse
09/02/2022,"North Florida @ Orlando, FL",3-0,3.0,41.0,19.0,136.0,0.162,34.0,12.0,3.0,53.0,59.0,3.0,1.0,12.0,3.0,7.0,60.0,0.0,North Florida
09/03/2022,@ UCF,2-3,5.0,66.0,29.0,167.0,0.222,57.0,5.0,7.0,53.0,107.0,5.0,0.0,14.0,2.0,7.0,78.0,0.0,UCF
09/07/2022,Missouri,3-2,5.0,71.0,33.0,190.0,0.2,64.0,10.0,14.0,71.0,96.0,4.0,1.0,18.0,3.0,10.0,91.0,1.0,Missouri
09/09/2022,"Rutgers @ Chicago, IL",3-0,3.0,42.0,20.0,114.0,0.193,38.0,4.0,10.0,38.0,64.0,3.0,2.0,21.0,2.0,12.5,58.5,0.0,Rutgers
09/09/2022,@ Loyola Chicago,1-3,4.0,35.0,24.0,141.0,0.078,34.0,5.0,11.0,52.0,91.0,10.0,1.0,20.0,5.0,11.0,51.0,2.0,Loyola Chicago
09/10/2022,"St. Thomas (MN) @ Chicago, IL",3-0,3.0,40.0,11.0,81.0,0.358,36.0,11.0,4.0,41.0,40.0,1.0,2.0,14.0,1.0,9.0,60.0,0.0,St. Thomas 
09/14/2022,@ Kansas City,3-0,3.0,41.0,15.0,106.0,0.245,39.0,6.0,14.0,50.0,51.0,0.0,3.0,24.0,1.0,15.0,62.0,0.0,Kansas City
09/16/2022,@ Rice,2-3,5.0,59.0,27.0,171.0,0.187,53.0,7.0,10.0,70.0,96.0,8.0,2.0,24.0,0.0,14.0,80.0,1.0,Rice
09/17/2022,"Creighton @ Houston, TX",1-3,4.0,48.0,18.0,156.0,0.192,46.0,4.0,9.0,72.0,79.0,6.0,1.0,18.0,3.0,10.0,62.0,0.0,Creighton
09/24/2022,Kansas,2-3,5.0,62.0,30.0,175.0,0.183,60.0,5.0,10.0,66.0,93.0,3.0,1.0,23.0,3.0,12.5,79.5,1.0,Kansas
09/28/2022,@ Texas Tech,0-3,3.0,37.0,19.0,125.0,0.144,31.0,2.0,5.0,49.0,68.0,3.0,1.0,8.0,0.0,5.0,44.0,1.0,Texas Tech
10/02/2022,Iowa St.,3-0,3.0,43.0,15.0,115.0,0.243,42.0,11.0,4.0,55.0,56.0,2.0,2.0,10.0,4.0,7.0,61.0,0.0,Iowa St.
10/05/2022,@ West Virginia,3-0,3.0,37.0,15.0,108.0,0.204,32.0,3.0,6.0,42.0,61.0,3.0,2.0,16.0,2.0,10.0,50.0,1.0,West Virginia
10/12/2022,@ Texas,0-3,3.0,29.0,16.0,95.0,0.137,27.0,2.0,7.0,33.0,70.0,6.0,0.0,8.0,2.0,4.0,35.0,0.0,Texas
10/15/2022,TCU,2-3,5.0,48.0,18.0,147.0,0.204,43.0,6.0,7.0,50.0,93.0,10.0,3.0,30.0,3.0,18.0,72.0,1.0,TCU
10/19/2022,@ Oklahoma,3-2,5.0,53.0,19.0,150.0,0.227,51.0,9.0,10.0,72.0,89.0,7.0,2.0,12.0,1.0,8.0,70.0,2.0,Oklahoma
10/22/2022,Baylor,1-3,4.0,60.0,22.0,159.0,0.239,57.0,5.0,8.0,57.0,97.0,9.0,2.0,18.0,2.0,11.0,76.0,0.0,Baylor
10/28/2022,Texas,1-3,4.0,42.0,20.0,145.0,0.152,39.0,4.0,9.0,51.0,93.0,5.0,2.0,6.0,0.0,5.0,51.0,0.0,Texas
11/02/2022,@ Kansas,0-3,3.0,35.0,14.0,115.0,0.183,34.0,2.0,6.0,45.0,69.0,1.0,0.0,4.0,2.0,2.0,39.0,2.0,Kansas
11/04/2022,@ Iowa St.,3-1,4.0,56.0,22.0,164.0,0.207,51.0,6.0,9.0,72.0,82.0,6.0,0.0,18.0,0.0,9.0,71.0,0.0,Iowa St.
11/10/2022,West Virginia,3-0,3.0,29.0,18.0,84.0,0.131,25.0,8.0,7.0,35.0,48.0,3.0,1.0,16.0,0.0,9.0,46.0,2.0,West Virginia
11/16/2022,Oklahoma,1-3,4.0,56.0,24.0,140.0,0.229,54.0,7.0,8.0,57.0,90.0,7.0,1.0,15.0,1.0,8.5,71.5,1.0,Oklahoma
11/19/2022,@ TCU,1-3,4.0,56.0,19.0,146.0,0.253,53.0,4.0,13.0,55.0,83.0,3.0,3.0,26.0,3.0,16.0,76.0,3.0,TCU
11/23/2022,Texas Tech,3-2,5.0,60.0,20.0,192.0,0.208,55.0,8.0,8.0,97.0,93.0,5.0,3.0,32.0,1.0,19.0,87.0,2.0,Texas Tech
11/26/2022,@ Baylor,0-3,3.0,33.0,18.0,108.0,0.139,30.0,3.0,5.0,50.0,67.0,5.0,1.0,8.0,6.0,5.0,41.0,2.0,Baylor
