date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,Idaho St.,0-3,3.0,42.0,27.0,118.0,0.127,41.0,5.0,7.0,45.0,71.0,4.0,1.0,8.0,0.0,5.0,52.0,0.0
08/27/2022,Tulane,2-3,5.0,61.0,23.0,180.0,0.211,51.0,3.0,11.0,71.0,102.0,7.0,5.0,16.0,2.0,13.0,77.0,2.0
09/02/2022,"New Orleans @ Florence, AL",3-1,4.0,53.0,24.0,151.0,0.192,49.0,9.0,16.0,64.0,82.0,4.0,3.0,12.0,0.0,9.0,71.0,2.0
09/02/2022,@ North Ala.,0-3,3.0,30.0,26.0,119.0,0.034,27.0,1.0,6.0,42.0,66.0,4.0,0.0,6.0,0.0,3.0,34.0,0.0
09/03/2022,"Grambling @ Florence, AL",3-1,4.0,57.0,21.0,135.0,0.267,51.0,5.0,6.0,65.0,71.0,5.0,0.0,20.0,3.0,10.0,72.0,1.0
09/09/2022,"Southern U. @ New Orleans, LA",3-2,5.0,59.0,28.0,159.0,0.195,54.0,9.0,12.0,53.0,92.0,3.0,0.0,18.0,0.0,9.0,77.0,5.0
09/10/2022,"Texas Southern @ New Orleans, LA",3-0,3.0,39.0,15.0,105.0,0.229,34.0,7.0,6.0,47.0,54.0,4.0,3.0,12.0,0.0,9.0,55.0,2.0
09/14/2022,@ Prairie View,2-3,5.0,52.0,23.0,189.0,0.153,45.0,3.0,5.0,81.0,98.0,6.0,2.0,14.0,0.0,9.0,64.0,5.0
09/16/2022,"Prairie View @ Arlington, TX",3-2,5.0,49.0,25.0,166.0,0.145,43.0,9.0,7.0,76.0,86.0,7.0,0.0,18.0,2.0,9.0,67.0,1.0
09/17/2022,"New Orleans @ Arlington, TX",3-1,4.0,54.0,21.0,146.0,0.226,51.0,11.0,12.0,70.0,73.0,2.0,0.0,20.0,2.0,10.0,75.0,1.0
09/17/2022,@ UT Arlington,2-3,5.0,60.0,34.0,185.0,0.141,54.0,10.0,8.0,70.0,96.0,9.0,0.0,19.0,1.0,9.5,79.5,0.0
09/22/2022,Northwestern St.,1-3,4.0,54.0,25.0,143.0,0.203,52.0,8.0,10.0,57.0,82.0,4.0,4.0,8.0,1.0,8.0,70.0,1.0
09/24/2022,@ Tex. A&M-Commerce,1-3,4.0,60.0,20.0,161.0,0.248,58.0,8.0,9.0,59.0,88.0,11.0,2.0,10.0,4.0,7.0,75.0,1.0
09/27/2022,@ A&M-Corpus Christi,0-3,3.0,33.0,18.0,131.0,0.115,31.0,3.0,5.0,58.0,69.0,2.0,2.0,4.0,3.0,4.0,40.0,0.0
09/29/2022,Houston Christian,1-3,4.0,45.0,27.0,146.0,0.123,42.0,10.0,7.0,56.0,87.0,4.0,1.0,4.0,0.0,3.0,58.0,2.0
10/01/2022,UIW,0-3,3.0,32.0,19.0,117.0,0.111,30.0,2.0,5.0,43.0,72.0,7.0,1.0,10.0,2.0,6.0,40.0,0.0
10/06/2022,@ Southeastern La.,1-3,4.0,48.0,16.0,135.0,0.237,42.0,4.0,9.0,55.0,94.0,10.0,1.0,26.0,1.0,14.0,66.0,2.0
10/08/2022,@ New Orleans,0-3,3.0,31.0,26.0,117.0,0.043,26.0,4.0,4.0,32.0,70.0,3.0,0.0,0.0,6.0,0.0,35.0,1.0
10/13/2022,New Orleans,3-1,4.0,52.0,17.0,125.0,0.28,47.0,11.0,13.0,46.0,66.0,4.0,4.0,14.0,2.0,11.0,74.0,2.0
10/15/2022,McNeese,0-3,3.0,34.0,18.0,113.0,0.142,31.0,2.0,5.0,53.0,66.0,10.0,2.0,4.0,0.0,4.0,40.0,1.0
10/20/2022,Tex. A&M-Commerce,3-1,4.0,55.0,20.0,128.0,0.273,53.0,14.0,9.0,56.0,70.0,5.0,3.0,8.0,4.0,7.0,76.0,3.0
10/22/2022,@ Northwestern St.,1-3,4.0,48.0,25.0,169.0,0.136,42.0,5.0,5.0,81.0,93.0,8.0,0.0,16.0,1.0,8.0,61.0,0.0
10/27/2022,@ UIW,1-3,4.0,47.0,19.0,126.0,0.222,45.0,7.0,8.0,40.0,93.0,8.0,3.0,24.0,4.0,15.0,69.0,7.0
10/29/2022,@ Houston Christian,0-3,3.0,32.0,14.0,101.0,0.178,28.0,5.0,3.0,37.0,72.0,5.0,2.0,2.0,8.0,3.0,40.0,0.0
11/01/2022,Nicholls,1-3,4.0,46.0,26.0,160.0,0.125,43.0,6.0,5.0,58.0,95.0,6.0,3.0,6.0,2.0,6.0,58.0,2.0
11/03/2022,Southeastern La.,3-1,4.0,45.0,12.0,130.0,0.254,42.0,13.0,9.0,52.0,80.0,5.0,4.0,20.0,0.0,14.0,72.0,3.0
11/05/2022,@ Nicholls,0-3,3.0,39.0,11.0,110.0,0.255,36.0,5.0,9.0,40.0,73.0,7.0,0.0,16.0,0.0,8.0,52.0,0.0
11/10/2022,A&M-Corpus Christi,1-3,4.0,49.0,20.0,131.0,0.221,45.0,12.0,8.0,53.0,92.0,10.0,4.0,8.0,5.0,8.0,69.0,3.0
11/12/2022,@ McNeese,2-3,5.0,66.0,21.0,184.0,0.245,63.0,11.0,8.0,71.0,109.0,5.0,1.0,20.0,5.0,11.0,88.0,1.0
