date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,"Mississippi St. @ Notre Dame, IN",0-3,3.0,18.0,18.0,103.0,0.0,18.0,1.0,4.0,44.0,63.0,4.0,0.0,6.0,0.0,3.0,22.0,1.0,Mississippi St.,3,6.0,6.0,34.333333333333336,6.0,0.3333333333333333,1.3333333333333333,14.666666666666666,1.3333333333333333,0.0,2.0,0.0,7.333333333333333
08/27/2022,"Texas Tech @ Notre Dame, IN",0-3,3.0,37.0,15.0,112.0,0.196,34.0,2.0,6.0,37.0,70.0,5.0,0.0,4.0,0.0,2.0,41.0,0.0,Texas Tech,3,12.333333333333334,5.0,37.333333333333336,11.333333333333334,0.6666666666666666,2.0,12.333333333333334,1.6666666666666667,0.0,1.3333333333333333,0.0,13.666666666666666
08/28/2022,@ Notre Dame,2-3,5.0,69.0,21.0,180.0,0.267,66.0,2.0,8.0,65.0,106.0,7.0,3.0,16.0,8.0,11.0,82.0,1.0,Notre Dame,5,13.8,4.2,36.0,13.2,0.4,1.6,13.0,1.4,0.6,3.2,1.6,16.4
09/02/2022,"Utah @ West Lafayette, IN",2-3,5.0,66.0,23.0,192.0,0.224,61.0,3.0,7.0,80.0,102.0,6.0,1.0,20.0,4.0,11.0,80.0,0.0,Utah,5,13.2,4.6,38.4,12.2,0.6,1.4,16.0,1.2,0.2,4.0,0.8,16.0
09/02/2022,"Bradley @ West Lafayette, IN",3-1,4.0,49.0,14.0,127.0,0.276,41.0,5.0,8.0,54.0,73.0,9.0,1.0,18.0,1.0,10.0,64.0,2.0,Bradley,4,12.25,3.5,31.75,10.25,1.25,2.0,13.5,2.25,0.25,4.5,0.25,16.0
09/03/2022,@ Purdue,1-3,4.0,48.0,22.0,131.0,0.198,46.0,2.0,7.0,50.0,87.0,5.0,2.0,14.0,2.0,9.0,59.0,1.0,Purdue,4,12.0,5.5,32.75,11.5,0.5,1.75,12.5,1.25,0.5,3.5,0.5,14.75
09/09/2022,LSU,1-3,4.0,49.0,22.0,142.0,0.19,44.0,5.0,6.0,54.0,88.0,5.0,1.0,6.0,3.0,4.0,58.0,0.0,LSU,4,12.25,5.5,35.5,11.0,1.25,1.5,13.5,1.25,0.25,1.5,0.75,14.5
09/11/2022,@ Marquette,0-3,3.0,30.0,11.0,84.0,0.226,28.0,2.0,3.0,28.0,67.0,10.0,0.0,6.0,1.0,3.0,35.0,1.0,Marquette,3,10.0,3.6666666666666665,28.0,9.333333333333334,0.6666666666666666,1.0,9.333333333333334,3.333333333333333,0.0,2.0,0.3333333333333333,11.666666666666666
09/16/2022,@ Southern California,0-3,3.0,23.0,20.0,83.0,0.036,22.0,4.0,4.0,21.0,63.0,6.0,0.0,12.0,0.0,6.0,33.0,1.0,Southern California,3,7.666666666666667,6.666666666666667,27.666666666666668,7.333333333333333,1.3333333333333333,1.3333333333333333,7.0,2.0,0.0,4.0,0.0,11.0
09/17/2022,"New Mexico St. @ Los Angeles, CA",1-3,4.0,51.0,21.0,166.0,0.181,46.0,2.0,3.0,69.0,83.0,3.0,2.0,12.0,2.0,8.0,61.0,2.0,New Mexico St.,4,12.75,5.25,41.5,11.5,0.5,0.75,17.25,0.75,0.5,3.0,0.5,15.25
09/17/2022,"San Jose St. @ Los Angeles, CA",1-3,4.0,50.0,19.0,125.0,0.248,44.0,1.0,3.0,43.0,90.0,9.0,2.0,8.0,2.0,6.0,57.0,0.0,San Jose St.,4,12.5,4.75,31.25,11.0,0.25,0.75,10.75,2.25,0.5,2.0,0.5,14.25
09/20/2022,@ Purdue Fort Wayne,3-0,3.0,43.0,10.0,90.0,0.367,42.0,5.0,2.0,38.0,54.0,2.0,2.0,16.0,3.0,10.0,58.0,0.0,Purdue Fort Wayne,3,14.333333333333334,3.3333333333333335,30.0,14.0,1.6666666666666667,0.6666666666666666,12.666666666666666,0.6666666666666666,0.6666666666666666,5.333333333333333,1.0,19.333333333333332
09/23/2022,Youngstown St.,3-1,4.0,52.0,12.0,110.0,0.364,46.0,7.0,4.0,43.0,62.0,8.0,3.0,14.0,3.0,10.0,69.0,2.0,Youngstown St.,4,13.0,3.0,27.5,11.5,1.75,1.0,10.75,2.0,0.75,3.5,0.75,17.25
09/24/2022,Robert Morris,3-0,3.0,43.0,14.0,99.0,0.293,38.0,5.0,3.0,41.0,59.0,6.0,3.0,16.0,0.0,11.0,59.0,0.0,Robert Morris,3,14.333333333333334,4.666666666666667,33.0,12.666666666666666,1.6666666666666667,1.0,13.666666666666666,2.0,1.0,5.333333333333333,0.0,19.666666666666668
09/27/2022,@ IUPUI,1-3,4.0,50.0,23.0,135.0,0.2,46.0,7.0,10.0,48.0,91.0,16.0,0.0,20.0,0.0,10.0,67.0,1.0,IUPUI,4,12.5,5.75,33.75,11.5,1.75,2.5,12.0,4.0,0.0,5.0,0.0,16.75
09/30/2022,@ Wright St.,0-3,3.0,33.0,15.0,116.0,0.155,33.0,0.0,4.0,39.0,68.0,5.0,0.0,8.0,2.0,4.0,37.0,1.0,Wright St.,3,11.0,5.0,38.666666666666664,11.0,0.0,1.3333333333333333,13.0,1.6666666666666667,0.0,2.6666666666666665,0.6666666666666666,12.333333333333334
10/01/2022,@ Northern Ky.,1-3,4.0,44.0,24.0,138.0,0.145,40.0,4.0,6.0,68.0,87.0,8.0,4.0,14.0,1.0,11.0,59.0,2.0,Northern Ky.,4,11.0,6.0,34.5,10.0,1.0,1.5,17.0,2.0,1.0,3.5,0.25,14.75
10/07/2022,Cleveland St.,3-0,3.0,50.0,19.0,124.0,0.25,45.0,3.0,5.0,61.0,55.0,2.0,1.0,6.0,1.0,4.0,57.0,0.0,Cleveland St.,3,16.666666666666668,6.333333333333333,41.333333333333336,15.0,1.0,1.6666666666666667,20.333333333333332,0.6666666666666666,0.3333333333333333,2.0,0.3333333333333333,19.0
10/08/2022,Oakland,3-0,3.0,36.0,10.0,92.0,0.283,34.0,9.0,5.0,43.0,52.0,4.0,0.0,20.0,1.0,10.0,55.0,1.0,Oakland,3,12.0,3.3333333333333335,30.666666666666668,11.333333333333334,3.0,1.6666666666666667,14.333333333333334,1.3333333333333333,0.0,6.666666666666667,0.3333333333333333,18.333333333333332
10/14/2022,@ Green Bay,0-3,3.0,34.0,13.0,114.0,0.184,30.0,2.0,2.0,47.0,65.0,7.0,0.0,4.0,3.0,2.0,38.0,0.0,Green Bay,3,11.333333333333334,4.333333333333333,38.0,10.0,0.6666666666666666,0.6666666666666666,15.666666666666666,2.333333333333333,0.0,1.3333333333333333,1.0,12.666666666666666
10/18/2022,IUPUI,3-1,4.0,65.0,15.0,138.0,0.362,62.0,3.0,6.0,54.0,79.0,10.0,1.0,8.0,1.0,5.0,73.0,0.0,IUPUI,4,16.25,3.75,34.5,15.5,0.75,1.5,13.5,2.5,0.25,2.0,0.25,18.25
10/21/2022,@ Robert Morris,3-0,3.0,39.0,11.0,89.0,0.315,38.0,8.0,3.0,42.0,47.0,6.0,1.0,18.0,1.0,10.0,57.0,0.0,Robert Morris,3,13.0,3.6666666666666665,29.666666666666668,12.666666666666666,2.6666666666666665,1.0,14.0,2.0,0.3333333333333333,6.0,0.3333333333333333,19.0
10/22/2022,@ Youngstown St.,1-3,4.0,51.0,19.0,137.0,0.234,45.0,2.0,5.0,58.0,87.0,10.0,1.0,16.0,4.0,9.0,62.0,1.0,Youngstown St.,4,12.75,4.75,34.25,11.25,0.5,1.25,14.5,2.5,0.25,4.0,1.0,15.5
10/28/2022,Northern Ky.,1-3,4.0,54.0,28.0,145.0,0.179,50.0,3.0,6.0,47.0,89.0,7.0,2.0,10.0,1.0,7.0,64.0,0.0,Northern Ky.,4,13.5,7.0,36.25,12.5,0.75,1.5,11.75,1.75,0.5,2.5,0.25,16.0
10/29/2022,Wright St.,0-3,3.0,29.0,16.0,98.0,0.133,28.0,1.0,4.0,41.0,68.0,6.0,0.0,12.0,4.0,6.0,36.0,0.0,Wright St.,3,9.666666666666666,5.333333333333333,32.666666666666664,9.333333333333334,0.3333333333333333,1.3333333333333333,13.666666666666666,2.0,0.0,4.0,1.3333333333333333,12.0
11/01/2022,Purdue Fort Wayne,3-0,3.0,45.0,18.0,111.0,0.243,43.0,6.0,4.0,52.0,53.0,3.0,1.0,8.0,0.0,5.0,56.0,1.0,Purdue Fort Wayne,3,15.0,6.0,37.0,14.333333333333334,2.0,1.3333333333333333,17.333333333333332,1.0,0.3333333333333333,2.6666666666666665,0.0,18.666666666666668
11/04/2022,@ Oakland,3-0,3.0,38.0,23.0,116.0,0.129,34.0,1.0,5.0,50.0,60.0,5.0,3.0,6.0,1.0,6.0,45.0,0.0,Oakland,3,12.666666666666666,7.666666666666667,38.666666666666664,11.333333333333334,0.3333333333333333,1.6666666666666667,16.666666666666668,1.6666666666666667,1.0,2.0,0.3333333333333333,15.0
11/05/2022,@ Cleveland St.,1-3,4.0,53.0,26.0,168.0,0.161,48.0,1.0,6.0,68.0,87.0,4.0,1.0,12.0,0.0,7.0,61.0,1.0,Cleveland St.,4,13.25,6.5,42.0,12.0,0.25,1.5,17.0,1.0,0.25,3.0,0.0,15.25
11/11/2022,Green Bay,0-3,3.0,45.0,17.0,105.0,0.267,44.0,3.0,7.0,32.0,73.0,4.0,2.0,12.0,4.0,8.0,56.0,2.0,Green Bay,3,15.0,5.666666666666667,35.0,14.666666666666666,1.0,2.3333333333333335,10.666666666666666,1.3333333333333333,0.6666666666666666,4.0,1.3333333333333333,18.666666666666668
11/18/2022,"Cleveland St. @ Fairborn, OH",0-3,3.0,34.0,25.0,124.0,0.073,32.0,1.0,4.0,52.0,67.0,3.0,1.0,4.0,1.0,3.0,38.0,2.0,Cleveland St.,3,11.333333333333334,8.333333333333334,41.333333333333336,10.666666666666666,0.3333333333333333,1.3333333333333333,17.333333333333332,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,12.666666666666666
