date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,"Central Ark. @ Springfield, MO",1-3,4.0,54.0,23.0,158.0,0.196,51.0,4.0,11.0,65.0,94.0,4.0,4.0,18.0,2.0,13.0,71.0,1.0
08/27/2022,"Tennessee Tech @ Springfield, MO",3-1,4.0,52.0,18.0,123.0,0.276,48.0,8.0,8.0,52.0,75.0,7.0,1.0,14.0,0.0,8.0,68.0,1.0
08/28/2022,@ Missouri St.,3-2,5.0,63.0,31.0,205.0,0.156,61.0,3.0,7.0,100.0,93.0,5.0,3.0,18.0,1.0,12.0,78.0,0.0
09/02/2022,@ Illinois St.,1-3,4.0,35.0,23.0,113.0,0.106,33.0,2.0,4.0,28.0,88.0,10.0,3.0,14.0,2.0,10.0,47.0,1.0
09/02/2022,"Southeast Mo. St. @ Normal, IL",2-3,5.0,57.0,35.0,155.0,0.142,51.0,5.0,9.0,64.0,88.0,6.0,1.0,14.0,4.0,8.0,70.0,2.0
09/03/2022,"Green Bay @ Normal, IL",0-3,3.0,34.0,20.0,118.0,0.119,31.0,6.0,4.0,59.0,72.0,12.0,0.0,12.0,1.0,6.0,46.0,1.0
09/09/2022,Abilene Christian,1-3,4.0,43.0,24.0,142.0,0.134,40.0,10.0,6.0,58.0,84.0,11.0,1.0,16.0,2.0,9.0,62.0,1.0
09/09/2022,Tulsa,1-3,4.0,51.0,24.0,177.0,0.153,46.0,6.0,5.0,83.0,92.0,5.0,0.0,12.0,1.0,6.0,63.0,0.0
09/10/2022,UTEP,1-3,4.0,44.0,19.0,154.0,0.162,39.0,2.0,5.0,73.0,87.0,9.0,2.0,14.0,1.0,9.0,55.0,1.0
09/16/2022,"UTRGV @ Lubbock, TX",1-3,4.0,40.0,27.0,161.0,0.081,39.0,9.0,8.0,72.0,89.0,4.0,5.0,14.0,0.0,12.0,61.0,1.0
09/16/2022,@ Texas Tech,3-1,4.0,46.0,24.0,162.0,0.136,40.0,7.0,4.0,66.0,77.0,5.0,1.0,18.0,0.0,10.0,63.0,1.0
09/17/2022,"Arizona St. @ Lubbock, TX",1-3,4.0,41.0,28.0,148.0,0.088,34.0,8.0,7.0,56.0,94.0,7.0,0.0,4.0,0.0,2.0,51.0,0.0
09/24/2022,Kansas City,3-1,4.0,48.0,19.0,158.0,0.184,43.0,14.0,5.0,79.0,73.0,4.0,2.0,6.0,4.0,5.0,67.0,0.0
09/27/2022,St. Thomas (MN),3-0,3.0,42.0,14.0,108.0,0.259,36.0,6.0,8.0,47.0,53.0,5.0,1.0,8.0,0.0,5.0,53.0,1.0
09/29/2022,@ North Dakota St.,0-3,3.0,28.0,21.0,99.0,0.071,26.0,1.0,6.0,31.0,70.0,8.0,3.0,2.0,2.0,4.0,33.0,0.0
10/01/2022,@ North Dakota,0-3,3.0,32.0,21.0,117.0,0.094,27.0,3.0,7.0,54.0,67.0,10.0,0.0,6.0,2.0,3.0,38.0,0.0
10/06/2022,Omaha,0-3,3.0,36.0,20.0,102.0,0.157,32.0,1.0,7.0,42.0,68.0,9.0,4.0,10.0,1.0,9.0,46.0,0.0
10/08/2022,Denver,1-3,4.0,45.0,23.0,177.0,0.124,41.0,4.0,3.0,72.0,90.0,7.0,1.0,8.0,2.0,5.0,54.0,1.0
10/11/2022,Western Ill.,3-0,3.0,47.0,8.0,128.0,0.305,43.0,8.0,4.0,65.0,46.0,2.0,2.0,10.0,2.0,7.0,62.0,1.0
10/13/2022,@ South Dakota,0-3,3.0,26.0,15.0,113.0,0.097,24.0,5.0,7.0,45.0,68.0,9.0,1.0,8.0,1.0,5.0,36.0,0.0
10/15/2022,@ South Dakota St.,3-1,4.0,54.0,14.0,153.0,0.261,49.0,10.0,9.0,55.0,89.0,5.0,1.0,30.0,0.0,16.0,80.0,2.0
10/22/2022,@ Kansas City,2-3,5.0,52.0,17.0,161.0,0.217,45.0,6.0,9.0,72.0,92.0,7.0,4.0,16.0,4.0,12.0,70.0,2.0
10/27/2022,North Dakota,2-3,5.0,65.0,40.0,188.0,0.133,62.0,5.0,9.0,80.0,102.0,3.0,3.0,8.0,2.0,7.0,77.0,1.0
10/29/2022,North Dakota St.,0-3,3.0,35.0,17.0,132.0,0.136,35.0,2.0,3.0,63.0,66.0,4.0,0.0,8.0,7.0,4.0,41.0,0.0
11/03/2022,@ Denver,0-3,3.0,29.0,18.0,100.0,0.11,27.0,3.0,2.0,34.0,69.0,8.0,1.0,8.0,1.0,5.0,37.0,0.0
11/05/2022,@ Omaha,0-3,3.0,42.0,16.0,116.0,0.224,41.0,3.0,4.0,51.0,73.0,11.0,2.0,8.0,2.0,6.0,51.0,1.0
11/10/2022,South Dakota St.,0-3,3.0,36.0,20.0,125.0,0.128,35.0,4.0,4.0,54.0,69.0,2.0,1.0,0.0,0.0,1.0,41.0,0.0
11/12/2022,South Dakota,1-3,4.0,53.0,20.0,141.0,0.234,49.0,3.0,9.0,45.0,93.0,7.0,0.0,10.0,1.0,5.0,61.0,0.0
11/17/2022,@ Western Ill.,3-0,3.0,41.0,9.0,103.0,0.311,37.0,5.0,7.0,55.0,46.0,3.0,2.0,10.0,0.0,7.0,53.0,2.0
11/19/2022,@ St. Thomas (MN),3-2,5.0,61.0,28.0,166.0,0.199,55.0,5.0,9.0,75.0,90.0,9.0,1.0,16.0,0.0,9.0,75.0,0.0
