date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2022,@ Northwestern,0-3,3.0,39.0,21.0,101.0,0.178,36.0,3.0,9.0,38.0,72.0,6.0,3.0,0.0,2.0,3.0,45.0,1.0,Northwestern,3,13.0,7.0,33.666666666666664,12.0,1.0,3.0,12.666666666666666,2.0,1.0,0.0,0.6666666666666666,15.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/26/2022,"Northeastern @ Evanston, IL",3-0,3.0,48.0,21.0,124.0,0.218,46.0,7.0,8.0,46.0,59.0,0.0,1.0,0.0,1.0,1.0,56.0,0.0,Northeastern,3,16.0,7.0,41.333333333333336,15.333333333333334,2.333333333333333,2.6666666666666665,15.333333333333334,0.0,0.3333333333333333,0.0,0.3333333333333333,18.666666666666668,,6.5,,3.5,,16.833333333333332,,0.089,,6.0,,0.5,,1.5,,6.333333333333333,,0.5,,0.0,,0.3333333333333333,,7.5
08/27/2022,"UTEP @ Evanston, IL",2-3,5.0,55.0,26.0,159.0,0.182,53.0,6.0,9.0,55.0,92.0,11.0,2.0,10.0,7.0,7.0,68.0,1.0,UTEP,5,11.0,5.2,31.8,10.6,1.2,1.8,11.0,2.2,0.4,2.0,1.4,13.6,,9.666666666666666,,4.666666666666667,,25.0,,0.132,,9.111111111111112,,1.111111111111111,,1.8888888888888886,,9.333333333333334,,0.4444444444444444,,0.0,,0.3333333333333333,,11.222222222222223
09/01/2022,@ Chicago St.,3-0,3.0,52.0,30.0,128.0,0.172,49.0,4.0,5.0,60.0,60.0,2.0,0.0,4.0,1.0,2.0,58.0,0.0,Chicago St.,3,17.333333333333332,10.0,42.66666666666666,16.333333333333332,1.3333333333333333,1.6666666666666667,20.0,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,19.33333333333333,13.333333333333334,10.0,6.3999999999999995,4.8,35.6,26.7,0.19266666666666665,0.14450000000000002,12.644444444444446,9.483333333333334,1.511111111111111,1.1333333333333333,2.488888888888889,1.8666666666666665,13.0,9.75,0.5777777777777778,0.43333333333333335,0.6666666666666666,0.5,0.7999999999999999,0.6,15.755555555555555,11.816666666666668
09/02/2022,"UIC @ Chicago, IL",1-3,4.0,58.0,31.0,158.0,0.171,55.0,3.0,9.0,65.0,90.0,5.0,2.0,12.0,2.0,8.0,69.0,0.0,UIC,4,14.5,7.75,39.5,13.75,0.75,2.25,16.25,1.25,0.5,3.0,0.5,17.25,14.777777777777777,11.466666666666665,7.3999999999999995,5.84,38.599999999999994,29.893333333333327,0.19066666666666665,0.15,14.088888888888889,10.853333333333333,1.622222222222222,1.1733333333333333,2.0444444444444443,1.8266666666666667,15.444444444444445,11.8,0.24444444444444446,0.3466666666666667,1.111111111111111,0.6666666666666666,0.688888888888889,0.5466666666666666,17.2,13.319999999999999
09/03/2022,"Eastern Ill. @ Chicago, IL",3-0,3.0,39.0,14.0,99.0,0.253,36.0,8.0,9.0,51.0,42.0,2.0,2.0,8.0,1.0,6.0,53.0,0.0,Eastern Ill.,3,13.0,4.666666666666667,33.0,12.0,2.6666666666666665,3.0,17.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.3333333333333333,17.666666666666668,14.277777777777777,11.972222222222221,7.6499999999999995,6.158333333333334,37.98888888888889,31.49444444444444,0.17500000000000002,0.1535,13.56111111111111,11.33611111111111,1.0944444444444443,1.1027777777777776,1.9055555555555557,1.8972222222222221,15.75,12.541666666666666,0.3,0.37222222222222223,2.111111111111111,1.0555555555555556,0.7444444444444445,0.5388888888888889,16.727777777777774,13.975
09/09/2022,"New Mexico @ La Jolla, CA",0-3,3.0,41.0,25.0,128.0,0.125,39.0,3.0,8.0,57.0,67.0,7.0,3.0,4.0,0.0,5.0,49.0,0.0,New Mexico,3,13.666666666666666,8.333333333333334,42.66666666666666,13.0,1.0,2.6666666666666665,19.0,2.333333333333333,1.0,1.3333333333333333,0.0,16.333333333333332,14.944444444444443,12.119047619047619,7.472222222222222,5.945238095238095,38.388888888888886,31.709523809523805,0.19866666666666666,0.1677142857142857,14.027777777777777,11.43095238095238,1.5833333333333333,1.3261904761904761,2.305555555555556,2.0547619047619046,17.75,13.178571428571429,0.38888888888888884,0.41428571428571426,2.3333333333333335,1.2857142857142858,0.38888888888888884,0.5095238095238096,18.083333333333332,14.502380952380951
09/09/2022,"Liberty @ La Jolla, CA",3-2,5.0,58.0,24.0,130.0,0.262,53.0,13.0,8.0,29.0,96.0,8.0,2.0,16.0,0.0,10.0,81.0,2.0,Liberty,5,11.6,4.8,26.0,10.6,2.6,1.6,5.8,1.6,0.4,3.2,0.0,16.2,13.722222222222221,12.3125,6.916666666666667,6.24375,38.388888888888886,33.079166666666666,0.18300000000000002,0.162375,12.916666666666666,11.627083333333333,1.472222222222222,1.2854166666666667,2.638888888888889,2.13125,17.416666666666668,13.90625,0.7222222222222222,0.4875,2.3333333333333335,1.2916666666666667,0.2777777777777778,0.44583333333333336,17.083333333333332,14.73125
09/10/2022,@ UC San Diego,3-2,5.0,69.0,25.0,170.0,0.259,63.0,6.0,14.0,63.0,93.0,6.0,2.0,6.0,0.0,5.0,80.0,1.0,UC San Diego,5,13.8,5.0,34.0,12.6,1.2,2.8,12.6,1.2,0.4,1.2,0.0,16.0,12.755555555555555,12.233333333333333,5.933333333333334,6.083333333333333,33.888888888888886,32.29259259259259,0.21333333333333335,0.17344444444444443,11.866666666666667,11.512962962962963,2.088888888888889,1.4314814814814814,2.422222222222222,2.0722222222222224,13.933333333333332,13.005555555555555,0.6888888888888888,0.47777777777777775,2.4,1.503703703703704,0.11111111111111112,0.3962962962962963,16.733333333333334,14.894444444444442
09/16/2022,@ CSU Bakersfield,3-2,5.0,53.0,22.0,134.0,0.231,52.0,11.0,12.0,50.0,88.0,6.0,3.0,16.0,3.0,11.0,75.0,0.0,CSU Bakersfield,5,10.6,4.4,26.8,10.4,2.2,2.4,10.0,1.2,0.6,3.2,0.6,15.0,13.02222222222222,12.389999999999999,6.044444444444444,5.975,34.22222222222222,32.46333333333333,0.21533333333333335,0.182,12.066666666666668,11.621666666666666,1.5999999999999999,1.4083333333333332,2.3555555555555556,2.1450000000000005,12.466666666666667,12.965,0.6,0.47000000000000003,1.9111111111111112,1.4733333333333334,0.0,0.3566666666666667,16.177777777777777,15.004999999999999
