date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,@ Maryland,0-3,3.0,22.0,18.0,90.0,0.044,19.0,0.0,2.0,27.0,65.0,5.0,0.0,4.0,0.0,2.0,24.0,1.0
08/26/2022,"FGCU @ College Park, MD",1-3,4.0,35.0,22.0,121.0,0.107,34.0,5.0,7.0,60.0,86.0,13.0,1.0,12.0,0.0,7.0,47.0,1.0
08/27/2022,"Navy @ College Park, MD",1-3,4.0,39.0,24.0,124.0,0.121,35.0,8.0,7.0,50.0,77.0,6.0,0.0,10.0,0.0,5.0,52.0,1.0
09/02/2022,@ Brown,0-3,3.0,20.0,20.0,111.0,0.0,17.0,2.0,6.0,43.0,63.0,5.0,2.0,4.0,0.0,4.0,26.0,2.0
09/03/2022,Siena,3-1,4.0,49.0,19.0,136.0,0.221,45.0,10.0,6.0,71.0,72.0,5.0,1.0,6.0,1.0,4.0,63.0,1.0
09/03/2022,Air Force,0-3,3.0,25.0,20.0,83.0,0.06,25.0,4.0,4.0,30.0,66.0,12.0,1.0,10.0,0.0,6.0,35.0,1.0
09/09/2022,Marist,3-2,5.0,64.0,26.0,163.0,0.233,60.0,11.0,9.0,57.0,95.0,7.0,1.0,20.0,0.0,11.0,86.0,2.0
09/10/2022,LIU,3-0,3.0,43.0,15.0,102.0,0.275,40.0,9.0,7.0,45.0,55.0,8.0,0.0,8.0,2.0,4.0,56.0,1.0
09/10/2022,Boston College,0-3,3.0,21.0,16.0,78.0,0.064,21.0,0.0,2.0,20.0,65.0,9.0,1.0,20.0,0.0,11.0,32.0,0.0
09/13/2022,Bryant,0-3,3.0,38.0,20.0,108.0,0.167,32.0,1.0,9.0,37.0,70.0,6.0,1.0,14.0,1.0,8.0,47.0,0.0
09/16/2022,"Southern Ind. @ DeKalb, IL",3-2,5.0,60.0,20.0,152.0,0.263,56.0,6.0,5.0,70.0,89.0,12.0,1.0,16.0,5.0,9.0,75.0,0.0
09/16/2022,@ NIU,1-3,4.0,35.0,25.0,158.0,0.063,32.0,3.0,9.0,75.0,82.0,9.0,1.0,4.0,0.0,3.0,41.0,0.0
09/18/2022,@ Wisconsin,0-3,3.0,22.0,17.0,76.0,0.066,22.0,2.0,4.0,24.0,62.0,12.0,1.0,2.0,1.0,2.0,26.0,1.0
09/23/2022,Saint Louis,2-3,5.0,57.0,23.0,161.0,0.211,51.0,8.0,10.0,62.0,97.0,7.0,0.0,12.0,1.0,6.0,71.0,2.0
09/24/2022,Saint Louis,2-3,5.0,53.0,29.0,157.0,0.153,52.0,7.0,6.0,51.0,92.0,8.0,2.0,12.0,0.0,8.0,68.0,1.0
09/30/2022,@ VCU,2-3,5.0,47.0,22.0,179.0,0.14,44.0,10.0,6.0,74.0,102.0,13.0,1.0,18.0,1.0,10.0,67.0,5.0
10/01/2022,@ VCU,1-3,4.0,41.0,29.0,154.0,0.078,37.0,3.0,7.0,68.0,93.0,5.0,0.0,6.0,1.0,3.0,47.0,3.0
10/05/2022,Fordham,0-3,3.0,38.0,21.0,123.0,0.138,34.0,6.0,2.0,55.0,70.0,6.0,0.0,10.0,0.0,5.0,49.0,2.0
10/07/2022,@ Davidson,1-3,4.0,41.0,28.0,135.0,0.096,41.0,8.0,7.0,60.0,87.0,13.0,5.0,4.0,2.0,7.0,56.0,2.0
10/08/2022,@ Davidson,0-3,3.0,26.0,19.0,94.0,0.074,26.0,0.0,9.0,36.0,66.0,10.0,3.0,6.0,0.0,6.0,32.0,0.0
10/14/2022,Duquesne,0-3,3.0,35.0,23.0,108.0,0.111,33.0,5.0,6.0,34.0,69.0,4.0,1.0,6.0,3.0,4.0,44.0,0.0
10/15/2022,Duquesne,3-1,4.0,51.0,16.0,112.0,0.312,45.0,14.0,11.0,37.0,76.0,11.0,4.0,10.0,1.0,9.0,74.0,1.0
10/21/2022,Loyola Chicago,0-3,3.0,27.0,13.0,84.0,0.167,26.0,2.0,7.0,23.0,66.0,7.0,0.0,10.0,0.0,5.0,34.0,0.0
10/22/2022,Loyola Chicago,0-3,3.0,29.0,15.0,99.0,0.141,27.0,7.0,9.0,31.0,67.0,8.0,0.0,14.0,1.0,7.0,43.0,0.0
10/28/2022,@ George Mason,0-3,3.0,26.0,24.0,97.0,0.021,21.0,6.0,2.0,29.0,64.0,9.0,0.0,4.0,7.0,2.0,34.0,1.0
10/29/2022,@ George Mason,3-1,4.0,44.0,21.0,133.0,0.173,38.0,14.0,13.0,44.0,83.0,10.0,0.0,22.0,4.0,11.0,69.0,0.0
11/02/2022,@ Fordham,0-3,3.0,28.0,18.0,93.0,0.108,27.0,2.0,7.0,34.0,67.0,8.0,0.0,8.0,0.0,4.0,34.0,1.0
11/04/2022,George Washington,1-3,4.0,41.0,29.0,123.0,0.098,39.0,6.0,6.0,46.0,82.0,6.0,2.0,10.0,1.0,7.0,54.0,1.0
11/05/2022,George Washington,0-3,3.0,23.0,21.0,93.0,0.022,20.0,3.0,6.0,27.0,66.0,6.0,0.0,6.0,1.0,3.0,29.0,2.0
11/11/2022,@ Dayton,0-3,3.0,27.0,25.0,96.0,0.021,25.0,4.0,1.0,30.0,69.0,12.0,1.0,16.0,0.0,9.0,40.0,1.0
11/12/2022,@ Dayton,0-3,3.0,26.0,17.0,77.0,0.117,24.0,3.0,7.0,20.0,65.0,11.0,2.0,6.0,1.0,5.0,34.0,1.0
