date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,Louisville,0-3,3.0,33.0,21.0,100.0,0.12,30.0,1.0,7.0,32.0,67.0,9.0,1.0,6.0,0.0,4.0,38.0,1.0,Louisville,3,11.0,7.0,33.333333333333336,10.0,0.3333333333333333,2.3333333333333335,10.666666666666666,3.0,0.3333333333333333,2.0,0.0,12.666666666666666
08/27/2022,Northern Ky.,3-0,3.0,40.0,19.0,101.0,0.208,39.0,7.0,10.0,43.0,55.0,3.0,2.0,18.0,1.0,11.0,58.0,2.0,Northern Ky.,3,13.333333333333334,6.333333333333333,33.666666666666664,13.0,2.3333333333333335,3.3333333333333335,14.333333333333334,1.0,0.6666666666666666,6.0,0.3333333333333333,19.333333333333332
08/28/2022,Missouri,3-2,5.0,64.0,21.0,171.0,0.251,62.0,10.0,6.0,76.0,97.0,8.0,1.0,4.0,3.0,3.0,77.0,1.0,Missouri,5,12.8,4.2,34.2,12.4,2.0,1.2,15.2,1.6,0.2,0.8,0.6,15.4
09/02/2022,"Portland St. @ El Paso, TX",3-1,4.0,62.0,18.0,131.0,0.336,52.0,6.0,6.0,55.0,76.0,9.0,5.0,8.0,3.0,9.0,77.0,2.0,Portland St.,4,15.5,4.5,32.75,13.0,1.5,1.5,13.75,2.25,1.25,2.0,0.75,19.25
09/02/2022,"New Mexico @ El Paso, TX",3-2,5.0,60.0,25.0,170.0,0.206,56.0,3.0,5.0,79.0,100.0,10.0,4.0,22.0,3.0,15.0,78.0,2.0,New Mexico,5,12.0,5.0,34.0,11.2,0.6,1.0,15.8,2.0,0.8,4.4,0.6,15.6
09/03/2022,@ UTEP,3-2,5.0,55.0,17.0,136.0,0.279,51.0,8.0,5.0,57.0,91.0,17.0,2.0,20.0,0.0,12.0,75.0,1.0,UTEP,5,11.0,3.4,27.2,10.2,1.6,1.0,11.4,3.4,0.4,4.0,0.0,15.0
09/09/2022,CSU Bakersfield,3-0,3.0,41.0,12.0,101.0,0.287,39.0,6.0,9.0,41.0,58.0,5.0,4.0,14.0,2.0,11.0,58.0,2.0,CSU Bakersfield,3,13.666666666666666,4.0,33.666666666666664,13.0,2.0,3.0,13.666666666666666,1.6666666666666667,1.3333333333333333,4.666666666666667,0.6666666666666666,19.333333333333332
09/09/2022,West Virginia,3-1,4.0,55.0,28.0,150.0,0.18,51.0,3.0,9.0,56.0,78.0,7.0,2.0,20.0,1.0,12.0,70.0,1.0,West Virginia,4,13.75,7.0,37.5,12.75,0.75,2.25,14.0,1.75,0.5,5.0,0.25,17.5
09/10/2022,Northern Colo.,3-2,5.0,70.0,16.0,156.0,0.346,62.0,4.0,9.0,66.0,94.0,5.0,4.0,12.0,1.0,10.0,84.0,1.0,Northern Colo.,5,14.0,3.2,31.2,12.4,0.8,1.8,13.2,1.0,0.8,2.4,0.2,16.8
09/16/2022,"Stetson @ Tampa, FL",3-1,4.0,57.0,16.0,141.0,0.291,52.0,7.0,7.0,58.0,76.0,4.0,3.0,20.0,1.0,13.0,77.0,0.0,Stetson,4,14.25,4.0,35.25,13.0,1.75,1.75,14.5,1.0,0.75,5.0,0.25,19.25
09/16/2022,"Cornell @ Tampa, FL",3-0,3.0,39.0,6.0,92.0,0.359,37.0,11.0,5.0,42.0,43.0,3.0,1.0,8.0,0.0,5.0,55.0,0.0,Cornell,3,13.0,2.0,30.666666666666668,12.333333333333334,3.6666666666666665,1.6666666666666667,14.0,1.0,0.3333333333333333,2.6666666666666665,0.0,18.333333333333332
09/17/2022,@ South Fla.,3-0,3.0,42.0,13.0,101.0,0.287,39.0,4.0,5.0,49.0,55.0,3.0,5.0,12.0,1.0,11.0,57.0,2.0,South Fla.,3,14.0,4.333333333333333,33.666666666666664,13.0,1.3333333333333333,1.6666666666666667,16.333333333333332,1.0,1.6666666666666667,4.0,0.3333333333333333,19.0
09/22/2022,Omaha,3-2,5.0,49.0,26.0,152.0,0.151,46.0,8.0,8.0,79.0,96.0,8.0,3.0,20.0,0.0,13.0,70.0,3.0,Omaha,5,9.8,5.2,30.4,9.2,1.6,1.6,15.8,1.6,0.6,4.0,0.0,14.0
09/24/2022,Denver,3-1,4.0,56.0,23.0,170.0,0.194,56.0,4.0,8.0,101.0,75.0,5.0,4.0,30.0,2.0,19.0,79.0,0.0,Denver,4,14.0,5.75,42.5,14.0,1.0,2.0,25.25,1.25,1.0,7.5,0.5,19.75
09/27/2022,@ North Dakota St.,2-3,5.0,70.0,17.0,152.0,0.349,67.0,8.0,9.0,59.0,94.0,9.0,3.0,6.0,3.0,6.0,84.0,0.0,North Dakota St.,5,14.0,3.4,30.4,13.4,1.6,1.8,11.8,1.8,0.6,1.2,0.6,16.8
10/01/2022,@ South Dakota St.,3-2,5.0,57.0,26.0,155.0,0.2,53.0,12.0,6.0,76.0,88.0,12.0,2.0,16.0,2.0,10.0,79.0,0.0,South Dakota St.,5,11.4,5.2,31.0,10.6,2.4,1.2,15.2,2.4,0.4,3.2,0.4,15.8
10/06/2022,@ St. Thomas (MN),3-1,4.0,66.0,19.0,158.0,0.297,62.0,1.0,7.0,84.0,72.0,4.0,5.0,10.0,2.0,10.0,77.0,2.0,St. Thomas ,4,16.5,4.75,39.5,15.5,0.25,1.75,21.0,1.0,1.25,2.5,0.5,19.25
10/08/2022,@ Western Ill.,3-0,3.0,42.0,11.0,124.0,0.25,41.0,4.0,4.0,63.0,54.0,5.0,2.0,12.0,0.0,8.0,54.0,3.0,Western Ill.,3,14.0,3.6666666666666665,41.333333333333336,13.666666666666666,1.3333333333333333,1.3333333333333333,21.0,1.6666666666666667,0.6666666666666666,4.0,0.0,18.0
10/13/2022,Oral Roberts,3-0,3.0,43.0,12.0,107.0,0.29,38.0,9.0,6.0,62.0,44.0,5.0,0.0,14.0,0.0,7.0,59.0,0.0,Oral Roberts,3,14.333333333333334,4.0,35.666666666666664,12.666666666666666,3.0,2.0,20.666666666666668,1.6666666666666667,0.0,4.666666666666667,0.0,19.666666666666668
10/15/2022,Kansas City,3-0,3.0,40.0,7.0,92.0,0.359,37.0,8.0,6.0,56.0,43.0,1.0,1.0,12.0,0.0,7.0,55.0,1.0,Kansas City,3,13.333333333333334,2.3333333333333335,30.666666666666668,12.333333333333334,2.6666666666666665,2.0,18.666666666666668,0.3333333333333333,0.3333333333333333,4.0,0.0,18.333333333333332
10/20/2022,@ Denver,3-2,5.0,46.0,28.0,154.0,0.117,41.0,5.0,8.0,57.0,98.0,11.0,2.0,27.0,3.0,15.5,66.5,1.0,Denver,5,9.2,5.6,30.8,8.2,1.0,1.6,11.4,2.2,0.4,5.4,0.6,13.3
10/22/2022,@ Omaha,3-1,4.0,59.0,17.0,147.0,0.286,54.0,3.0,7.0,68.0,79.0,4.0,5.0,8.0,4.0,9.0,71.0,0.0,Omaha,4,14.75,4.25,36.75,13.5,0.75,1.75,17.0,1.0,1.25,2.0,1.0,17.75
10/28/2022,South Dakota St.,3-1,4.0,56.0,23.0,175.0,0.189,55.0,3.0,6.0,78.0,79.0,6.0,0.0,16.0,0.0,8.0,67.0,1.0,South Dakota St.,4,14.0,5.75,43.75,13.75,0.75,1.5,19.5,1.5,0.0,4.0,0.0,16.75
11/01/2022,@ North Dakota,3-2,5.0,60.0,26.0,197.0,0.173,51.0,6.0,5.0,93.0,94.0,7.0,2.0,16.0,2.0,10.0,76.0,0.0,North Dakota,5,12.0,5.2,39.4,10.2,1.2,1.0,18.6,1.4,0.4,3.2,0.4,15.2
11/03/2022,Western Ill.,3-0,3.0,47.0,8.0,101.0,0.386,45.0,5.0,8.0,64.0,39.0,3.0,2.0,14.0,1.0,9.0,61.0,4.0,Western Ill.,3,15.666666666666666,2.6666666666666665,33.666666666666664,15.0,1.6666666666666667,2.6666666666666665,21.333333333333332,1.0,0.6666666666666666,4.666666666666667,0.3333333333333333,20.333333333333332
11/05/2022,St. Thomas (MN),3-0,3.0,41.0,15.0,89.0,0.292,39.0,12.0,5.0,41.0,43.0,3.0,2.0,8.0,1.0,6.0,59.0,2.0,St. Thomas ,3,13.666666666666666,5.0,29.666666666666668,13.0,4.0,1.6666666666666667,13.666666666666666,1.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,19.666666666666668
11/10/2022,@ Kansas City,3-0,3.0,46.0,6.0,117.0,0.342,44.0,3.0,2.0,78.0,44.0,4.0,2.0,16.0,0.0,10.0,59.0,2.0,Kansas City,3,15.333333333333334,2.0,39.0,14.666666666666666,1.0,0.6666666666666666,26.0,1.3333333333333333,0.6666666666666666,5.333333333333333,0.0,19.666666666666668
11/12/2022,@ Oral Roberts,3-1,4.0,59.0,12.0,130.0,0.362,55.0,7.0,4.0,52.0,65.0,3.0,3.0,8.0,0.0,7.0,73.0,0.0,Oral Roberts,4,14.75,3.0,32.5,13.75,1.75,1.0,13.0,0.75,0.75,2.0,0.0,18.25
11/17/2022,North Dakota St.,1-3,4.0,62.0,15.0,146.0,0.322,61.0,2.0,6.0,72.0,81.0,5.0,2.0,12.0,0.0,8.0,72.0,2.0,North Dakota St.,4,15.5,3.75,36.5,15.25,0.5,1.5,18.0,1.25,0.5,3.0,0.0,18.0
11/19/2022,North Dakota,3-0,3.0,43.0,12.0,107.0,0.29,39.0,3.0,5.0,56.0,46.0,2.0,4.0,10.0,0.0,9.0,55.0,1.0,North Dakota,3,14.333333333333334,4.0,35.666666666666664,13.0,1.0,1.6666666666666667,18.666666666666668,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.0,18.333333333333332
11/25/2022,"Denver @ Omaha, NE",3-0,3.0,41.0,17.0,107.0,0.224,39.0,4.0,5.0,47.0,58.0,1.0,2.0,18.0,1.0,11.0,56.0,2.0,Denver,3,13.666666666666666,5.666666666666667,35.666666666666664,13.0,1.3333333333333333,1.6666666666666667,15.666666666666666,0.3333333333333333,0.6666666666666666,6.0,0.3333333333333333,18.666666666666668
11/26/2022,Omaha,3-0,3.0,45.0,16.0,121.0,0.24,44.0,8.0,4.0,55.0,59.0,2.0,5.0,2.0,1.0,6.0,59.0,1.0,Omaha,3,15.0,5.333333333333333,40.333333333333336,14.666666666666666,2.6666666666666665,1.3333333333333333,18.333333333333332,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,19.666666666666668
12/02/2022,"Houston @ Omaha, NE",2-3,5.0,50.0,19.0,155.0,0.2,47.0,7.0,8.0,72.0,92.0,8.0,4.0,16.0,1.0,12.0,69.0,1.0,Houston,5,10.0,3.8,31.0,9.4,1.4,1.6,14.4,1.6,0.8,3.2,0.2,13.8
