date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,Hawaii,3-2,5.0,58.0,16.0,153.0,0.275,54.0,7.0,9.0,69.0,88.0,1.0,0.0,12.0,1.0,6.0,71.0,0.0,Hawaii,5,11.6,3.2,30.6,10.8,1.4,1.8,13.8,0.2,0.0,2.4,0.2,14.2
08/27/2022,San Diego,0-3,3.0,25.0,20.0,98.0,0.051,25.0,4.0,11.0,32.0,63.0,5.0,1.0,10.0,2.0,6.0,35.0,0.0,San Diego,3,8.333333333333334,6.666666666666667,32.666666666666664,8.333333333333334,1.3333333333333333,3.6666666666666665,10.666666666666666,1.6666666666666667,0.3333333333333333,3.3333333333333335,0.6666666666666666,11.666666666666666
08/28/2022,Pittsburgh,0-3,3.0,34.0,21.0,117.0,0.111,31.0,2.0,6.0,43.0,69.0,2.0,1.0,12.0,1.0,7.0,43.0,1.0,Pittsburgh,3,11.333333333333334,7.0,39.0,10.333333333333334,0.6666666666666666,2.0,14.333333333333334,0.6666666666666666,0.3333333333333333,4.0,0.3333333333333333,14.333333333333334
09/02/2022,"Coastal Carolina @ Fort Worth, TX",3-0,3.0,41.0,18.0,100.0,0.23,39.0,6.0,7.0,35.0,55.0,2.0,0.0,24.0,0.0,12.0,59.0,0.0,Coastal Carolina,3,13.666666666666666,6.0,33.333333333333336,13.0,2.0,2.3333333333333335,11.666666666666666,0.6666666666666666,0.0,8.0,0.0,19.666666666666668
09/02/2022,"Memphis @ Fort Worth, TX",3-0,3.0,37.0,11.0,91.0,0.286,34.0,5.0,9.0,34.0,48.0,2.0,6.0,10.0,0.0,11.0,53.0,2.0,Memphis,3,12.333333333333334,3.6666666666666665,30.333333333333332,11.333333333333334,1.6666666666666667,3.0,11.333333333333334,0.6666666666666666,2.0,3.3333333333333335,0.0,17.666666666666668
09/03/2022,@ TCU,3-1,4.0,56.0,16.0,118.0,0.339,54.0,5.0,12.0,52.0,78.0,4.0,1.0,18.0,2.0,10.0,71.0,1.0,TCU,4,14.0,4.0,29.5,13.5,1.25,3.0,13.0,1.0,0.25,4.5,0.5,17.75
09/06/2022,Sam Houston,3-0,3.0,51.0,15.0,104.0,0.346,50.0,3.0,13.0,34.0,63.0,3.0,0.0,18.0,5.0,9.0,63.0,0.0,Sam Houston,3,17.0,5.0,34.666666666666664,16.666666666666668,1.0,4.333333333333333,11.333333333333334,1.0,0.0,6.0,1.6666666666666667,21.0
09/09/2022,Louisiana,3-1,4.0,42.0,15.0,96.0,0.281,38.0,8.0,10.0,42.0,49.0,2.0,3.0,12.0,0.0,9.0,59.0,0.0,Louisiana,4,10.5,3.75,24.0,9.5,2.0,2.5,10.5,0.5,0.75,3.0,0.0,14.75
09/16/2022,"Indiana @ Bowling Green, KY",1-3,4.0,45.0,23.0,119.0,0.185,44.0,11.0,12.0,55.0,84.0,8.0,0.0,10.0,0.0,5.0,61.0,3.0,Indiana,4,11.25,5.75,29.75,11.0,2.75,3.0,13.75,2.0,0.0,2.5,0.0,15.25
09/16/2022,@ Western Ky.,3-0,3.0,49.0,7.0,93.0,0.452,44.0,5.0,11.0,32.0,59.0,1.0,1.0,10.0,0.0,6.0,60.0,2.0,Western Ky.,3,16.333333333333332,2.3333333333333335,31.0,14.666666666666666,1.6666666666666667,3.6666666666666665,10.666666666666666,0.3333333333333333,0.3333333333333333,3.3333333333333335,0.0,20.0
09/17/2022,"Tennessee Tech @ Bowling Green, KY",3-0,3.0,33.0,11.0,76.0,0.289,28.0,7.0,7.0,35.0,45.0,4.0,4.0,18.0,1.0,13.0,53.0,0.0,Tennessee Tech,3,11.0,3.6666666666666665,25.333333333333332,9.333333333333334,2.3333333333333335,2.3333333333333335,11.666666666666666,1.3333333333333333,1.3333333333333333,6.0,0.3333333333333333,17.666666666666668
