date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,@ UIW,0-3,3.0,16.0,24.0,80.0,-0.1,16.0,3.0,6.0,23.0,63.0,7.0,1.0,6.0,1.0,4.0,23.0,0.0
08/27/2022,"Houston Christian @ San Antonio, TX",0-3,3.0,31.0,15.0,118.0,0.136,26.0,2.0,3.0,50.0,71.0,3.0,1.0,8.0,1.0,5.0,38.0,0.0
08/27/2022,"Houston Christian @ San Antonio, TX",0-3,3.0,23.0,12.0,81.0,0.136,20.0,6.0,3.0,24.0,71.0,14.0,1.0,0.0,1.0,1.0,30.0,2.0
09/06/2022,@ North Texas,0-3,3.0,14.0,19.0,86.0,-0.058,14.0,1.0,5.0,29.0,69.0,6.0,0.0,0.0,0.0,0.0,15.0,0.0
09/09/2022,"Western Ill. @ New Orleans, LA",1-3,4.0,35.0,29.0,146.0,0.041,34.0,1.0,6.0,61.0,91.0,8.0,0.0,6.0,2.0,3.0,39.0,2.0
09/09/2022,@ New Orleans,0-3,3.0,24.0,15.0,98.0,0.092,23.0,1.0,5.0,44.0,67.0,6.0,3.0,4.0,1.0,5.0,30.0,1.0
09/10/2022,"Lamar University @ New Orleans, LA",0-3,3.0,29.0,21.0,103.0,0.078,28.0,4.0,3.0,45.0,68.0,7.0,0.0,12.0,0.0,6.0,39.0,3.0
09/13/2022,@ McNeese,0-3,3.0,25.0,14.0,109.0,0.101,24.0,0.0,8.0,44.0,65.0,3.0,4.0,8.0,1.0,8.0,33.0,1.0
09/16/2022,@ Oklahoma,0-3,3.0,18.0,18.0,73.0,0.0,18.0,2.0,4.0,23.0,62.0,7.0,0.0,2.0,2.0,1.0,21.0,1.0
09/17/2022,"Nevada @ Norman, OK",0-3,3.0,26.0,19.0,103.0,0.068,25.0,7.0,4.0,44.0,68.0,5.0,1.0,8.0,2.0,5.0,38.0,4.0
09/20/2022,@ Northwestern St.,0-3,3.0,25.0,21.0,101.0,0.04,25.0,5.0,2.0,43.0,69.0,4.0,1.0,4.0,0.0,3.0,33.0,0.0
09/29/2022,@ Prairie View,0-3,3.0,22.0,17.0,129.0,0.039,20.0,5.0,2.0,63.0,70.0,9.0,3.0,4.0,0.0,5.0,32.0,2.0
10/02/2022,@ Ark.-Pine Bluff,3-2,5.0,46.0,33.0,178.0,0.073,40.0,11.0,8.0,86.0,95.0,10.0,5.0,10.0,0.0,10.0,67.0,0.0
10/03/2022,@ Grambling,0-3,3.0,25.0,19.0,109.0,0.055,22.0,4.0,1.0,47.0,69.0,6.0,5.0,4.0,0.0,7.0,36.0,0.0
10/09/2022,@ Alabama St.,1-3,4.0,31.0,17.0,109.0,0.128,26.0,3.0,12.0,28.0,90.0,16.0,1.0,8.0,0.0,5.0,39.0,4.0
10/09/2022,"Jackson St. @ Montgomery, AL",1-3,4.0,38.0,24.0,141.0,0.099,38.0,10.0,3.0,49.0,87.0,4.0,2.0,6.0,0.0,5.0,53.0,0.0
10/10/2022,"Bethune-Cookman @ Montgomery, AL",1-3,4.0,36.0,22.0,136.0,0.103,36.0,7.0,7.0,46.0,87.0,4.0,2.0,4.0,2.0,4.0,47.0,0.0
10/16/2022,@ Alcorn,3-0,3.0,33.0,14.0,91.0,0.209,31.0,15.0,5.0,37.0,0.0,7.0,1.0,2.0,2.0,2.0,50.0,0.0
10/17/2022,@ Southern U.,3-1,4.0,46.0,21.0,157.0,0.159,43.0,10.0,5.0,74.0,82.0,5.0,5.0,8.0,0.0,9.0,65.0,7.0
10/24/2022,Prairie View,3-2,5.0,57.0,15.0,178.0,0.236,46.0,9.0,11.0,62.0,95.0,4.0,5.0,4.0,0.0,7.0,73.0,1.0
10/30/2022,"Mississippi Val. @ Baton Rouge, LA",3-0,3.0,36.0,18.0,111.0,0.162,29.0,7.0,3.0,70.0,40.0,5.0,2.0,4.0,0.0,4.0,47.0,6.0
10/30/2022,"Florida A&M @ Baton Rouge, LA",1-3,4.0,29.0,24.0,128.0,0.039,26.0,5.0,5.0,59.0,84.0,7.0,4.0,16.0,0.0,12.0,46.0,7.0
10/31/2022,"Alabama A&M @ Baton Rouge, LA",3-2,5.0,52.0,19.0,139.0,0.237,47.0,9.0,4.0,61.0,92.0,7.0,3.0,12.0,0.0,9.0,70.0,12.0
11/06/2022,Ark.-Pine Bluff,0-3,3.0,26.0,21.0,135.0,0.037,20.0,3.0,7.0,47.0,69.0,6.0,4.0,0.0,0.0,4.0,33.0,0.0
11/07/2022,Grambling,3-2,5.0,50.0,30.0,188.0,0.106,40.0,7.0,3.0,87.0,90.0,7.0,6.0,0.0,0.0,6.0,63.0,0.0
11/13/2022,Alcorn,3-1,4.0,49.0,16.0,120.0,0.275,44.0,6.0,5.0,60.0,67.0,9.0,1.0,8.0,0.0,5.0,60.0,3.0
11/14/2022,Southern U.,3-1,4.0,54.0,21.0,137.0,0.241,42.0,11.0,7.0,49.0,75.0,4.0,3.0,0.0,0.0,3.0,68.0,0.0
11/18/2022,@ Jackson St.,1-3,4.0,37.0,23.0,143.0,0.098,33.0,2.0,3.0,52.0,91.0,10.0,2.0,6.0,0.0,5.0,44.0,1.0
