date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set
08/26/2022,"Houston Christian @ San Antonio, TX",3-1,4.0,54.0,17.0,122.0,0.303,49.0,5.0,13.0,51.0,77.0,9.0,4.0,2.0,0.0,5.0,64.0,3.0,Houston Christian,4,13.5,4.25,30.5,12.25,1.25,3.25,12.75,2.25,1.0,0.5,0.0,16.0
08/27/2022,@ UIW,3-0,3.0,35.0,9.0,69.0,0.377,31.0,10.0,8.0,28.0,40.0,8.0,1.0,8.0,0.0,5.0,50.0,0.0,UIW,3,11.666666666666666,3.0,23.0,10.333333333333334,3.3333333333333335,2.6666666666666665,9.333333333333334,2.6666666666666665,0.3333333333333333,2.6666666666666665,0.0,16.666666666666668
08/27/2022,@ UIW,3-0,3.0,44.0,12.0,98.0,0.327,41.0,9.0,10.0,42.0,52.0,8.0,0.0,18.0,1.0,9.0,62.0,0.0,UIW,3,14.666666666666666,4.0,32.666666666666664,13.666666666666666,3.0,3.3333333333333335,14.0,2.6666666666666665,0.0,6.0,0.3333333333333333,20.666666666666668
09/01/2022,@ Hawaii,0-3,3.0,47.0,14.0,133.0,0.248,41.0,6.0,5.0,52.0,73.0,6.0,2.0,10.0,1.0,7.0,60.0,0.0,Hawaii,3,15.666666666666666,4.666666666666667,44.333333333333336,13.666666666666666,2.0,1.6666666666666667,17.333333333333332,2.0,0.6666666666666666,3.3333333333333335,0.3333333333333333,20.0
09/02/2022,"UCLA @ Honolulu, HI",0-3,3.0,31.0,12.0,106.0,0.179,30.0,1.0,10.0,42.0,65.0,11.0,1.0,10.0,3.0,6.0,38.0,0.0,UCLA,3,10.333333333333334,4.0,35.333333333333336,10.0,0.3333333333333333,3.3333333333333335,14.0,3.6666666666666665,0.3333333333333333,3.3333333333333335,1.0,12.666666666666666
09/04/2022,"West Virginia @ Honolulu, HI",3-1,4.0,54.0,18.0,129.0,0.279,48.0,4.0,8.0,47.0,73.0,4.0,0.0,10.0,3.0,5.0,63.0,0.0,West Virginia,4,13.5,4.5,32.25,12.0,1.0,2.0,11.75,1.0,0.0,2.5,0.75,15.75
09/09/2022,Sam Houston,3-0,3.0,45.0,10.0,99.0,0.354,45.0,10.0,9.0,47.0,53.0,4.0,1.0,10.0,1.0,6.0,61.0,0.0,Sam Houston,3,15.0,3.3333333333333335,33.0,15.0,3.3333333333333335,3.0,15.666666666666666,1.3333333333333333,0.3333333333333333,3.3333333333333335,0.3333333333333333,20.333333333333332
09/09/2022,Ole Miss,1-3,4.0,49.0,14.0,130.0,0.269,45.0,6.0,5.0,51.0,82.0,7.0,3.0,6.0,0.0,6.0,61.0,0.0,Ole Miss,4,12.25,3.5,32.5,11.25,1.5,1.25,12.75,1.75,0.75,1.5,0.0,15.25
09/11/2022,"Wake Forest @ San Marcos, TX",3-0,3.0,49.0,8.0,89.0,0.461,46.0,3.0,6.0,52.0,45.0,6.0,2.0,8.0,0.0,6.0,58.0,0.0,Wake Forest,3,16.333333333333332,2.6666666666666665,29.666666666666668,15.333333333333334,1.0,2.0,17.333333333333332,2.0,0.6666666666666666,2.6666666666666665,0.0,19.333333333333332
09/16/2022,"Abilene Christian @ Fort Worth, TX",3-2,5.0,71.0,15.0,151.0,0.371,68.0,2.0,9.0,63.0,95.0,6.0,2.0,16.0,6.0,10.0,83.0,1.0,Abilene Christian,5,14.2,3.0,30.2,13.6,0.4,1.8,12.6,1.2,0.4,3.2,1.2,16.6
09/17/2022,"Alabama @ Fort Worth, TX",0-3,3.0,36.0,17.0,83.0,0.229,36.0,2.0,6.0,36.0,58.0,6.0,0.0,10.0,0.0,5.0,43.0,0.0,Alabama,3,12.0,5.666666666666667,27.666666666666668,12.0,0.6666666666666666,2.0,12.0,2.0,0.0,3.3333333333333335,0.0,14.333333333333334
09/17/2022,@ TCU,3-1,4.0,56.0,25.0,120.0,0.258,53.0,10.0,13.0,40.0,77.0,5.0,0.0,18.0,1.0,9.0,75.0,0.0,TCU,4,14.0,6.25,30.0,13.25,2.5,3.25,10.0,1.25,0.0,4.5,0.25,18.75
09/22/2022,@ ULM,3-0,3.0,50.0,12.0,103.0,0.369,48.0,5.0,6.0,60.0,45.0,1.0,2.0,12.0,2.0,8.0,63.0,0.0,ULM,3,16.666666666666668,4.0,34.333333333333336,16.0,1.6666666666666667,2.0,20.0,0.3333333333333333,0.6666666666666666,4.0,0.6666666666666666,21.0
09/23/2022,@ ULM,3-1,4.0,61.0,22.0,143.0,0.273,59.0,8.0,2.0,65.0,73.0,6.0,4.0,8.0,1.0,8.0,77.0,0.0,ULM,4,15.25,5.5,35.75,14.75,2.0,0.5,16.25,1.5,1.0,2.0,0.25,19.25
09/30/2022,James Madison,2-3,5.0,75.0,23.0,167.0,0.311,70.0,4.0,10.0,60.0,96.0,5.0,7.0,4.0,0.0,9.0,88.0,0.0,James Madison,5,15.0,4.6,33.4,14.0,0.8,2.0,12.0,1.0,1.4,0.8,0.0,17.6
10/01/2022,James Madison,3-1,4.0,66.0,17.0,139.0,0.353,57.0,3.0,8.0,47.0,70.0,5.0,2.0,14.0,1.0,9.0,78.0,0.0,James Madison,4,16.5,4.25,34.75,14.25,0.75,2.0,11.75,1.25,0.5,3.5,0.25,19.5
10/07/2022,@ Louisiana,3-0,3.0,43.0,10.0,100.0,0.33,40.0,6.0,10.0,50.0,0.0,1.0,3.0,10.0,0.0,8.0,57.0,0.0,Louisiana,3,14.333333333333334,3.3333333333333335,33.333333333333336,13.333333333333334,2.0,3.3333333333333335,16.666666666666668,0.3333333333333333,1.0,3.3333333333333335,0.0,19.0
10/08/2022,@ Louisiana,3-0,3.0,51.0,25.0,134.0,0.194,50.0,7.0,6.0,57.0,0.0,1.0,3.0,8.0,6.0,7.0,65.0,1.0,Louisiana,3,17.0,8.333333333333334,44.666666666666664,16.666666666666668,2.3333333333333335,2.0,19.0,0.3333333333333333,1.0,2.6666666666666665,2.0,21.666666666666668
10/14/2022,Southern Miss.,3-0,3.0,47.0,13.0,119.0,0.286,43.0,3.0,11.0,61.0,56.0,1.0,6.0,0.0,3.0,6.0,56.0,0.0,Southern Miss.,3,15.666666666666666,4.333333333333333,39.666666666666664,14.333333333333334,1.0,3.6666666666666665,20.333333333333332,0.3333333333333333,2.0,0.0,1.0,18.666666666666668
10/15/2022,Southern Miss.,3-1,4.0,65.0,16.0,133.0,0.368,63.0,4.0,6.0,68.0,68.0,4.0,1.0,12.0,1.0,7.0,76.0,0.0,Southern Miss.,4,16.25,4.0,33.25,15.75,1.0,1.5,17.0,1.0,0.25,3.0,0.25,19.0
10/21/2022,@ South Alabama,3-1,4.0,67.0,20.0,174.0,0.27,62.0,5.0,8.0,84.0,80.0,0.0,4.0,16.0,4.0,12.0,84.0,2.0,South Alabama,4,16.75,5.0,43.5,15.5,1.25,2.0,21.0,0.0,1.0,4.0,1.0,21.0
10/22/2022,@ South Alabama,2-3,5.0,63.0,35.0,186.0,0.151,60.0,10.0,8.0,89.0,97.0,4.0,0.0,14.0,7.0,7.0,80.0,1.0,South Alabama,5,12.6,7.0,37.2,12.0,2.0,1.6,17.8,0.8,0.0,2.8,1.4,16.0
10/28/2022,Arkansas St.,3-0,3.0,45.0,8.0,83.0,0.446,43.0,1.0,8.0,42.0,41.0,1.0,1.0,6.0,1.0,4.0,50.0,0.0,Arkansas St.,3,15.0,2.6666666666666665,27.666666666666668,14.333333333333334,0.3333333333333333,2.6666666666666665,14.0,0.3333333333333333,0.3333333333333333,2.0,0.3333333333333333,16.666666666666668
10/29/2022,Arkansas St.,3-2,5.0,67.0,21.0,151.0,0.305,64.0,5.0,4.0,55.0,87.0,8.0,4.0,18.0,1.0,13.0,85.0,0.0,Arkansas St.,5,13.4,4.2,30.2,12.8,1.0,0.8,11.0,1.6,0.8,3.6,0.2,17.0
