date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,Cal Poly,3-1,4.0,54.0,25.0,154.0,0.188,53.0,6.0,8.0,58.0,83.0,6.0,2.0,16.0,2.0,10.0,70.0,1.0
08/26/2022,UCLA,3-1,4.0,57.0,30.0,147.0,0.184,56.0,4.0,12.0,54.0,91.0,5.0,4.0,20.0,1.0,14.0,75.0,0.0
09/01/2022,@ BYU,0-3,3.0,21.0,24.0,81.0,-0.037,21.0,4.0,8.0,26.0,67.0,6.0,0.0,6.0,0.0,3.0,28.0,1.0
09/02/2022,"Pittsburgh @ Provo, UT",0-3,3.0,35.0,17.0,92.0,0.196,34.0,4.0,10.0,18.0,67.0,4.0,0.0,10.0,4.0,5.0,44.0,2.0
09/03/2022,"Cincinnati @ Provo, UT",3-0,3.0,43.0,14.0,107.0,0.271,41.0,11.0,9.0,35.0,67.0,9.0,0.0,12.0,4.0,6.0,60.0,1.0
09/09/2022,@ Oregon St.,3-0,3.0,43.0,11.0,96.0,0.333,39.0,9.0,7.0,35.0,58.0,4.0,0.0,20.0,1.0,10.0,62.0,0.0
09/09/2022,"Portland St. @ Corvallis, OR",3-1,4.0,50.0,10.0,143.0,0.28,47.0,13.0,11.0,64.0,69.0,5.0,1.0,20.0,3.0,11.0,74.0,1.0
09/10/2022,"Portland @ Corvallis, OR",3-0,3.0,44.0,15.0,97.0,0.299,44.0,9.0,10.0,46.0,51.0,1.0,1.0,18.0,0.0,10.0,63.0,1.0
09/13/2022,Utah Valley,3-2,5.0,66.0,33.0,174.0,0.19,61.0,6.0,7.0,59.0,100.0,8.0,1.0,12.0,0.0,7.0,79.0,1.0
09/16/2022,@ Utah,0-3,3.0,27.0,20.0,111.0,0.063,23.0,3.0,3.0,42.0,70.0,5.0,0.0,6.0,2.0,3.0,33.0,0.0
09/17/2022,@ Weber St.,3-2,5.0,71.0,28.0,192.0,0.224,69.0,10.0,9.0,81.0,100.0,9.0,2.0,10.0,2.0,7.0,88.0,0.0
09/22/2022,Air Force,3-2,5.0,61.0,35.0,174.0,0.149,58.0,9.0,8.0,76.0,94.0,9.0,5.0,12.0,0.0,11.0,81.0,2.0
09/24/2022,New Mexico,0-3,3.0,47.0,27.0,132.0,0.152,44.0,3.0,10.0,54.0,75.0,3.0,3.0,14.0,3.0,10.0,60.0,0.0
09/29/2022,@ Nevada,3-0,3.0,46.0,11.0,106.0,0.33,43.0,7.0,7.0,58.0,51.0,3.0,1.0,14.0,0.0,8.0,61.0,1.0
10/01/2022,@ San Jose St.,1-3,4.0,48.0,24.0,128.0,0.188,45.0,2.0,9.0,32.0,89.0,6.0,0.0,14.0,0.0,7.0,57.0,2.0
10/06/2022,San Diego St.,3-0,3.0,40.0,11.0,82.0,0.354,34.0,6.0,4.0,32.0,42.0,2.0,2.0,18.0,1.0,11.0,57.0,0.0
10/08/2022,Fresno St.,3-1,4.0,52.0,21.0,132.0,0.235,48.0,9.0,8.0,62.0,72.0,5.0,6.0,12.0,1.0,12.0,73.0,0.0
10/11/2022,Boise St.,3-2,5.0,68.0,19.0,173.0,0.283,62.0,8.0,7.0,78.0,81.0,3.0,7.0,6.0,3.0,10.0,86.0,2.0
10/13/2022,@ UNLV,2-3,5.0,53.0,21.0,150.0,0.213,47.0,10.0,14.0,84.0,86.0,3.0,4.0,9.0,1.0,8.5,71.5,2.0
10/20/2022,@ Wyoming,3-1,4.0,54.0,31.0,142.0,0.162,50.0,7.0,7.0,58.0,77.0,4.0,2.0,14.0,0.0,9.0,70.0,3.0
10/22/2022,Colorado St.,1-3,4.0,51.0,24.0,130.0,0.208,47.0,4.0,8.0,51.0,80.0,6.0,7.0,6.0,3.0,10.0,65.0,1.0
10/25/2022,@ Boise St.,3-1,4.0,50.0,14.0,107.0,0.336,48.0,3.0,9.0,36.0,73.0,10.0,1.0,20.0,1.0,11.0,64.0,0.0
10/29/2022,UNLV,2-3,5.0,72.0,32.0,165.0,0.242,72.0,7.0,6.0,66.0,94.0,2.0,5.0,8.0,1.0,9.0,88.0,0.0
11/03/2022,@ Fresno St.,3-0,3.0,44.0,18.0,96.0,0.271,39.0,10.0,8.0,44.0,54.0,1.0,0.0,12.0,0.0,6.0,60.0,0.0
11/05/2022,@ San Diego St.,3-1,4.0,53.0,14.0,105.0,0.371,51.0,14.0,12.0,40.0,70.0,8.0,1.0,22.0,2.0,12.0,79.0,1.0
11/10/2022,San Jose St.,3-2,5.0,60.0,30.0,160.0,0.188,55.0,4.0,12.0,58.0,94.0,7.0,7.0,6.0,2.0,10.0,74.0,1.0
11/12/2022,Nevada,3-0,3.0,53.0,12.0,101.0,0.406,51.0,3.0,9.0,44.0,45.0,4.0,4.0,6.0,2.0,7.0,63.0,0.0
11/17/2022,@ New Mexico,1-3,4.0,59.0,26.0,151.0,0.219,54.0,3.0,4.0,63.0,83.0,8.0,2.0,14.0,3.0,9.0,71.0,3.0
11/19/2022,@ Air Force,1-3,4.0,64.0,28.0,165.0,0.218,56.0,8.0,10.0,56.0,92.0,4.0,2.0,8.0,0.0,6.0,78.0,2.0
11/23/2022,"New Mexico @ Fort Collins, CO",3-0,3.0,46.0,17.0,99.0,0.293,46.0,8.0,6.0,51.0,47.0,2.0,1.0,8.0,1.0,5.0,59.0,0.0
11/24/2022,"UNLV @ Fort Collins, CO",3-0,3.0,48.0,16.0,105.0,0.305,46.0,5.0,7.0,36.0,61.0,2.0,1.0,18.0,0.0,10.0,63.0,1.0
11/25/2022,"San Jose St. @ Fort Collins, CO",3-1,4.0,58.0,21.0,135.0,0.274,51.0,4.0,9.0,51.0,69.0,3.0,0.0,20.0,0.0,10.0,72.0,0.0
12/02/2022,"Arkansas @ Eugene, OR",0-3,3.0,31.0,17.0,103.0,0.136,30.0,2.0,8.0,33.0,71.0,7.0,0.0,10.0,1.0,5.0,38.0,0.0
