date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,"Miami (OH) @ Peoria, Ill.",3-0,3.0,41.0,8.0,76.0,0.434,39.0,12.0,6.0,36.0,37.0,2.0,1.0,8.0,1.0,5.0,58.0,0.0
08/26/2022,@ Bradley,3-0,3.0,43.0,9.0,84.0,0.405,43.0,6.0,6.0,42.0,42.0,1.0,1.0,10.0,2.0,6.0,55.0,1.0
08/27/2022,"Kansas City @ Peoria, Ill.",3-0,3.0,41.0,9.0,82.0,0.39,41.0,8.0,5.0,30.0,54.0,5.0,2.0,2.0,0.0,3.0,52.0,1.0
08/31/2022,Louisville,0-3,3.0,24.0,24.0,90.0,0.0,23.0,0.0,13.0,23.0,65.0,9.0,3.0,10.0,0.0,8.0,32.0,0.0
09/02/2022,"DePaul @ Bowling Green, OH",3-1,4.0,56.0,15.0,142.0,0.289,53.0,9.0,6.0,67.0,76.0,5.0,2.0,10.0,0.0,7.0,72.0,2.0
09/02/2022,@ Bowling Green,3-1,4.0,52.0,19.0,124.0,0.266,50.0,7.0,13.0,53.0,75.0,5.0,3.0,27.0,2.0,16.5,75.5,1.0
09/03/2022,"Northern Ky. @ Bowling Green, OH",3-0,3.0,38.0,13.0,104.0,0.24,37.0,3.0,8.0,40.0,49.0,5.0,2.0,16.0,3.0,10.0,51.0,0.0
09/08/2022,Northern Ky.,3-2,5.0,54.0,22.0,166.0,0.193,43.0,5.0,5.0,75.0,86.0,9.0,6.0,18.0,1.0,15.0,74.0,1.0
09/09/2022,Toledo,3-0,3.0,40.0,9.0,81.0,0.383,36.0,5.0,6.0,36.0,43.0,1.0,4.0,16.0,1.0,12.0,57.0,0.0
09/10/2022,Austin Peay,3-0,3.0,49.0,14.0,110.0,0.318,45.0,7.0,7.0,43.0,48.0,5.0,2.0,8.0,3.0,6.0,62.0,0.0
09/13/2022,@ Tennessee,3-0,3.0,42.0,11.0,112.0,0.277,39.0,3.0,8.0,48.0,53.0,2.0,2.0,20.0,1.0,12.0,57.0,2.0
09/16/2022,Tennessee Tech,3-1,4.0,55.0,7.0,98.0,0.49,50.0,11.0,7.0,39.0,57.0,7.0,6.0,14.0,4.0,13.0,79.0,1.0
09/16/2022,Texas A&M,0-3,3.0,47.0,12.0,99.0,0.354,46.0,1.0,11.0,32.0,64.0,5.0,0.0,4.0,2.0,2.0,50.0,0.0
09/17/2022,Indiana,3-1,4.0,49.0,14.0,114.0,0.307,43.0,4.0,8.0,47.0,70.0,8.0,4.0,24.0,0.0,16.0,69.0,1.0
09/23/2022,@ UAB,3-0,3.0,52.0,9.0,89.0,0.483,50.0,2.0,6.0,35.0,53.0,4.0,3.0,6.0,0.0,6.0,60.0,1.0
09/24/2022,@ Middle Tenn.,3-0,3.0,44.0,15.0,103.0,0.282,42.0,4.0,5.0,44.0,56.0,4.0,1.0,8.0,3.0,5.0,53.0,0.0
09/30/2022,FIU,3-0,3.0,36.0,8.0,84.0,0.333,34.0,7.0,6.0,28.0,45.0,2.0,6.0,12.0,0.0,12.0,55.0,0.0
10/02/2022,Charlotte,3-0,3.0,40.0,12.0,90.0,0.311,38.0,11.0,2.0,41.0,48.0,2.0,1.0,10.0,0.0,6.0,57.0,1.0
10/09/2022,UTSA,3-0,3.0,41.0,4.0,92.0,0.402,38.0,7.0,14.0,35.0,47.0,3.0,3.0,8.0,3.0,7.0,55.0,1.0
10/14/2022,@ North Texas,3-1,4.0,53.0,12.0,112.0,0.366,48.0,4.0,11.0,39.0,71.0,2.0,2.0,14.0,0.0,9.0,66.0,0.0
