date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,Middle Tenn.,3-1,4.0,46.0,17.0,118.0,0.246,36.0,9.0,7.0,50.0,69.0,5.0,4.0,12.0,0.0,65.0,0.0
08/27/2023,Wofford,3-0,3.0,49.0,18.0,120.0,0.258,46.0,8.0,8.0,53.0,63.0,2.0,3.0,8.0,1.0,64.0,0.0
08/30/2023,@ South Carolina,1-3,4.0,50.0,28.0,141.0,0.156,45.0,1.0,15.0,58.0,92.0,13.0,2.0,10.0,3.0,58.0,1.0
09/01/2023,Western Caro.,3-0,3.0,37.0,17.0,110.0,0.182,36.0,5.0,4.0,61.0,56.0,4.0,2.0,20.0,0.0,54.0,0.0
09/02/2023,South Alabama,0-3,3.0,34.0,17.0,107.0,0.159,31.0,1.0,4.0,44.0,70.0,4.0,3.0,12.0,2.0,44.0,1.0
09/03/2023,Green Bay,3-0,3.0,39.0,7.0,73.0,0.438,37.0,7.0,7.0,39.0,41.0,9.0,1.0,22.0,0.0,58.0,0.0
09/07/2023,"Winthrop @ Gainesville, FL",3-1,4.0,53.0,21.0,138.0,0.232,50.0,6.0,9.0,44.0,82.0,2.0,2.0,18.0,1.0,70.0,0.0
09/08/2023,@ Florida,0-3,3.0,24.0,17.0,91.0,0.077,23.0,4.0,8.0,42.0,60.0,5.0,2.0,8.0,2.0,34.0,0.0
09/09/2023,"Sacramento St. @ Gainesville, FL",3-2,5.0,57.0,20.0,153.0,0.242,52.0,10.0,9.0,64.0,93.0,5.0,3.0,12.0,2.0,76.0,0.0
09/14/2023,"Houston Christian @ New Orleans, LA",3-1,4.0,39.0,23.0,143.0,0.112,37.0,7.0,7.0,68.0,85.0,5.0,5.0,12.0,11.0,57.0,1.0
09/15/2023,@ Tulane,3-0,3.0,37.0,20.0,112.0,0.152,35.0,9.0,5.0,54.0,51.0,2.0,2.0,16.0,2.0,56.0,1.0
