date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2023,Kentucky,3-1,4.0,56.0,10.0,133.0,0.346,49.0,6.0,11.0,53.0,77.0,4.0,2.0,20.0,2.0,74.0,0.0,Kentucky
08/26/2023,Stanford,1-3,4.0,35.0,16.0,120.0,0.158,33.0,5.0,12.0,39.0,80.0,7.0,0.0,2.0,1.0,41.0,0.0,Stanford
08/29/2023,@ Northern Colo.,2-3,5.0,57.0,20.0,131.0,0.282,52.0,7.0,10.0,44.0,95.0,7.0,2.0,20.0,0.0,76.0,1.0,Northern Colo.
09/01/2023,@ Arkansas,2-3,5.0,67.0,19.0,172.0,0.279,63.0,4.0,12.0,79.0,97.0,11.0,1.0,16.0,3.0,80.0,2.0,Arkansas
09/02/2023,"Michigan @ Fayetteville, AR",3-2,5.0,58.0,15.0,192.0,0.224,50.0,6.0,8.0,94.0,96.0,10.0,2.0,8.0,5.0,70.0,1.0,Michigan
09/03/2023,@ Central Ark.,3-2,5.0,58.0,16.0,137.0,0.307,53.0,11.0,12.0,51.0,91.0,3.0,4.0,10.0,0.0,78.0,1.0,Central Ark.
09/07/2023,Bowling Green,3-1,4.0,61.0,15.0,131.0,0.351,57.0,5.0,7.0,51.0,81.0,8.0,1.0,18.0,1.0,76.0,1.0,Bowling Green
09/08/2023,Baylor,0-3,3.0,39.0,16.0,99.0,0.232,36.0,6.0,2.0,44.0,68.0,6.0,0.0,8.0,2.0,49.0,0.0,Baylor
09/09/2023,Pacific,3-1,4.0,52.0,17.0,135.0,0.259,45.0,3.0,3.0,57.0,81.0,8.0,1.0,18.0,0.0,65.0,0.0,Pacific
09/14/2023,@ Colorado,3-2,5.0,74.0,28.0,162.0,0.284,68.0,3.0,20.0,60.0,98.0,5.0,3.0,16.0,0.0,88.0,0.0,Colorado
09/15/2023,Colorado,2-3,5.0,69.0,20.0,146.0,0.336,65.0,7.0,6.0,63.0,92.0,9.0,1.0,16.0,0.0,85.0,2.0,Colorado
09/21/2023,@ Boise St.,2-3,5.0,60.0,23.0,151.0,0.245,58.0,5.0,10.0,58.0,100.0,12.0,0.0,14.0,2.0,72.0,0.0,Boise St.
09/23/2023,@ Utah St.,1-3,4.0,36.0,18.0,103.0,0.175,34.0,4.0,9.0,33.0,82.0,6.0,6.0,12.0,1.0,52.0,3.0,Utah St.
09/28/2023,San Diego St.,3-1,4.0,54.0,21.0,141.0,0.234,51.0,5.0,5.0,52.0,79.0,4.0,0.0,22.0,0.0,70.0,2.0,San Diego St.
09/30/2023,UNLV,3-0,3.0,43.0,8.0,74.0,0.473,36.0,6.0,6.0,30.0,54.0,4.0,2.0,4.0,2.0,53.0,1.0,UNLV
10/03/2023,@ Wyoming,1-3,4.0,53.0,25.0,144.0,0.194,50.0,7.0,9.0,58.0,86.0,5.0,4.0,10.0,1.0,69.0,0.0,Wyoming
10/07/2023,San Jose St.,3-0,3.0,48.0,7.0,96.0,0.427,43.0,6.0,9.0,36.0,58.0,5.0,1.0,24.0,1.0,67.0,0.0,San Jose St.
10/12/2023,@ Air Force,3-2,5.0,65.0,25.0,170.0,0.235,61.0,7.0,8.0,58.0,96.0,4.0,2.0,18.0,3.0,83.0,0.0,Air Force
10/14/2023,@ New Mexico,3-0,3.0,54.0,14.0,107.0,0.374,51.0,6.0,3.0,45.0,58.0,5.0,1.0,9.0,2.0,65.5,0.0,New Mexico
10/19/2023,Fresno St.,2-3,5.0,66.0,23.0,159.0,0.27,64.0,3.0,8.0,66.0,87.0,11.0,3.0,12.0,0.0,78.0,0.0,Fresno St.
10/21/2023,@ Nevada,3-0,3.0,45.0,9.0,76.0,0.474,39.0,8.0,6.0,32.0,34.0,4.0,0.0,12.0,2.0,59.0,0.0,Nevada
10/26/2023,Utah St.,2-3,5.0,63.0,25.0,148.0,0.257,60.0,4.0,9.0,52.0,93.0,3.0,2.0,17.0,1.0,77.5,1.0,Utah St.
10/28/2023,Boise St.,3-0,3.0,46.0,8.0,106.0,0.358,43.0,4.0,6.0,50.0,45.0,0.0,2.0,15.0,2.0,59.5,0.0,Boise St.
