date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/25/2023,"Saint Peter's @ Binghamton, NY",3-0,3.0,44.0,13.0,100.0,0.31,42.0,8.0,4.0,52.0,47.0,7.0,0.0,8.0,0.0,56.0,2.0,Saint Peter's,3,14.666666666666666,4.333333333333333,33.333333333333336,14.0,2.6666666666666665,1.3333333333333333,17.333333333333332,2.333333333333333,0.0,2.6666666666666665,0.0,18.666666666666668,0.6666666666666666
08/26/2023,@ Binghamton,1-3,4.0,52.0,28.0,142.0,0.169,50.0,5.0,11.0,54.0,89.0,8.0,0.0,12.0,0.0,63.0,1.0,Binghamton,4,13.0,7.0,35.5,12.5,1.25,2.75,13.5,2.0,0.0,3.0,0.0,15.75,0.25
08/26/2023,"Merrimack @ Binghamton, NY",3-0,3.0,40.0,13.0,83.0,0.325,34.0,6.0,6.0,33.0,45.0,3.0,1.0,10.0,0.0,52.0,1.0,Merrimack,3,13.333333333333334,4.333333333333333,27.666666666666668,11.333333333333334,2.0,2.0,11.0,1.0,0.3333333333333333,3.3333333333333335,0.0,17.333333333333332,0.3333333333333333
09/01/2023,Canisius,3-1,4.0,66.0,24.0,163.0,0.258,62.0,8.0,10.0,67.0,77.0,5.0,0.0,12.0,1.0,80.0,1.0,Canisius,4,16.5,6.0,40.75,15.5,2.0,2.5,16.75,1.25,0.0,3.0,0.25,20.0,0.25
09/01/2023,Canisius,3-2,5.0,66.0,24.0,187.0,0.225,60.0,8.0,10.0,86.0,92.0,14.0,2.0,18.0,2.0,85.0,1.0,Canisius,5,13.2,4.8,37.4,12.0,1.6,2.0,17.2,2.8,0.4,3.6,0.4,17.0,0.2
09/02/2023,@ Robert Morris,3-1,4.0,66.0,14.0,154.0,0.338,62.0,3.0,6.0,60.0,83.0,6.0,3.0,14.0,1.0,79.0,0.0,Robert Morris,4,16.5,3.5,38.5,15.5,0.75,1.5,15.0,1.5,0.75,3.5,0.25,19.75,0.0
09/15/2023,"East Carolina @ Blacksburg, VA",0-3,3.0,23.0,22.0,102.0,0.01,22.0,3.0,4.0,43.0,66.0,5.0,1.0,6.0,1.0,30.0,3.0,East Carolina,3,7.666666666666667,7.333333333333333,34.0,7.333333333333333,1.0,1.3333333333333333,14.333333333333334,1.6666666666666667,0.3333333333333333,2.0,0.3333333333333333,10.0,1.0
09/16/2023,"Queens (NC) @ Blacksburg, VA",0-3,3.0,35.0,14.0,121.0,0.174,33.0,4.0,7.0,59.0,69.0,10.0,1.0,10.0,2.0,45.0,0.0,Queens ,3,11.666666666666666,4.666666666666667,40.333333333333336,11.0,1.3333333333333333,2.3333333333333335,19.666666666666668,3.333333333333333,0.3333333333333333,3.3333333333333335,0.6666666666666666,15.0,0.0
09/22/2023,@ Fordham,2-3,5.0,59.0,30.0,179.0,0.162,57.0,14.0,9.0,61.0,99.0,8.0,0.0,22.0,4.0,84.0,0.0,Fordham,5,11.8,6.0,35.8,11.4,2.8,1.8,12.2,1.6,0.0,4.4,0.8,16.8,0.0
09/23/2023,@ Fordham,3-0,3.0,50.0,17.0,123.0,0.268,45.0,4.0,7.0,55.0,60.0,4.0,1.0,14.0,1.0,62.0,1.0,Fordham,3,16.666666666666668,5.666666666666667,41.0,15.0,1.3333333333333333,2.3333333333333335,18.333333333333332,1.3333333333333333,0.3333333333333333,4.666666666666667,0.3333333333333333,20.666666666666668,0.3333333333333333
