date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/26/2023,American,2-3,5.0,63.0,23.0,182.0,0.22,57.0,8.0,22.0,72.0,97.0,5.0,5.0,20.0,11.0,86.0,2.0,American,5,12.6,4.6,36.4,11.4,1.6,4.4,14.4,1.0,1.0,4.0,2.2,17.2,0.4,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/26/2023,Georgetown,0-3,3.0,30.0,23.0,105.0,0.067,28.0,6.0,7.0,40.0,63.0,5.0,2.0,8.0,3.0,42.0,1.0,Georgetown,3,10.0,7.666666666666667,35.0,9.333333333333334,2.0,2.333333333333333,13.333333333333334,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0,14.0,0.3333333333333333,,6.3,,2.3,,18.2,,0.11,,5.7,,0.8,,2.2,,7.2,,0.5,,2.0,,1.1,,8.6
08/27/2023,Howard,2-3,5.0,54.0,33.0,169.0,0.124,46.0,7.0,8.0,73.0,92.0,5.0,3.0,14.0,9.0,71.0,1.0,Howard,5,10.8,6.6,33.8,9.2,1.4,1.6,14.6,1.0,0.6,2.8,1.8,14.2,0.2,,7.533333333333334,,4.088888888888889,,23.8,,0.09566666666666668,,6.911111111111111,,1.2,,2.2444444444444445,,9.244444444444445,,0.5555555555555555,,2.222222222222222,,1.0666666666666667,,10.4
09/01/2023,"NJIT @ South Orange, NJ",3-1,4.0,60.0,22.0,162.0,0.235,53.0,6.0,14.0,66.0,76.0,5.0,0.0,10.0,0.0,71.0,1.0,NJIT,4,15.0,5.5,40.5,13.25,1.5,3.5,16.5,1.25,0.0,2.5,0.0,17.75,0.25,11.133333333333333,8.350000000000001,6.288888888888889,4.716666666666667,35.06666666666666,26.3,0.137,0.10275000000000001,9.977777777777778,7.483333333333333,1.6666666666666667,1.25,2.777777777777778,2.0833333333333335,14.111111111111112,10.583333333333334,0.7555555555555555,0.5666666666666667,3.1555555555555554,2.3666666666666663,1.6666666666666667,1.25,15.133333333333333,11.35
09/01/2023,@ Seton Hall,1-3,4.0,53.0,25.0,145.0,0.193,53.0,7.0,13.0,50.0,89.0,3.0,2.0,2.0,0.0,63.0,0.0,Seton Hall,4,13.25,6.25,36.25,13.25,1.75,3.25,12.5,0.75,0.5,0.5,0.0,15.75,0.0,11.933333333333332,9.680000000000001,6.588888888888889,4.873333333333333,36.43333333333333,29.139999999999997,0.142,0.1292,10.594444444444443,8.636666666666667,1.6333333333333335,1.3,2.477777777777778,2.3666666666666667,14.811111111111112,11.766666666666667,0.4222222222222222,0.4533333333333333,2.6555555555555554,2.393333333333333,0.9333333333333332,1.0,15.316666666666668,12.629999999999999
09/02/2023,"Saint Peter's @ South Orange, NJ",3-0,3.0,49.0,19.0,110.0,0.273,45.0,6.0,7.0,52.0,46.0,5.0,1.0,8.0,0.0,60.0,0.0,Saint Peter's,3,16.333333333333332,6.333333333333333,36.66666666666666,15.0,2.0,2.333333333333333,17.333333333333332,1.6666666666666667,0.3333333333333333,2.6666666666666665,0.0,20.0,0.0,13.016666666666666,10.275,6.116666666666666,5.102777777777778,36.849999999999994,30.325,0.18400000000000002,0.13983333333333334,11.9,9.405555555555557,1.55,1.375,2.783333333333333,2.513888888888889,14.533333333333333,11.888888888888891,0.3666666666666667,0.4611111111111111,1.9333333333333336,2.0777777777777775,0.6,0.8333333333333334,15.9,13.15
09/08/2023,Brown,1-3,4.0,58.0,23.0,163.0,0.215,56.0,3.0,14.0,73.0,91.0,6.0,0.0,16.0,10.0,69.0,1.0,Brown,4,14.5,5.75,40.75,14.0,0.75,3.5,18.25,1.5,0.0,4.0,2.5,17.25,0.25,14.861111111111112,11.14047619047619,6.027777777777779,5.278571428571429,37.80555555555555,31.230952380952377,0.2336666666666667,0.15885714285714286,13.833333333333334,10.204761904761906,1.75,1.4642857142857142,3.027777777777778,2.488095238095238,15.444444444444443,12.666666666666668,0.27777777777777773,0.4428571428571429,1.8888888888888886,2.1619047619047618,0.0,0.7142857142857143,17.833333333333332,14.12857142857143
09/08/2023,Robert Morris,3-0,3.0,47.0,12.0,98.0,0.357,45.0,3.0,5.0,48.0,52.0,2.0,2.0,8.0,8.0,56.0,1.0,Robert Morris,3,15.666666666666666,4.0,32.666666666666664,15.0,1.0,1.6666666666666667,16.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,2.6666666666666665,18.666666666666668,0.3333333333333333,14.694444444444445,11.560416666666667,6.111111111111112,5.3375,37.888888888888886,32.420833333333334,0.227,0.16587500000000002,14.083333333333334,10.679166666666667,1.5,1.375,3.027777777777778,2.6145833333333335,16.027777777777775,13.364583333333334,0.27777777777777773,0.3875,2.388888888888889,2.3916666666666666,0.8333333333333334,0.9375,17.666666666666668,14.51875
09/09/2023,Radford,3-0,3.0,43.0,11.0,121.0,0.264,42.0,6.0,8.0,47.0,53.0,4.0,1.0,8.0,0.0,54.0,1.0,Radford,3,14.333333333333334,3.6666666666666665,40.333333333333336,14.0,2.0,2.6666666666666665,15.666666666666666,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.0,18.0,0.3333333333333333,15.5,12.016666666666667,5.361111111111112,5.188888888888889,36.69444444444444,32.44814814814815,0.2816666666666667,0.18711111111111112,14.666666666666666,11.15925925925926,1.25,1.3333333333333333,2.5,2.5092592592592595,17.194444444444443,13.657407407407408,0.3333333333333333,0.4185185185185185,3.1111111111111107,2.4222222222222225,1.722222222222222,1.1296296296296295,18.63888888888889,14.97962962962963
09/15/2023,Middle Tenn.,2-3,5.0,66.0,17.0,129.0,0.38,64.0,7.0,12.0,40.0,90.0,9.0,0.0,12.0,2.0,79.0,0.0,Middle Tenn.,5,13.2,3.4,25.8,12.8,1.4,2.4,8.0,1.8,0.0,2.4,0.4,15.8,0.0,14.833333333333334,12.248333333333333,4.472222222222222,5.036666666666667,37.916666666666664,33.236666666666665,0.2786666666666667,0.19480000000000003,14.333333333333334,11.443333333333333,1.25,1.4,2.611111111111111,2.5250000000000004,16.63888888888889,13.858333333333334,0.3333333333333333,0.41,3.1111111111111107,2.4466666666666668,1.722222222222222,1.0166666666666666,17.972222222222225,15.281666666666666
09/15/2023,UAlbany,1-3,4.0,52.0,21.0,130.0,0.238,49.0,7.0,9.0,51.0,83.0,6.0,2.0,20.0,2.0,71.0,1.0,UAlbany,4,13.0,5.25,32.5,12.25,1.75,2.25,12.75,1.5,0.5,5.0,0.5,17.75,0.25,14.4,12.334848484848486,3.6888888888888887,4.887878787878788,32.93333333333333,32.56060606060606,0.3336666666666667,0.21163636363636365,13.933333333333332,11.566666666666666,1.4666666666666668,1.4000000000000001,2.244444444444445,2.5136363636363637,13.222222222222221,13.325757575757576,0.3333333333333333,0.3727272727272727,2.5777777777777775,2.4424242424242424,1.0222222222222221,0.9606060606060606,17.48888888888889,15.32878787878788
09/16/2023,Seattle U,2-3,5.0,59.0,30.0,152.0,0.191,56.0,9.0,8.0,70.0,87.0,6.0,3.0,14.0,1.0,78.0,1.0,Seattle U,5,11.8,6.0,30.4,11.2,1.8,1.6,14.0,1.2,0.6,2.8,0.2,15.6,0.2,13.511111111111111,12.390277777777778,4.105555555555555,4.918055555555555,32.87777777777778,32.55555555555556,0.29400000000000004,0.21383333333333335,13.016666666666666,11.623611111111112,1.7166666666666668,1.4291666666666665,2.4388888888888887,2.4916666666666667,12.138888888888888,13.277777777777779,0.27777777777777773,0.3833333333333333,3.3555555555555556,2.6555555555555554,0.3,0.9222222222222222,17.183333333333334,15.530555555555557
09/22/2023,@ Rhode Island,3-1,4.0,48.0,22.0,119.0,0.218,45.0,13.0,12.0,51.0,62.0,5.0,1.0,10.0,1.0,67.0,0.0,Rhode Island,4,12.0,5.5,29.75,11.25,3.25,3.0,12.75,1.25,0.25,2.5,0.25,16.75,0.0,12.666666666666666,12.344871794871796,4.883333333333334,5.001282051282051,29.566666666666666,32.38974358974359,0.26966666666666667,0.21207692307692308,12.083333333333334,11.591025641025642,1.6500000000000001,1.4576923076923076,2.0833333333333335,2.4230769230769234,11.583333333333334,13.333333333333334,0.36666666666666664,0.39999999999999997,3.4,2.6666666666666665,0.3666666666666667,0.8666666666666666,16.383333333333333,15.535897435897436
09/23/2023,@ Rhode Island,3-1,4.0,44.0,23.0,133.0,0.158,40.0,18.0,11.0,52.0,76.0,6.0,1.0,10.0,3.0,68.0,0.0,Rhode Island,4,11.0,5.75,33.25,10.0,4.5,2.75,13.0,1.5,0.25,2.5,0.75,17.0,0.0,12.266666666666666,12.320238095238096,5.583333333333333,5.036904761904762,30.883333333333336,32.201190476190476,0.21566666666666667,0.2125,11.566666666666668,11.566666666666666,2.266666666666667,1.5857142857142856,2.283333333333333,2.4642857142857144,13.166666666666666,13.291666666666668,0.45,0.38928571428571423,3.433333333333333,2.6547619047619047,0.31666666666666665,0.8226190476190476,16.7,15.622619047619049
09/29/2023,Saint Louis,2-3,5.0,51.0,27.0,152.0,0.158,47.0,4.0,18.0,56.0,90.0,6.0,1.0,24.0,3.0,68.0,1.0,Saint Louis,5,10.2,5.4,30.4,9.4,0.8,3.6,11.2,1.2,0.2,4.8,0.6,13.6,0.2,11.6,12.232222222222223,5.75,5.084444444444444,31.133333333333336,32.27111111111111,0.18900000000000003,0.20886666666666667,10.816666666666668,11.462222222222222,3.1833333333333336,1.78,2.4499999999999997,2.4833333333333334,13.25,13.272222222222222,0.3666666666666667,0.37999999999999995,2.5999999999999996,2.6444444444444444,0.39999999999999997,0.8177777777777777,16.45,15.714444444444444
09/30/2023,Saint Louis,0-3,3.0,33.0,19.0,110.0,0.127,30.0,6.0,8.0,41.0,68.0,8.0,0.0,10.0,2.0,44.0,1.0,Saint Louis,3,11.0,6.333333333333333,36.66666666666666,10.0,2.0,2.6666666666666665,13.666666666666666,2.6666666666666665,0.0,3.333333333333333,0.6666666666666666,14.666666666666666,0.3333333333333333,11.066666666666668,12.105208333333334,5.55,5.104166666666667,31.133333333333336,32.15416666666667,0.17800000000000002,0.2056875,10.216666666666667,11.333333333333334,2.85,1.71875,3.116666666666667,2.553125,12.316666666666668,13.142708333333333,0.2333333333333333,0.36874999999999997,3.266666666666666,2.7791666666666663,0.5333333333333333,0.8041666666666666,15.783333333333333,15.582291666666666
10/04/2023,@ George Washington,2-3,5.0,69.0,28.0,161.0,0.255,66.0,8.0,14.0,63.0,94.0,6.0,1.0,16.0,2.0,86.0,2.0,George Washington,5,13.8,5.6,32.2,13.2,1.6,2.8,12.6,1.2,0.2,3.2,0.4,17.2,0.4,10.733333333333334,12.040196078431373,5.827777777777778,5.176470588235294,33.43888888888889,32.41960784313726,0.1476666666666667,0.20105882352941176,9.799999999999999,11.254901960784315,2.4333333333333336,1.7352941176470589,3.005555555555556,2.5598039215686272,12.622222222222222,13.173529411764704,0.15,0.34705882352941175,3.5444444444444443,2.8117647058823527,0.6722222222222222,0.7960784313725489,15.088888888888889,15.52843137254902
10/06/2023,@ Dayton,0-3,3.0,23.0,26.0,101.0,-0.03,23.0,2.0,2.0,41.0,67.0,10.0,0.0,6.0,0.0,28.0,2.0,Dayton,3,7.666666666666667,8.666666666666666,33.666666666666664,7.666666666666667,0.6666666666666666,0.6666666666666666,13.666666666666666,3.333333333333333,0.0,2.0,0.0,9.333333333333334,0.6666666666666666,11.666666666666666,12.137962962962964,5.777777777777778,5.199999999999999,33.08888888888889,32.40740740740741,0.18000000000000002,0.20405555555555555,10.866666666666667,11.362962962962962,1.4666666666666668,1.7277777777777779,3.022222222222222,2.5731481481481477,12.488888888888889,13.141666666666666,0.13333333333333333,0.33888888888888885,3.7777777777777772,2.8333333333333335,0.5555555555555555,0.774074074074074,15.155555555555557,15.621296296296297
10/07/2023,@ Dayton,0-3,3.0,30.0,20.0,94.0,0.106,29.0,1.0,9.0,37.0,68.0,8.0,0.0,4.0,0.0,33.0,0.0,Dayton,3,10.0,6.666666666666667,31.33333333333333,9.666666666666666,0.3333333333333333,3.0,12.333333333333334,2.6666666666666665,0.0,1.3333333333333333,0.0,11.0,0.0,10.822222222222223,11.90263157894737,6.866666666666667,5.382456140350877,34.17777777777778,32.473684210526315,0.11733333333333333,0.19173684210526318,10.28888888888889,11.168421052631578,1.4222222222222225,1.6719298245614036,2.0444444444444443,2.4728070175438592,13.31111111111111,13.169298245614034,0.06666666666666667,0.32105263157894737,2.8444444444444437,2.789473684210526,0.35555555555555546,0.7333333333333333,13.733333333333333,15.290350877192981
10/13/2023,Loyola Chicago,0-3,3.0,21.0,19.0,78.0,0.026,20.0,1.0,9.0,30.0,64.0,3.0,2.0,4.0,0.0,26.0,1.0,Loyola Chicago,3,7.0,6.333333333333333,26.0,6.666666666666667,0.3333333333333333,3.0,10.0,1.0,0.6666666666666666,1.3333333333333333,0.0,8.666666666666666,0.3333333333333333,10.488888888888889,11.807500000000001,6.977777777777778,5.446666666666667,32.400000000000006,32.41666666666667,0.11033333333333334,0.18745,10.177777777777779,11.093333333333332,0.866666666666667,1.605,2.1555555555555554,2.4991666666666665,12.866666666666667,13.127499999999998,0.06666666666666667,0.305,2.1777777777777776,2.716666666666667,0.13333333333333333,0.6966666666666665,12.511111111111111,15.075833333333332
10/14/2023,Loyola Chicago,1-3,4.0,47.0,21.0,135.0,0.193,39.0,1.0,9.0,46.0,83.0,7.0,4.0,10.0,5.0,57.0,2.0,Loyola Chicago,4,11.75,5.25,33.75,9.75,0.25,2.25,11.5,1.75,1.0,2.5,1.25,14.25,0.5,8.222222222222223,11.57857142857143,7.222222222222221,5.488888888888889,30.333333333333332,32.111111111111114,0.03400000000000001,0.17976190476190476,8.000000000000002,10.882539682539681,0.4444444444444447,1.5444444444444447,2.222222222222222,2.523015873015873,12.0,12.978571428571426,0.2222222222222222,0.32222222222222224,1.5555555555555554,2.650793650793651,0.0,0.6634920634920635,9.666666666666666,14.77063492063492
10/20/2023,Davidson,0-3,3.0,22.0,30.0,115.0,-0.07,21.0,2.0,4.0,39.0,71.0,1.0,0.0,4.0,0.0,26.0,0.0,Davidson,3,7.333333333333333,10.0,38.333333333333336,7.0,0.6666666666666666,1.3333333333333333,13.0,0.3333333333333333,0.0,1.3333333333333333,0.0,8.666666666666666,0.0,9.583333333333334,11.586363636363636,6.083333333333333,5.478030303030303,30.361111111111114,32.18560606060606,0.10833333333333334,0.18036363636363636,8.694444444444445,10.831060606060605,0.30555555555555586,1.4856060606060608,2.75,2.5106060606060603,11.277777777777779,12.911363636363633,0.5555555555555555,0.353030303030303,1.722222222222222,2.643939393939394,0.4166666666666667,0.6901515151515151,11.305555555555555,14.746969696969698
10/21/2023,Davidson,1-3,4.0,49.0,26.0,141.0,0.163,46.0,4.0,10.0,52.0,90.0,9.0,4.0,6.0,0.0,60.0,0.0,Davidson,4,12.25,6.5,35.25,11.5,1.0,2.5,13.0,2.25,1.0,1.5,0.0,15.0,0.0,8.694444444444445,11.40144927536232,7.1944444444444455,5.674637681159419,32.69444444444445,32.45289855072464,0.04966666666666667,0.16947826086956522,7.805555555555556,10.664492753623188,0.41666666666666696,1.45,2.194444444444444,2.459420289855072,11.5,12.915217391304346,0.5555555555555555,0.33768115942028987,1.722222222222222,2.586956521739131,0.4166666666666667,0.6601449275362318,10.527777777777777,14.482608695652175
10/25/2023,George Washington,3-0,3.0,39.0,11.0,93.0,0.301,36.0,3.0,13.0,51.0,43.0,2.0,2.0,22.0,0.0,55.0,1.0,George Washington,3,13.0,3.6666666666666665,31.0,12.0,1.0,4.333333333333333,17.0,0.6666666666666666,0.6666666666666666,7.333333333333333,0.0,18.33333333333333,0.3333333333333333,10.444444444444445,11.436805555555557,7.25,5.709027777777777,35.77777777777778,32.56944444444445,0.09533333333333334,0.16920833333333332,9.416666666666666,10.699305555555554,0.6388888888888892,1.4312500000000001,2.027777777777778,2.461111111111111,12.5,12.918749999999998,0.6666666666666666,0.36527777777777776,1.7777777777777775,2.541666666666667,0.4166666666666667,0.6326388888888889,12.638888888888888,14.504166666666668
