date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set,rolling_kills/set_3,rolling_kills/set_total,rolling_errors/set_3,rolling_errors/set_total,rolling_total_attacks/set_3,rolling_total_attacks/set_total,rolling_hit_pct_3,rolling_hit_pct_total,rolling_assists/set_3,rolling_assists/set_total,rolling_aces/set_3,rolling_aces/set_total,rolling_serr/set_3,rolling_serr/set_total,rolling_digs/set_3,rolling_digs/set_total,rolling_b_solo/set_3,rolling_b_solo/set_total,rolling_b_assist/set_3,rolling_b_assist/set_total,rolling_b_error/set_3,rolling_b_error/set_total,rolling_pts/set_3,rolling_pts/set_total
08/25/2023,South Dakota,3-0,3.0,46.0,12.0,110.0,0.309,43.0,3.0,11.0,45.0,48.0,2.0,2.0,10.0,3.0,56.0,0.0,South Dakota,3,15.333333333333334,4.0,36.66666666666666,14.333333333333334,1.0,3.6666666666666665,15.0,0.6666666666666666,0.6666666666666666,3.333333333333333,1.0,18.666666666666668,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
08/27/2023,DePaul,3-0,3.0,46.0,10.0,109.0,0.33,42.0,2.0,9.0,48.0,45.0,1.0,1.0,22.0,2.0,60.0,0.0,DePaul,3,15.333333333333334,3.333333333333333,36.333333333333336,14.0,0.6666666666666666,3.0,16.0,0.3333333333333333,0.3333333333333333,7.333333333333333,0.6666666666666666,20.0,0.0,,7.666666666666667,,2.0,,18.33333333333333,,0.1545,,7.166666666666667,,0.5,,1.8333333333333333,,7.5,,0.3333333333333333,,1.6666666666666665,,0.5,,9.333333333333334
09/01/2023,"Arizona @ Phoenix, AZ",3-1,4.0,51.0,19.0,133.0,0.241,40.0,8.0,17.0,57.0,73.0,3.0,9.0,4.0,1.0,70.0,1.0,Arizona,4,12.75,4.75,33.25,10.0,2.0,4.25,14.25,0.75,2.25,1.0,0.25,17.5,0.25,,10.222222222222223,,2.444444444444444,,24.333333333333332,,0.213,,9.444444444444445,,0.5555555555555555,,2.222222222222222,,10.333333333333334,,0.3333333333333333,,3.5555555555555554,,0.5555555555555555,,12.888888888888891
09/02/2023,"LIU @ Phoenix, AZ",3-0,3.0,45.0,16.0,97.0,0.299,37.0,7.0,12.0,43.0,47.0,3.0,7.0,2.0,0.0,60.0,1.0,LIU,3,15.0,5.333333333333333,32.333333333333336,12.333333333333334,2.333333333333333,4.0,14.333333333333334,1.0,2.333333333333333,0.6666666666666666,0.0,20.0,0.3333333333333333,14.472222222222223,10.854166666666668,4.027777777777778,3.020833333333333,35.416666666666664,26.5625,0.29333333333333333,0.22,12.777777777777779,9.583333333333334,1.222222222222222,0.9166666666666666,3.638888888888889,2.7291666666666665,15.083333333333334,11.3125,1.0833333333333333,0.8125,3.888888888888889,2.9166666666666665,0.6388888888888888,0.47916666666666663,18.722222222222225,14.041666666666668
09/02/2023,@ Grand Canyon,3-2,5.0,62.0,17.0,164.0,0.274,56.0,9.0,14.0,76.0,88.0,8.0,13.0,6.0,0.0,87.0,1.0,Grand Canyon,5,12.4,3.4,32.8,11.2,1.8,2.8,15.2,1.6,2.6,1.2,0.0,17.4,0.2,14.361111111111109,11.683333333333334,4.472222222222222,3.483333333333333,33.97222222222222,27.71666666666667,0.29,0.2358,12.111111111111109,10.133333333333335,1.6666666666666667,1.2,3.75,2.9833333333333334,14.861111111111112,11.916666666666668,1.6388888888888886,1.1166666666666667,2.9999999999999996,2.4666666666666663,0.3055555555555555,0.3833333333333333,19.166666666666668,15.233333333333334
09/06/2023,@ Iowa,3-2,5.0,68.0,23.0,159.0,0.283,61.0,5.0,4.0,63.0,95.0,6.0,0.0,18.0,1.0,82.0,2.0,Iowa,5,13.6,4.6,31.8,12.2,1.0,0.8,12.6,1.2,0.0,3.6,0.2,16.4,0.4,13.383333333333333,11.802777777777779,4.4944444444444445,3.4694444444444437,32.794444444444444,28.563888888888886,0.27133333333333337,0.24216666666666667,11.177777777777777,10.311111111111112,2.0444444444444443,1.3,3.6833333333333336,2.9527777777777775,14.594444444444443,12.463888888888889,2.3944444444444444,1.363888888888889,0.9555555555555556,2.255555555555555,0.08333333333333333,0.3194444444444444,18.299999999999997,15.594444444444443
09/09/2023,@ Omaha,3-1,4.0,46.0,17.0,128.0,0.227,42.0,10.0,8.0,51.0,73.0,8.0,4.0,20.0,4.0,70.0,0.0,Omaha,4,11.5,4.25,32.0,10.5,2.5,2.0,12.75,2.0,1.0,5.0,1.0,17.5,0.0,13.666666666666666,12.05952380952381,4.444444444444445,3.6309523809523805,32.31111111111111,29.026190476190475,0.2853333333333333,0.248,11.911111111111111,10.580952380952382,1.711111111111111,1.2571428571428573,2.533333333333333,2.645238095238095,14.044444444444444,12.483333333333333,1.6444444444444446,1.1690476190476191,1.8222222222222222,2.4476190476190474,0.06666666666666667,0.30238095238095236,17.933333333333334,15.70952380952381
09/10/2023,"Creighton @ Omaha, NE",1-3,4.0,50.0,26.0,151.0,0.159,50.0,5.0,10.0,63.0,86.0,1.0,1.0,13.0,5.0,62.5,0.0,Creighton,4,12.5,6.5,37.75,12.5,1.25,2.5,15.75,0.25,0.25,3.25,1.25,15.625,0.0,12.5,11.989583333333334,4.083333333333333,3.708333333333333,32.199999999999996,29.397916666666667,0.2613333333333333,0.245375,11.299999999999999,10.570833333333335,1.7666666666666668,1.4125,1.8666666666666665,2.564583333333333,13.516666666666666,12.516666666666666,1.2,1.1479166666666667,3.266666666666667,2.7666666666666666,0.39999999999999997,0.38958333333333334,17.099999999999998,15.933333333333334
09/14/2023,UC Santa Barbara,1-3,4.0,52.0,28.0,142.0,0.169,49.0,6.0,8.0,56.0,82.0,8.0,0.0,12.0,1.0,64.0,0.0,UC Santa Barbara,4,13.0,7.0,35.5,12.25,1.5,2.0,14.0,2.0,0.0,3.0,0.25,16.0,0.0,12.533333333333333,12.046296296296298,5.116666666666666,4.018518518518518,33.85,30.325925925925926,0.223,0.23577777777777775,11.733333333333334,10.785185185185187,1.5833333333333333,1.3944444444444446,1.7666666666666666,2.5574074074074074,13.700000000000001,12.875925925925925,0.4166666666666667,1.0481481481481483,3.9500000000000006,2.8203703703703704,0.8166666666666668,0.4851851851851852,16.508333333333336,15.899074074074074
09/15/2023,Ohio,3-0,3.0,39.0,7.0,85.0,0.376,36.0,5.0,3.0,36.0,50.0,3.0,1.0,15.0,3.0,52.5,0.0,Ohio,3,13.0,2.333333333333333,28.33333333333333,12.0,1.6666666666666667,1.0,12.0,1.0,0.3333333333333333,5.0,1.0,17.5,0.0,12.333333333333334,12.141666666666667,5.916666666666667,4.316666666666666,35.083333333333336,30.843333333333334,0.18500000000000003,0.2291,11.75,10.931666666666668,1.75,1.405,2.1666666666666665,2.5016666666666665,14.166666666666666,12.988333333333333,0.4166666666666667,0.9433333333333334,3.75,2.8383333333333334,0.8333333333333334,0.4616666666666667,16.375,15.909166666666668
