date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/25/2023,"Lehigh @ Philadelphia, PA",2-3,5.0,52.0,28.0,184.0,0.13,47.0,7.0,7.0,75.0,104.0,9.0,8.0,0.0,1.0,67.0,1.0,Lehigh,5,10.4,5.6,36.8,9.4,1.4,1.4,15.0,1.8,1.6,0.0,0.2,13.4,0.2
08/26/2023,"Iona @ Philadelphia, PA",0-3,3.0,30.0,18.0,99.0,0.121,28.0,4.0,8.0,44.0,66.0,12.0,4.0,0.0,2.0,38.0,1.0,Iona,3,10.0,6.0,33.0,9.333333333333334,1.3333333333333333,2.6666666666666665,14.666666666666666,4.0,1.3333333333333333,0.0,0.6666666666666666,12.666666666666666,0.3333333333333333
08/26/2023,@ Temple,0-3,3.0,25.0,17.0,115.0,0.07,24.0,2.0,5.0,43.0,68.0,3.0,3.0,10.0,2.0,35.0,1.0,Temple,3,8.333333333333334,5.666666666666667,38.333333333333336,8.0,0.6666666666666666,1.6666666666666667,14.333333333333334,1.0,1.0,3.3333333333333335,0.6666666666666666,11.666666666666666,0.3333333333333333
09/01/2023,@ Grand Canyon,0-3,3.0,20.0,24.0,87.0,-0.046,18.0,4.0,6.0,33.0,63.0,6.0,3.0,2.0,0.0,28.0,1.0,Grand Canyon,3,6.666666666666667,8.0,29.0,6.0,1.3333333333333333,2.0,11.0,2.0,1.0,0.6666666666666666,0.0,9.333333333333334,0.3333333333333333
09/02/2023,"Iowa St. @ Phoenix, AZ",0-3,3.0,19.0,14.0,81.0,0.062,17.0,3.0,7.0,34.0,61.0,7.0,2.0,2.0,0.0,25.0,1.0,Iowa St.,3,6.333333333333333,4.666666666666667,27.0,5.666666666666667,1.0,2.3333333333333335,11.333333333333334,2.333333333333333,0.6666666666666666,0.6666666666666666,0.0,8.333333333333334,0.3333333333333333
09/02/2023,"Arizona @ Phoenix, AZ",0-3,3.0,23.0,12.0,92.0,0.12,21.0,1.0,8.0,34.0,69.0,5.0,3.0,2.0,0.0,28.0,2.0,Arizona,3,7.666666666666667,4.0,30.666666666666668,7.0,0.3333333333333333,2.6666666666666665,11.333333333333334,1.6666666666666667,1.0,0.6666666666666666,0.0,9.333333333333334,0.6666666666666666
09/05/2023,Fairfield,3-0,3.0,48.0,21.0,144.0,0.188,44.0,4.0,11.0,62.0,68.0,3.0,0.0,18.0,0.0,61.0,1.0,Fairfield,3,16.0,7.0,48.0,14.666666666666666,1.3333333333333333,3.6666666666666665,20.666666666666668,1.0,0.0,6.0,0.0,20.333333333333332,0.3333333333333333
09/07/2023,"Boston College @ New Rochelle, NY",0-3,3.0,16.0,19.0,107.0,-0.028,15.0,0.0,4.0,46.0,67.0,6.0,0.0,23.0,5.0,27.5,2.0,Boston College,3,5.333333333333333,6.333333333333333,35.666666666666664,5.0,0.0,1.3333333333333333,15.333333333333334,2.0,0.0,7.666666666666667,1.6666666666666667,9.166666666666666,0.6666666666666666
09/08/2023,"Fordham @ New Rochelle, NY",1-3,4.0,48.0,26.0,178.0,0.124,45.0,2.0,10.0,75.0,90.0,6.0,0.0,16.0,4.0,58.0,2.0,Fordham,4,12.0,6.5,44.5,11.25,0.5,2.5,18.75,1.5,0.0,4.0,1.0,14.5,0.5
09/09/2023,@ Iona,1-3,4.0,36.0,14.0,133.0,0.165,36.0,2.0,8.0,63.0,83.0,10.0,7.0,14.0,2.0,52.0,1.0,Iona,4,9.0,3.5,33.25,9.0,0.5,2.0,15.75,2.5,1.75,3.5,0.5,13.0,0.25
09/12/2023,Delaware St.,2-3,5.0,55.0,22.0,167.0,0.198,54.0,2.0,9.0,74.0,100.0,10.0,1.0,18.0,1.0,67.0,2.0,Delaware St.,5,11.0,4.4,33.4,10.8,0.4,1.8,14.8,2.0,0.2,3.6,0.2,13.4,0.4
09/14/2023,@ Kansas St.,0-3,3.0,16.0,20.0,86.0,-0.047,14.0,0.0,6.0,31.0,65.0,7.0,0.0,8.0,0.0,20.0,1.0,Kansas St.,3,5.333333333333333,6.666666666666667,28.666666666666668,4.666666666666667,0.0,2.0,10.333333333333334,2.333333333333333,0.0,2.6666666666666665,0.0,6.666666666666667,0.3333333333333333
09/15/2023,"Rice @ Manhattan, KS",2-3,5.0,52.0,18.0,195.0,0.174,48.0,8.0,13.0,93.0,94.0,4.0,3.0,10.0,0.0,68.0,1.0,Rice,5,10.4,3.6,39.0,9.6,1.6,2.6,18.6,0.8,0.6,2.0,0.0,13.6,0.2
09/22/2023,Central Conn. St.,3-2,5.0,67.0,25.0,187.0,0.225,63.0,7.0,15.0,91.0,90.0,2.0,2.0,18.0,2.0,85.0,1.0,Central Conn. St.,5,13.4,5.0,37.4,12.6,1.4,3.0,18.2,0.4,0.4,3.6,0.4,17.0,0.2
09/23/2023,Sacred Heart,2-3,5.0,55.0,24.0,159.0,0.195,53.0,14.0,11.0,65.0,104.0,9.0,0.0,32.0,0.0,85.0,1.0,Sacred Heart,5,11.0,4.8,31.8,10.6,2.8,2.2,13.0,1.8,0.0,6.4,0.0,17.0,0.2
09/29/2023,@ Le Moyne,3-0,3.0,34.0,11.0,86.0,0.267,34.0,10.0,9.0,42.0,40.0,2.0,0.0,16.0,2.0,52.0,0.0,Le Moyne,3,11.333333333333334,3.6666666666666665,28.666666666666668,11.333333333333334,3.3333333333333335,3.0,14.0,0.6666666666666666,0.0,5.333333333333333,0.6666666666666666,17.333333333333332,0.0
