date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2023,Utah St.,3-0,3.0,36.0,12.0,84.0,0.286,33.0,4.0,7.0,31.0,45.0,5.0,2.0,18.0,3.0,51.0,0.0,Utah St.
08/26/2023,Lipscomb,3-0,3.0,42.0,12.0,82.0,0.366,38.0,4.0,8.0,38.0,34.0,5.0,0.0,12.0,1.0,52.0,0.0,Lipscomb
08/27/2023,SMU,3-0,3.0,38.0,22.0,111.0,0.144,37.0,4.0,7.0,60.0,43.0,1.0,0.0,22.0,0.0,53.0,0.0,SMU
08/30/2023,Omaha,3-0,3.0,29.0,8.0,80.0,0.262,25.0,7.0,12.0,33.0,32.0,1.0,0.0,14.0,0.0,43.0,1.0,Omaha
09/03/2023,@ Kansas St.,3-0,3.0,42.0,14.0,101.0,0.277,39.0,2.0,7.0,46.0,50.0,3.0,1.0,22.0,0.0,56.0,0.0,Kansas St.
09/06/2023,Creighton,3-1,4.0,52.0,16.0,118.0,0.305,49.0,6.0,6.0,47.0,58.0,2.0,2.0,16.0,3.0,68.0,1.0,Creighton
09/09/2023,Long Beach St.,3-0,3.0,46.0,11.0,89.0,0.393,41.0,3.0,10.0,33.0,42.0,1.0,1.0,16.0,0.0,58.0,0.0,Long Beach St.
09/12/2023,@ Stanford,3-1,4.0,52.0,16.0,108.0,0.333,47.0,4.0,17.0,38.0,71.0,4.0,0.0,23.0,1.0,67.5,0.0,Stanford
09/17/2023,Kentucky,3-1,4.0,62.0,15.0,139.0,0.338,58.0,4.0,6.0,61.0,69.0,4.0,1.0,16.0,2.0,75.0,1.0,Kentucky
09/22/2023,Ohio St.,3-0,3.0,42.0,11.0,93.0,0.333,41.0,3.0,9.0,37.0,44.0,3.0,1.0,20.0,2.0,56.0,1.0,Ohio St.
09/24/2023,Minnesota,3-0,3.0,46.0,22.0,112.0,0.214,44.0,3.0,7.0,52.0,56.0,3.0,3.0,8.0,0.0,56.0,0.0,Minnesota
09/29/2023,@ Purdue,3-2,5.0,74.0,24.0,161.0,0.311,67.0,2.0,12.0,56.0,99.0,3.0,4.0,23.0,1.0,91.5,0.0,Purdue
09/30/2023,@ Indiana,3-1,4.0,65.0,20.0,133.0,0.338,61.0,2.0,16.0,53.0,76.0,3.0,0.0,4.0,4.0,69.0,0.0,Indiana
10/06/2023,@ Michigan St.,3-1,4.0,39.0,20.0,113.0,0.168,38.0,10.0,15.0,45.0,60.0,4.0,2.0,10.0,0.0,56.0,0.0,Michigan St.
10/07/2023,@ Michigan,3-0,3.0,48.0,12.0,105.0,0.343,45.0,6.0,12.0,46.0,48.0,4.0,1.0,10.0,0.0,60.0,0.0,Michigan
10/13/2023,Michigan St.,3-1,4.0,57.0,18.0,129.0,0.302,48.0,2.0,14.0,59.0,58.0,2.0,2.0,18.0,0.0,70.0,0.0,Michigan St.
10/14/2023,Penn St.,3-0,3.0,46.0,17.0,108.0,0.269,44.0,2.0,13.0,47.0,57.0,0.0,0.0,16.0,2.0,56.0,0.0,Penn St.
10/18/2023,@ Northwestern,3-0,3.0,45.0,11.0,86.0,0.395,42.0,9.0,11.0,35.0,47.0,4.0,1.0,8.0,0.0,59.0,0.0,Northwestern
10/21/2023,Wisconsin,3-2,5.0,69.0,44.0,193.0,0.13,63.0,3.0,11.0,74.0,98.0,0.0,1.0,12.0,4.0,79.0,1.0,Wisconsin
10/27/2023,Maryland,3-0,3.0,44.0,14.0,86.0,0.349,40.0,5.0,7.0,43.0,38.0,2.0,0.0,17.0,0.0,57.5,0.0,Maryland
10/28/2023,Rutgers,3-0,3.0,44.0,11.0,86.0,0.384,41.0,4.0,9.0,33.0,43.0,1.0,0.0,19.0,0.0,57.5,1.0,Rutgers
11/03/2023,@ Penn St.,3-2,5.0,71.0,25.0,160.0,0.288,66.0,2.0,12.0,56.0,89.0,0.0,1.0,16.0,2.0,82.0,1.0,Penn St.
11/05/2023,@ Rutgers,3-0,3.0,52.0,14.0,132.0,0.288,50.0,1.0,8.0,61.0,48.0,1.0,2.0,12.0,0.0,61.0,2.0,Rutgers
11/08/2023,Northwestern,3-1,4.0,56.0,21.0,126.0,0.278,52.0,4.0,7.0,46.0,72.0,3.0,1.0,24.0,3.0,73.0,0.0,Northwestern
11/12/2023,Illinois,3-1,4.0,54.0,22.0,135.0,0.237,50.0,10.0,8.0,52.0,70.0,5.0,1.0,17.0,3.0,73.5,2.0,Illinois
11/17/2023,Michigan,3-0,3.0,41.0,9.0,87.0,0.368,36.0,2.0,10.0,45.0,40.0,1.0,0.0,16.0,1.0,51.0,0.0,Michigan
11/19/2023,@ Iowa,3-0,3.0,46.0,18.0,120.0,0.233,42.0,4.0,6.0,59.0,50.0,2.0,0.0,12.0,1.0,56.0,1.0,Iowa
11/24/2023,@ Wisconsin,0-3,3.0,45.0,18.0,111.0,0.243,41.0,3.0,3.0,42.0,72.0,5.0,1.0,4.0,3.0,51.0,0.0,Wisconsin
11/25/2023,@ Minnesota,3-1,4.0,61.0,22.0,166.0,0.235,58.0,6.0,9.0,71.0,79.0,3.0,2.0,26.0,3.0,82.0,1.0,Minnesota
12/01/2023,LIU,3-0,3.0,44.0,16.0,100.0,0.28,41.0,7.0,6.0,46.0,44.0,1.0,0.0,12.0,0.0,57.0,0.0,LIU
12/02/2023,Missouri,3-0,3.0,35.0,12.0,87.0,0.264,33.0,5.0,4.0,35.0,48.0,2.0,0.0,28.0,1.0,54.0,0.0,Missouri
12/07/2023,Georgia Tech,3-0,3.0,37.0,9.0,86.0,0.326,33.0,2.0,5.0,39.0,43.0,3.0,2.0,18.0,1.0,50.0,1.0,Georgia Tech
