date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/25/2023,"North Carolina @ Tucson, AZ",2-3,5.0,61.0,26.0,177.0,0.198,57.0,2.0,11.0,67.0,102.0,6.0,2.0,6.0,0.0,68.0,0.0,North Carolina,5,12.2,5.2,35.4,11.4,0.4,2.2,13.4,1.2,0.4,1.2,0.0,13.6,0.0
08/26/2023,@ Arizona,1-3,4.0,54.0,31.0,170.0,0.135,52.0,6.0,10.0,68.0,89.0,3.0,0.0,12.0,0.0,66.0,1.0,Arizona,4,13.5,7.75,42.5,13.0,1.5,2.5,17.0,0.75,0.0,3.0,0.0,16.5,0.25
08/29/2023,UC Davis,3-1,4.0,54.0,24.0,155.0,0.194,52.0,6.0,14.0,68.0,85.0,7.0,4.0,8.0,0.0,68.0,10.0,UC Davis,4,13.5,6.0,38.75,13.0,1.5,3.5,17.0,1.75,1.0,2.0,0.0,17.0,2.5
09/01/2023,"Nevada @ Cheney, WA",3-0,3.0,47.0,22.0,133.0,0.188,42.0,5.0,3.0,62.0,62.0,3.0,2.0,4.0,0.0,56.0,0.0,Nevada,3,15.666666666666666,7.333333333333333,44.333333333333336,14.0,1.6666666666666667,1.0,20.666666666666668,1.0,0.6666666666666666,1.3333333333333333,0.0,18.666666666666668,0.0
09/01/2023,"Seattle U @ Cheney, WA",3-0,3.0,43.0,14.0,88.0,0.33,40.0,5.0,11.0,30.0,56.0,3.0,2.0,10.0,4.0,55.0,0.0,Seattle U,3,14.333333333333334,4.666666666666667,29.333333333333332,13.333333333333334,1.6666666666666667,3.6666666666666665,10.0,1.0,0.6666666666666666,3.3333333333333335,1.3333333333333333,18.333333333333332,0.0
09/02/2023,@ Eastern Wash.,3-0,3.0,41.0,19.0,113.0,0.195,37.0,8.0,5.0,51.0,54.0,2.0,4.0,10.0,0.0,58.0,0.0,Eastern Wash.,3,13.666666666666666,6.333333333333333,37.666666666666664,12.333333333333334,2.6666666666666665,1.6666666666666667,17.0,0.6666666666666666,1.3333333333333333,3.3333333333333335,0.0,19.333333333333332,0.0
09/08/2023,"Bowling Green @ Fort Collins, CO",3-2,5.0,56.0,32.0,154.0,0.156,52.0,8.0,9.0,57.0,87.0,6.0,3.0,12.0,2.0,73.0,0.0,Bowling Green,5,11.2,6.4,30.8,10.4,1.6,1.8,11.4,1.2,0.6,2.4,0.4,14.6,0.0
09/09/2023,@ Colorado St.,1-3,4.0,61.0,33.0,160.0,0.175,58.0,8.0,10.0,55.0,96.0,3.0,4.0,8.0,4.0,77.0,1.0,Colorado St.,4,15.25,8.25,40.0,14.5,2.0,2.5,13.75,0.75,1.0,2.0,1.0,19.25,0.25
09/10/2023,"Baylor @ Fort Collins, CO",0-3,3.0,34.0,16.0,89.0,0.202,34.0,7.0,7.0,28.0,69.0,3.0,0.0,4.0,2.0,43.0,0.0,Baylor,3,11.333333333333334,5.333333333333333,29.666666666666668,11.333333333333334,2.3333333333333335,2.3333333333333335,9.333333333333334,1.0,0.0,1.3333333333333333,0.6666666666666666,14.333333333333334,0.0
09/14/2023,Fresno St.,3-0,3.0,38.0,19.0,125.0,0.152,36.0,10.0,13.0,57.0,61.0,2.0,3.0,8.0,0.0,55.0,8.0,Fresno St.,3,12.666666666666666,6.333333333333333,41.666666666666664,12.0,3.3333333333333335,4.333333333333333,19.0,0.6666666666666666,1.0,2.6666666666666665,0.0,18.333333333333332,2.6666666666666665
