date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent
08/25/2023,@ Tarleton St.,3-2,5.0,47.0,22.0,152.0,0.164,43.0,7.0,4.0,69.0,102.0,6.0,2.0,18.0,0.0,65.0,8.0,Tarleton St.
08/25/2023,"UIW @ Stephenville, TX",0-3,3.0,23.0,13.0,88.0,0.114,21.0,11.0,6.0,28.0,63.0,5.0,1.0,4.0,1.0,37.0,0.0,UIW
08/26/2023,"Northern Ariz. @ Stephenville, TX",3-2,5.0,65.0,27.0,174.0,0.218,58.0,6.0,11.0,68.0,102.0,7.0,0.0,14.0,1.0,78.0,3.0,Northern Ariz.
08/31/2023,@ Houston Christian,0-3,3.0,34.0,22.0,111.0,0.108,32.0,3.0,4.0,48.0,67.0,5.0,0.0,10.0,2.0,42.0,3.0,Houston Christian
09/01/2023,"Arkansas St. @ Houston, TX",0-3,3.0,27.0,13.0,83.0,0.169,26.0,2.0,9.0,32.0,67.0,6.0,4.0,10.0,0.0,38.0,1.0,Arkansas St.
09/02/2023,"UTRGV @ Houston, TX",0-3,3.0,32.0,16.0,85.0,0.188,28.0,3.0,2.0,32.0,65.0,8.0,0.0,2.0,2.0,36.0,1.0,UTRGV
09/05/2023,@ Tex. A&M-Commerce,3-1,4.0,61.0,23.0,152.0,0.25,58.0,8.0,12.0,65.0,72.0,1.0,1.0,22.0,0.0,81.0,0.0,Tex. A&M-Commerce
09/07/2023,"Weber St. @ Corpus Christi, TX",0-3,3.0,34.0,16.0,118.0,0.153,33.0,2.0,2.0,57.0,64.0,4.0,3.0,0.0,1.0,39.0,2.0,Weber St.
09/07/2023,@ A&M-Corpus Christi,2-3,5.0,49.0,22.0,137.0,0.197,46.0,3.0,10.0,56.0,100.0,11.0,6.0,4.0,1.0,60.0,1.0,A&M-Corpus Christi
09/08/2023,"Tulane @ Corpus Christi, TX",0-3,3.0,34.0,18.0,127.0,0.126,31.0,4.0,4.0,57.0,68.0,6.0,0.0,2.0,1.0,39.0,1.0,Tulane
09/12/2023,Tarleton St.,1-3,4.0,47.0,19.0,158.0,0.177,47.0,4.0,12.0,49.0,91.0,7.0,0.0,4.0,0.0,53.0,0.0,Tarleton St.
09/15/2023,"Nicholls @ Lafayette, La.",3-0,3.0,36.0,16.0,95.0,0.211,35.0,7.0,7.0,45.0,0.0,5.0,3.0,14.0,1.0,53.0,2.0,Nicholls
09/16/2023,"New Orleans @ Lafayette, La.",3-0,3.0,41.0,12.0,99.0,0.293,38.0,8.0,7.0,44.0,0.0,2.0,0.0,14.0,0.0,56.0,1.0,New Orleans
09/16/2023,@ Louisiana,0-3,3.0,27.0,13.0,96.0,0.146,26.0,4.0,7.0,47.0,0.0,4.0,1.0,12.0,0.0,38.0,2.0,Louisiana
09/24/2023,Ark.-Pine Bluff,3-0,3.0,36.0,9.0,87.0,0.31,29.0,7.0,9.0,47.0,33.0,0.0,3.0,2.0,0.0,47.0,0.0,Ark.-Pine Bluff
09/27/2023,Grambling,3-1,4.0,42.0,19.0,139.0,0.165,40.0,7.0,5.0,74.0,78.0,9.0,6.0,8.0,1.0,59.0,0.0,Grambling
10/01/2023,Alcorn,3-0,3.0,39.0,11.0,88.0,0.318,35.0,8.0,7.0,41.0,28.0,2.0,1.0,8.0,0.0,52.0,0.0,Alcorn
