date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/25/2023,"Murray St. @ Macomb, IL",2-3,5.0,43.0,19.0,158.0,0.152,34.0,10.0,10.0,58.0,94.0,8.0,1.0,28.0,0.0,68.0,2.0,Murray St.,5,8.6,3.8,31.6,6.8,2.0,2.0,11.6,1.6,0.2,5.6,0.0,13.6,0.4
08/26/2023,"Cleveland St. @ Macomb, IL",0-3,3.0,30.0,17.0,98.0,0.133,25.0,2.0,10.0,35.0,71.0,8.0,0.0,12.0,0.0,38.0,1.0,Cleveland St.,3,10.0,5.666666666666667,32.666666666666664,8.333333333333334,0.6666666666666666,3.3333333333333335,11.666666666666666,2.6666666666666665,0.0,4.0,0.0,12.666666666666666,0.3333333333333333
09/01/2023,"Ole Miss @ Nashville, TN",0-3,3.0,31.0,22.0,90.0,0.1,31.0,3.0,4.0,31.0,66.0,6.0,1.0,4.0,1.0,37.0,0.0,Ole Miss,3,10.333333333333334,7.333333333333333,30.0,10.333333333333334,1.0,1.3333333333333333,10.333333333333334,2.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,12.333333333333334,0.0
09/02/2023,@ Lipscomb,0-3,3.0,23.0,20.0,79.0,0.038,23.0,3.0,4.0,28.0,64.0,7.0,1.0,8.0,0.0,31.0,0.0,Lipscomb,3,7.666666666666667,6.666666666666667,26.333333333333332,7.666666666666667,1.0,1.3333333333333333,9.333333333333334,2.333333333333333,0.3333333333333333,2.6666666666666665,0.0,10.333333333333334,0.0
09/08/2023,@ Utah,0-3,3.0,27.0,12.0,88.0,0.17,24.0,4.0,10.0,32.0,67.0,9.0,0.0,10.0,1.0,36.0,2.0,Utah,3,9.0,4.0,29.333333333333332,8.0,1.3333333333333333,3.3333333333333335,10.666666666666666,3.0,0.0,3.3333333333333335,0.3333333333333333,12.0,0.6666666666666666
09/08/2023,"San Francisco @ Salt Lake City, UT",2-3,5.0,61.0,29.0,171.0,0.187,56.0,5.0,12.0,60.0,104.0,5.0,4.0,18.0,2.0,79.0,1.0,San Francisco,5,12.2,5.8,34.2,11.2,1.0,2.4,12.0,1.0,0.8,3.6,0.4,15.8,0.2
09/09/2023,"UC Santa Barbara @ Salt Lake City, UT",0-3,3.0,29.0,23.0,105.0,0.057,24.0,2.0,5.0,46.0,69.0,9.0,3.0,15.0,0.0,41.5,2.0,UC Santa Barbara,3,9.666666666666666,7.666666666666667,35.0,8.0,0.6666666666666666,1.6666666666666667,15.333333333333334,3.0,1.0,5.0,0.0,13.833333333333334,0.6666666666666666
09/14/2023,UC San Diego,1-3,4.0,46.0,25.0,138.0,0.152,42.0,10.0,15.0,64.0,84.0,6.0,5.0,6.0,3.0,64.0,0.0,UC San Diego,4,11.5,6.25,34.5,10.5,2.5,3.75,16.0,1.5,1.25,1.5,0.75,16.0,0.0
09/15/2023,Jackson St.,2-3,5.0,48.0,31.0,164.0,0.104,42.0,5.0,8.0,62.0,93.0,12.0,0.0,14.0,6.0,60.0,1.0,Jackson St.,5,9.6,6.2,32.8,8.4,1.0,1.6,12.4,2.4,0.0,2.8,1.2,12.0,0.2
09/16/2023,@ Belmont,1-3,4.0,47.0,20.0,152.0,0.178,44.0,3.0,12.0,56.0,94.0,3.0,6.0,24.0,2.0,68.0,2.0,Belmont,4,11.75,5.0,38.0,11.0,0.75,3.0,14.0,0.75,1.5,6.0,0.5,17.0,0.5
