date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/25/2023,Houston Christian,3-2,5.0,70.0,45.0,233.0,0.107,63.0,6.0,9.0,109.0,107.0,6.0,0.0,30.0,0.0,91.0,1.0,Houston Christian,5,14.0,9.0,46.6,12.6,1.2,1.8,21.8,1.2,0.0,6.0,0.0,18.2,0.2
08/25/2023,Wichita St.,3-1,4.0,41.0,17.0,138.0,0.174,36.0,6.0,7.0,64.0,75.0,3.0,3.0,26.0,1.0,63.0,3.0,Wichita St.,4,10.25,4.25,34.5,9.0,1.5,1.75,16.0,0.75,0.75,6.5,0.25,15.75,0.75
08/26/2023,Notre Dame,3-1,4.0,48.0,17.0,129.0,0.24,45.0,4.0,7.0,51.0,71.0,6.0,3.0,18.0,0.0,64.0,1.0,Notre Dame,4,12.0,4.25,32.25,11.25,1.0,1.75,12.75,1.5,0.75,4.5,0.0,16.0,0.25
08/27/2023,Abilene Christian,3-1,4.0,53.0,18.0,135.0,0.259,49.0,5.0,8.0,74.0,68.0,9.0,2.0,10.0,2.0,65.0,0.0,Abilene Christian,4,13.25,4.5,33.75,12.25,1.25,2.0,18.5,2.25,0.5,2.5,0.5,16.25,0.0
09/01/2023,Wyoming,1-3,4.0,43.0,24.0,159.0,0.119,38.0,5.0,6.0,56.0,87.0,3.0,2.0,22.0,2.0,61.0,0.0,Wyoming,4,10.75,6.0,39.75,9.5,1.25,1.5,14.0,0.75,0.5,5.5,0.5,15.25,0.0
09/02/2023,Tex. A&M-Commerce,3-0,3.0,37.0,20.0,131.0,0.13,31.0,5.0,8.0,52.0,59.0,2.0,1.0,20.0,1.0,53.0,0.0,Tex. A&M-Commerce,3,12.333333333333334,6.666666666666667,43.666666666666664,10.333333333333334,1.6666666666666667,2.6666666666666665,17.333333333333332,0.6666666666666666,0.3333333333333333,6.666666666666667,0.3333333333333333,17.666666666666668,0.0
09/02/2023,Louisiana,3-0,3.0,44.0,12.0,111.0,0.288,42.0,4.0,11.0,48.0,70.0,4.0,5.0,14.0,4.0,60.0,1.0,Louisiana,3,14.666666666666666,4.0,37.0,14.0,1.3333333333333333,3.6666666666666665,16.0,1.3333333333333333,1.6666666666666667,4.666666666666667,1.3333333333333333,20.0,0.3333333333333333
09/04/2023,@ North Texas,2-3,5.0,56.0,21.0,149.0,0.235,51.0,1.0,13.0,55.0,90.0,4.0,6.0,12.0,3.0,69.0,2.0,North Texas,5,11.2,4.2,29.8,10.2,0.2,2.6,11.0,0.8,1.2,2.4,0.6,13.8,0.4
09/05/2023,@ Abilene Christian,1-3,4.0,40.0,28.0,143.0,0.084,31.0,4.0,9.0,59.0,83.0,8.0,5.0,12.0,0.0,55.0,0.0,Abilene Christian,4,10.0,7.0,35.75,7.75,1.0,2.25,14.75,2.0,1.25,3.0,0.0,13.75,0.0
09/15/2023,@ SMU,2-3,5.0,55.0,22.0,163.0,0.202,52.0,4.0,12.0,74.0,96.0,8.0,0.0,14.0,1.0,66.0,2.0,SMU,5,11.0,4.4,32.6,10.4,0.8,2.4,14.8,1.6,0.0,2.8,0.2,13.2,0.4
09/16/2023,"LSU @ Dallas, TX",0-3,3.0,29.0,19.0,107.0,0.093,29.0,1.0,7.0,41.0,63.0,2.0,0.0,6.0,1.0,33.0,0.0,LSU,3,9.666666666666666,6.333333333333333,35.666666666666664,9.666666666666666,0.3333333333333333,2.3333333333333335,13.666666666666666,0.6666666666666666,0.0,2.0,0.3333333333333333,11.0,0.0
09/17/2023,"A&M-Corpus Christi @ Dallas, TX",3-1,4.0,57.0,14.0,137.0,0.314,50.0,2.0,12.0,53.0,75.0,2.0,4.0,18.0,2.0,72.0,0.0,A&M-Corpus Christi,4,14.25,3.5,34.25,12.5,0.5,3.0,13.25,0.5,1.0,4.5,0.5,18.0,0.0
09/22/2023,Kansas,3-2,5.0,59.0,28.0,192.0,0.161,56.0,9.0,10.0,80.0,95.0,4.0,7.0,8.0,3.0,79.0,1.0,Kansas,5,11.8,5.6,38.4,11.2,1.8,2.0,16.0,0.8,1.4,1.6,0.6,15.8,0.2
09/23/2023,Kansas,0-3,3.0,32.0,17.0,114.0,0.132,29.0,3.0,8.0,46.0,67.0,2.0,2.0,6.0,2.0,40.0,2.0,Kansas,3,10.666666666666666,5.666666666666667,38.0,9.666666666666666,1.0,2.6666666666666665,15.333333333333334,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,13.333333333333334,0.6666666666666666
09/28/2023,@ TCU,0-3,3.0,24.0,18.0,99.0,0.061,24.0,4.0,4.0,37.0,67.0,8.0,0.0,6.0,1.0,31.0,2.0,TCU,3,8.0,6.0,33.0,8.0,1.3333333333333333,1.3333333333333333,12.333333333333334,2.6666666666666665,0.0,2.0,0.3333333333333333,10.333333333333334,0.6666666666666666
09/29/2023,@ TCU,2-3,5.0,51.0,21.0,168.0,0.179,47.0,2.0,7.0,80.0,97.0,11.0,4.0,6.0,2.0,60.0,0.0,TCU,5,10.2,4.2,33.6,9.4,0.4,1.4,16.0,2.2,0.8,1.2,0.4,12.0,0.0
10/04/2023,UCF,0-3,3.0,31.0,16.0,87.0,0.172,30.0,3.0,5.0,30.0,70.0,7.0,0.0,2.0,2.0,35.0,0.0,UCF,3,10.333333333333334,5.333333333333333,29.0,10.0,1.0,1.6666666666666667,10.0,2.333333333333333,0.0,0.6666666666666666,0.6666666666666666,11.666666666666666,0.0
10/06/2023,@ Iowa St.,0-3,3.0,34.0,9.0,103.0,0.243,28.0,5.0,7.0,44.0,62.0,5.0,3.0,6.0,1.0,45.0,0.0,Iowa St.,3,11.333333333333334,3.0,34.333333333333336,9.333333333333334,1.6666666666666667,2.3333333333333335,14.666666666666666,1.6666666666666667,1.0,2.0,0.3333333333333333,15.0,0.0
10/13/2023,@ BYU,2-3,5.0,51.0,33.0,164.0,0.11,48.0,6.0,16.0,59.0,96.0,4.0,1.0,20.0,2.0,68.0,0.0,BYU,5,10.2,6.6,32.8,9.6,1.2,3.2,11.8,0.8,0.2,4.0,0.4,13.6,0.0
10/14/2023,@ BYU,0-3,3.0,36.0,19.0,106.0,0.16,35.0,2.0,9.0,44.0,68.0,8.0,1.0,14.0,2.0,46.0,1.0,BYU,3,12.0,6.333333333333333,35.333333333333336,11.666666666666666,0.6666666666666666,3.0,14.666666666666666,2.6666666666666665,0.3333333333333333,4.666666666666667,0.6666666666666666,15.333333333333334,0.3333333333333333
10/20/2023,Houston,0-3,3.0,24.0,16.0,99.0,0.081,23.0,1.0,6.0,39.0,66.0,8.0,1.0,12.0,2.0,32.0,1.0,Houston,3,8.0,5.333333333333333,33.0,7.666666666666667,0.3333333333333333,2.0,13.0,2.6666666666666665,0.3333333333333333,4.0,0.6666666666666666,10.666666666666666,0.3333333333333333
10/21/2023,Houston,0-3,3.0,25.0,17.0,104.0,0.077,25.0,7.0,9.0,43.0,67.0,6.0,1.0,16.0,2.0,41.0,1.0,Houston,3,8.333333333333334,5.666666666666667,34.666666666666664,8.333333333333334,2.3333333333333335,3.0,14.333333333333334,2.0,0.3333333333333333,5.333333333333333,0.6666666666666666,13.666666666666666,0.3333333333333333
10/25/2023,@ Cincinnati,0-3,3.0,32.0,20.0,116.0,0.103,27.0,2.0,7.0,43.0,70.0,7.0,1.0,4.0,1.0,37.0,2.0,Cincinnati,3,10.666666666666666,6.666666666666667,38.666666666666664,9.0,0.6666666666666666,2.3333333333333335,14.333333333333334,2.333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,12.333333333333334,0.6666666666666666
11/04/2023,Baylor,0-3,3.0,31.0,14.0,103.0,0.165,31.0,1.0,6.0,42.0,66.0,13.0,1.0,10.0,1.0,38.0,1.0,Baylor,3,10.333333333333334,4.666666666666667,34.333333333333336,10.333333333333334,0.3333333333333333,2.0,14.0,4.333333333333333,0.3333333333333333,3.3333333333333335,0.3333333333333333,12.666666666666666,0.3333333333333333
11/09/2023,West Virginia,3-0,3.0,31.0,11.0,70.0,0.286,28.0,10.0,8.0,22.0,33.0,0.0,2.0,12.0,2.0,49.0,0.0,West Virginia,3,10.333333333333334,3.6666666666666665,23.333333333333332,9.333333333333334,3.3333333333333335,2.6666666666666665,7.333333333333333,0.0,0.6666666666666666,4.0,0.6666666666666666,16.333333333333332,0.0
11/10/2023,West Virginia,3-2,5.0,58.0,27.0,161.0,0.193,54.0,6.0,8.0,64.0,90.0,6.0,1.0,24.0,2.0,77.0,2.0,West Virginia,5,11.6,5.4,32.2,10.8,1.2,1.6,12.8,1.2,0.2,4.8,0.4,15.4,0.4
11/17/2023,@ Kansas St.,0-3,3.0,29.0,19.0,108.0,0.093,29.0,2.0,6.0,52.0,64.0,3.0,2.0,2.0,0.0,34.0,0.0,Kansas St.,3,9.666666666666666,6.333333333333333,36.0,9.666666666666666,0.6666666666666666,2.0,17.333333333333332,1.0,0.6666666666666666,0.6666666666666666,0.0,11.333333333333334,0.0
11/18/2023,@ Kansas St.,0-3,3.0,28.0,13.0,98.0,0.153,26.0,2.0,9.0,43.0,66.0,4.0,0.0,12.0,0.0,36.0,1.0,Kansas St.,3,9.333333333333334,4.333333333333333,32.666666666666664,8.666666666666666,0.6666666666666666,3.0,14.333333333333334,1.3333333333333333,0.0,4.0,0.0,12.0,0.3333333333333333
11/22/2023,Oklahoma,3-2,5.0,56.0,21.0,157.0,0.223,52.0,8.0,7.0,61.0,92.0,7.0,9.0,8.0,2.0,77.0,0.0,Oklahoma,5,11.2,4.2,31.4,10.4,1.6,1.4,12.2,1.4,1.8,1.6,0.4,15.4,0.0
11/25/2023,@ Texas,0-3,3.0,24.0,19.0,96.0,0.052,24.0,8.0,8.0,36.0,68.0,8.0,0.0,10.0,0.0,37.0,0.0,Texas,3,8.0,6.333333333333333,32.0,8.0,2.6666666666666665,2.6666666666666665,12.0,2.6666666666666665,0.0,3.3333333333333335,0.0,12.333333333333334,0.0
