date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,"Marshall @ Daytona Beach, FL",3-0,3.0,53.0,15.0,121.0,0.314,50.0,9.0,7.0,46.0,60.0,2.0,2.0,2.0,0.0,65.0,0.0
08/25/2023,@ Bethune-Cookman,3-0,3.0,50.0,20.0,112.0,0.268,48.0,10.0,7.0,57.0,50.0,2.0,1.0,6.0,1.0,64.0,0.0
08/29/2023,Col. of Charleston,3-1,4.0,58.0,26.0,164.0,0.195,54.0,6.0,9.0,73.0,85.0,1.0,1.0,8.0,0.0,69.0,2.0
09/01/2023,"Florida A&M @ Jacksonville, FL",3-2,5.0,63.0,18.0,160.0,0.281,57.0,10.0,19.0,80.0,84.0,7.0,0.0,8.0,0.0,77.0,0.0
09/01/2023,@ Jacksonville,3-2,5.0,56.0,14.0,148.0,0.284,49.0,7.0,14.0,68.0,85.0,9.0,2.0,6.0,0.0,68.0,0.0
09/02/2023,"Northern Ariz. @ Jacksonville, FL",3-0,3.0,45.0,15.0,114.0,0.263,40.0,7.0,7.0,57.0,54.0,3.0,2.0,8.0,0.0,58.0,0.0
09/08/2023,@ Queens (NC),3-0,3.0,47.0,15.0,131.0,0.244,44.0,5.0,11.0,63.0,58.0,7.0,2.0,8.0,2.0,58.0,1.0
09/08/2023,"UNC Asheville @ Charlotte, NC",3-0,3.0,45.0,21.0,111.0,0.216,43.0,6.0,7.0,39.0,58.0,6.0,1.0,6.0,1.0,55.0,0.0
09/09/2023,"South Carolina St. @ Charlotte, NC",3-0,3.0,47.0,7.0,91.0,0.44,39.0,9.0,7.0,38.0,35.0,0.0,1.0,10.0,0.0,62.0,2.0
09/15/2023,"Florida A&M @ Charleston, SC",3-2,5.0,53.0,21.0,160.0,0.2,45.0,13.0,13.0,50.0,101.0,10.0,1.0,10.0,2.0,72.0,3.0
09/15/2023,"South Carolina St. @ Charleston, SC",3-0,3.0,39.0,15.0,104.0,0.231,36.0,6.0,9.0,32.0,47.0,2.0,0.0,6.0,1.0,48.0,2.0
09/16/2023,@ Charleston So.,3-2,5.0,60.0,30.0,188.0,0.16,58.0,8.0,7.0,90.0,100.0,2.0,2.0,12.0,0.0,76.0,2.0
09/22/2023,@ Chattanooga,3-1,4.0,68.0,25.0,182.0,0.236,63.0,6.0,8.0,93.0,84.0,0.0,2.0,10.0,4.0,81.0,1.0
09/23/2023,@ Samford,3-0,3.0,49.0,17.0,127.0,0.252,42.0,2.0,8.0,61.0,57.0,3.0,0.0,18.0,2.0,60.0,1.0
09/27/2023,Western Caro.,3-0,3.0,37.0,16.0,126.0,0.167,31.0,7.0,8.0,66.0,58.0,4.0,0.0,6.0,1.0,47.0,1.0
10/01/2023,Mercer,3-2,5.0,64.0,27.0,164.0,0.226,63.0,10.0,14.0,80.0,94.0,9.0,1.0,12.0,3.0,81.0,0.0
10/05/2023,@ UNC Greensboro,3-1,4.0,56.0,19.0,142.0,0.261,53.0,7.0,4.0,64.0,76.0,1.0,6.0,18.0,0.0,78.0,1.0
10/07/2023,Wofford,3-1,4.0,71.0,24.0,198.0,0.237,65.0,8.0,9.0,89.0,96.0,6.0,2.0,10.0,0.0,86.0,0.0
10/13/2023,@ Furman,3-2,5.0,69.0,25.0,194.0,0.227,64.0,6.0,12.0,86.0,99.0,4.0,5.0,24.0,6.0,92.0,0.0
10/14/2023,@ ETSU,3-0,3.0,46.0,13.0,118.0,0.28,41.0,5.0,3.0,51.0,66.0,3.0,0.0,8.0,0.0,55.0,3.0
10/20/2023,Samford,3-0,3.0,38.0,15.0,98.0,0.235,32.0,5.0,10.0,42.0,46.0,2.0,0.0,8.0,0.0,47.0,2.0
10/21/2023,Chattanooga,3-2,5.0,73.0,21.0,199.0,0.261,69.0,4.0,7.0,98.0,92.0,1.0,1.0,12.0,0.0,84.0,0.0
10/27/2023,@ Mercer,3-0,3.0,38.0,12.0,91.0,0.286,38.0,8.0,5.0,52.0,39.0,2.0,0.0,12.0,1.0,52.0,0.0
10/28/2023,@ Western Caro.,2-3,5.0,60.0,31.0,183.0,0.158,56.0,4.0,8.0,84.0,95.0,2.0,1.0,10.0,3.0,70.0,0.0
11/02/2023,@ Wofford,2-3,5.0,54.0,25.0,195.0,0.149,50.0,2.0,10.0,103.0,98.0,9.0,10.0,6.0,4.0,69.0,0.0
11/04/2023,UNC Greensboro,3-0,3.0,36.0,14.0,94.0,0.234,31.0,5.0,7.0,36.0,43.0,6.0,1.0,12.0,3.0,48.0,0.0
11/10/2023,ETSU,3-1,4.0,62.0,21.0,162.0,0.253,60.0,5.0,7.0,69.0,77.0,3.0,1.0,10.0,3.0,73.0,0.0
11/11/2023,Furman,3-2,5.0,69.0,20.0,190.0,0.258,66.0,13.0,11.0,93.0,91.0,7.0,4.0,12.0,3.0,92.0,0.0
11/17/2023,"ETSU @ Spartanburg, SC",3-0,3.0,41.0,11.0,112.0,0.268,39.0,4.0,8.0,54.0,63.0,5.0,6.0,10.0,1.0,56.0,1.0
11/18/2023,"Samford @ Spartanburg, SC",0-3,3.0,33.0,15.0,120.0,0.15,30.0,2.0,4.0,58.0,63.0,6.0,4.0,2.0,1.0,40.0,0.0
12/01/2023,@ East Carolina,0-3,3.0,36.0,20.0,131.0,0.122,34.0,2.0,6.0,66.0,68.0,1.0,1.0,0.0,0.0,39.0,0.0
