date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,@ Georgia,0-3,3.0,25.0,22.0,87.0,0.034,24.0,5.0,7.0,38.0,60.0,7.0,0.0,6.0,0.0,33.0,1.0
08/26/2023,"Western Caro. @ Athens, GA",3-2,5.0,64.0,32.0,188.0,0.17,62.0,5.0,8.0,78.0,99.0,8.0,0.0,20.0,2.0,79.0,2.0
08/27/2023,"Florida St. @ Athens, GA",0-3,3.0,38.0,10.0,99.0,0.283,32.0,3.0,7.0,33.0,69.0,5.0,1.0,2.0,1.0,43.0,1.0
09/01/2023,Hofstra,1-3,4.0,31.0,18.0,110.0,0.118,28.0,2.0,10.0,41.0,75.0,6.0,3.0,6.0,2.0,39.0,3.0
09/02/2023,Merrimack,3-1,4.0,53.0,13.0,105.0,0.381,48.0,11.0,18.0,42.0,63.0,5.0,4.0,2.0,0.0,69.0,1.0
09/02/2023,Lehigh,2-3,5.0,63.0,22.0,140.0,0.293,59.0,7.0,10.0,65.0,89.0,13.0,1.0,4.0,1.0,73.0,1.0
09/07/2023,Sacred Heart,3-0,3.0,38.0,15.0,113.0,0.204,33.0,5.0,14.0,62.0,58.0,7.0,8.0,6.0,1.0,54.0,0.0
09/09/2023,"Rhode Island @ New Haven, CT",3-2,5.0,56.0,21.0,145.0,0.241,52.0,9.0,16.0,55.0,88.0,5.0,5.0,8.0,2.0,74.0,2.0
09/09/2023,@ Yale,1-3,4.0,52.0,23.0,138.0,0.21,48.0,7.0,12.0,61.0,81.0,7.0,1.0,14.0,0.0,67.0,2.0
09/15/2023,Michigan St.,0-3,3.0,37.0,18.0,90.0,0.211,33.0,3.0,11.0,28.0,62.0,2.0,2.0,4.0,1.0,44.0,0.0
09/16/2023,Binghamton,3-2,5.0,57.0,24.0,178.0,0.185,54.0,12.0,14.0,82.0,90.0,7.0,3.0,8.0,1.0,76.0,1.0
09/17/2023,Brown,0-3,3.0,31.0,27.0,119.0,0.034,31.0,2.0,9.0,48.0,69.0,4.0,3.0,6.0,2.0,39.0,0.0
09/22/2023,@ St. John's (NY),0-3,3.0,26.0,16.0,87.0,0.115,24.0,2.0,4.0,32.0,68.0,4.0,1.0,2.0,0.0,30.0,2.0
09/23/2023,@ Seton Hall,0-3,3.0,31.0,21.0,106.0,0.094,30.0,4.0,6.0,49.0,68.0,9.0,1.0,12.0,0.0,42.0,0.0
09/30/2023,Marquette,1-3,4.0,43.0,21.0,139.0,0.158,42.0,3.0,9.0,56.0,86.0,9.0,4.0,6.0,1.0,53.0,2.0
10/01/2023,DePaul,2-3,5.0,64.0,26.0,197.0,0.193,61.0,9.0,10.0,84.0,101.0,4.0,5.0,22.0,2.0,89.0,1.0
10/06/2023,@ Villanova,0-3,3.0,36.0,17.0,117.0,0.162,27.0,4.0,6.0,48.0,65.0,2.0,0.0,8.0,1.0,44.0,0.0
10/07/2023,@ Georgetown,1-3,4.0,53.0,19.0,155.0,0.219,44.0,5.0,13.0,60.0,77.0,3.0,0.0,12.0,0.0,64.0,3.0
10/13/2023,Xavier,0-3,3.0,34.0,19.0,117.0,0.128,33.0,5.0,7.0,47.0,72.0,5.0,2.0,4.0,1.0,43.0,0.0
10/14/2023,Butler,3-1,4.0,61.0,23.0,161.0,0.236,56.0,2.0,11.0,73.0,83.0,8.0,1.0,4.0,2.0,66.0,0.0
10/18/2023,Providence,3-1,4.0,52.0,28.0,133.0,0.18,51.0,13.0,8.0,60.0,73.0,8.0,1.0,10.0,3.0,71.0,0.0
10/20/2023,Creighton,0-3,3.0,27.0,17.0,103.0,0.097,26.0,4.0,4.0,38.0,68.0,3.0,1.0,2.0,1.0,33.0,0.0
10/27/2023,@ DePaul,1-3,4.0,50.0,23.0,146.0,0.185,47.0,5.0,10.0,63.0,89.0,6.0,2.0,16.0,0.0,65.0,1.0
10/28/2023,@ Marquette,0-3,3.0,31.0,19.0,127.0,0.094,29.0,7.0,7.0,59.0,66.0,4.0,1.0,0.0,1.0,39.0,0.0
11/03/2023,Seton Hall,0-3,3.0,36.0,23.0,114.0,0.114,34.0,4.0,7.0,43.0,68.0,6.0,1.0,12.0,0.0,47.0,1.0
11/04/2023,St. John's (NY),0-3,3.0,31.0,18.0,100.0,0.13,29.0,3.0,5.0,32.0,69.0,4.0,0.0,12.0,2.0,40.0,0.0
11/10/2023,@ Butler,0-3,3.0,45.0,15.0,115.0,0.261,40.0,4.0,7.0,55.0,65.0,1.0,0.0,10.0,2.0,54.0,2.0
11/12/2023,@ Xavier,1-3,4.0,55.0,25.0,166.0,0.181,51.0,6.0,6.0,58.0,93.0,4.0,1.0,12.0,2.0,68.0,1.0
11/17/2023,Georgetown,2-3,5.0,67.0,22.0,168.0,0.268,64.0,1.0,7.0,58.0,97.0,6.0,2.0,20.0,1.0,80.0,2.0
11/18/2023,Villanova,3-2,5.0,61.0,25.0,164.0,0.22,56.0,12.0,12.0,65.0,100.0,7.0,1.0,22.0,3.0,85.0,1.0
