date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe,opponent,sets_from_result,kills/set,errors/set,total_attacks/set,assists/set,aces/set,serr/set,digs/set,rerr/set,b_solo/set,b_assist/set,b_error/set,pts/set,bhe/set
08/25/2023,"Villanova @ Kalamazoo, MI",2-3,5.0,60.0,25.0,153.0,0.229,58.0,5.0,15.0,68.0,89.0,3.0,1.0,16.0,5.0,74.0,2.0,Villanova,5,12.0,5.0,30.6,11.6,1.0,3.0,13.6,0.6,0.2,3.2,1.0,14.8,0.4
08/26/2023,"Milwaukee @ Kalamazoo, MI",3-0,3.0,49.0,21.0,111.0,0.252,47.0,5.0,8.0,51.0,59.0,4.0,0.0,14.0,0.0,61.0,1.0,Milwaukee,3,16.333333333333332,7.0,37.0,15.666666666666666,1.6666666666666667,2.6666666666666665,17.0,1.3333333333333333,0.0,4.666666666666667,0.0,20.333333333333332,0.3333333333333333
08/26/2023,@ Western Mich.,1-3,4.0,52.0,30.0,163.0,0.135,49.0,5.0,12.0,61.0,88.0,1.0,3.0,12.0,1.0,66.0,0.0,Western Mich.,4,13.0,7.5,40.75,12.25,1.25,3.0,15.25,0.25,0.75,3.0,0.25,16.5,0.0
09/01/2023,"LSU @ Omaha, NE",3-0,3.0,56.0,13.0,116.0,0.371,48.0,5.0,3.0,54.0,61.0,1.0,2.0,6.0,1.0,66.0,2.0,LSU,3,18.666666666666668,4.333333333333333,38.666666666666664,16.0,1.6666666666666667,1.0,18.0,0.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,22.0,0.6666666666666666
09/02/2023,"Ball St. @ Omaha, NE",3-0,3.0,48.0,15.0,112.0,0.295,46.0,5.0,4.0,51.0,60.0,4.0,2.0,11.0,5.0,60.5,0.0,Ball St.,3,16.0,5.0,37.333333333333336,15.333333333333334,1.6666666666666667,1.3333333333333333,17.0,1.3333333333333333,0.6666666666666666,3.6666666666666665,1.6666666666666667,20.166666666666668,0.0
09/03/2023,@ Creighton,1-3,4.0,61.0,30.0,196.0,0.158,57.0,3.0,6.0,91.0,101.0,4.0,2.0,12.0,2.0,72.0,2.0,Creighton,4,15.25,7.5,49.0,14.25,0.75,1.5,22.75,1.0,0.5,3.0,0.5,18.0,0.5
09/07/2023,"TCU @ Bryan-College Station, TX",3-2,5.0,66.0,26.0,168.0,0.238,65.0,5.0,9.0,81.0,87.0,7.0,1.0,10.0,3.0,77.0,2.0,TCU,5,13.2,5.2,33.6,13.0,1.0,1.8,16.2,1.4,0.2,2.0,0.6,15.4,0.4
09/08/2023,@ Texas A&M,0-3,3.0,37.0,22.0,100.0,0.15,36.0,3.0,4.0,37.0,64.0,2.0,0.0,4.0,1.0,42.0,1.0,Texas A&M,3,12.333333333333334,7.333333333333333,33.333333333333336,12.0,1.0,1.3333333333333333,12.333333333333334,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,14.0,0.3333333333333333
09/09/2023,"Utah St. @ Bryan-College Station, TX",0-3,3.0,32.0,27.0,111.0,0.045,31.0,0.0,5.0,37.0,66.0,3.0,0.0,6.0,2.0,35.0,2.0,Utah St.,3,10.666666666666666,9.0,37.0,10.333333333333334,0.0,1.6666666666666667,12.333333333333334,1.0,0.0,2.0,0.6666666666666666,11.666666666666666,0.6666666666666666
09/14/2023,North Dakota,3-0,3.0,44.0,15.0,94.0,0.309,40.0,5.0,4.0,44.0,54.0,5.0,2.0,14.0,1.0,58.0,2.0,North Dakota,3,14.666666666666666,5.0,31.333333333333332,13.333333333333334,1.6666666666666667,1.3333333333333333,14.666666666666666,1.6666666666666667,0.6666666666666666,4.666666666666667,0.3333333333333333,19.333333333333332,0.6666666666666666
09/15/2023,Dayton,0-3,3.0,43.0,22.0,139.0,0.151,42.0,0.0,3.0,50.0,71.0,2.0,3.0,10.0,1.0,51.0,3.0,Dayton,3,14.333333333333334,7.333333333333333,46.333333333333336,14.0,0.0,1.0,16.666666666666668,0.6666666666666666,1.0,3.3333333333333335,0.3333333333333333,17.0,1.0
09/16/2023,NIU,3-0,3.0,50.0,12.0,127.0,0.299,50.0,7.0,1.0,61.0,48.0,4.0,1.0,4.0,1.0,60.0,3.0,NIU,3,16.666666666666668,4.0,42.333333333333336,16.666666666666668,2.3333333333333335,0.3333333333333333,20.333333333333332,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333,20.0,1.0
