date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,tb,pts,bhe
08/26/2022,"Southern Utah @ Ogden, UT",3-1,4.0,67.0,23.0,148.0,0.297,64.0,4.0,7.0,69.0,71.0,3.0,2.0,2.0,1.0,3.0,74.0,3.0
08/26/2022,"UC Riverside @ Ogden, UT",3-1,4.0,59.0,21.0,161.0,0.236,51.0,8.0,13.0,62.0,84.0,6.0,3.0,8.0,3.0,7.0,74.0,1.0
08/27/2022,@ Weber St.,1-3,4.0,54.0,23.0,138.0,0.225,52.0,3.0,12.0,53.0,87.0,6.0,4.0,16.0,2.0,12.0,69.0,2.0
09/02/2022,Saint Mary's (CA),3-1,4.0,60.0,21.0,134.0,0.291,55.0,9.0,5.0,63.0,69.0,4.0,1.0,16.0,1.0,9.0,78.0,0.0
09/03/2022,@ Sacramento St.,3-0,3.0,53.0,15.0,104.0,0.365,51.0,8.0,8.0,40.0,59.0,2.0,0.0,2.0,4.0,1.0,62.0,2.0
09/09/2022,"UCLA @ Los Angeles, CA",1-3,4.0,37.0,31.0,124.0,0.048,36.0,3.0,11.0,37.0,82.0,6.0,2.0,16.0,4.0,10.0,50.0,0.0
09/10/2022,@ LMU (CA),2-3,5.0,56.0,26.0,146.0,0.205,51.0,3.0,17.0,46.0,94.0,5.0,1.0,8.0,0.0,5.0,64.0,0.0
09/16/2022,"New Mexico St. @ Los Angeles, CA",3-0,3.0,37.0,11.0,83.0,0.313,34.0,14.0,1.0,44.0,42.0,5.0,0.0,21.0,0.0,10.5,61.5,1.0
09/17/2022,"Milwaukee @ Los Angeles, CA",3-1,4.0,65.0,22.0,148.0,0.291,62.0,9.0,7.0,48.0,79.0,1.0,1.0,19.0,3.0,10.5,84.5,0.0
09/18/2022,@ Southern California,0-3,3.0,29.0,17.0,93.0,0.129,28.0,3.0,9.0,31.0,59.0,6.0,3.0,8.0,1.0,7.0,39.0,0.0
09/22/2022,@ San Diego St.,3-1,4.0,47.0,24.0,118.0,0.195,42.0,9.0,6.0,54.0,66.0,3.0,2.0,28.0,2.0,16.0,72.0,1.0
09/24/2022,@ Fresno St.,3-2,5.0,63.0,27.0,132.0,0.273,56.0,15.0,6.0,40.0,87.0,8.0,1.0,17.0,0.0,9.5,87.5,0.0
09/29/2022,Boise St.,3-1,4.0,62.0,21.0,127.0,0.323,59.0,7.0,9.0,49.0,73.0,9.0,2.0,14.0,0.0,9.0,78.0,1.0
10/01/2022,Utah St.,3-1,4.0,54.0,17.0,107.0,0.346,53.0,6.0,8.0,41.0,70.0,2.0,2.0,15.0,0.0,9.5,69.5,1.0
10/06/2022,@ Wyoming,3-1,4.0,59.0,33.0,144.0,0.181,54.0,2.0,6.0,57.0,83.0,3.0,1.0,18.0,1.0,10.0,71.0,2.0
10/08/2022,@ Colorado St.,3-2,5.0,70.0,32.0,176.0,0.216,69.0,4.0,10.0,72.0,90.0,2.0,7.0,12.0,1.0,13.0,87.0,0.0
10/13/2022,New Mexico,3-0,3.0,35.0,19.0,89.0,0.18,34.0,9.0,5.0,39.0,47.0,6.0,2.0,13.0,1.0,8.5,52.5,0.0
10/15/2022,Air Force,3-0,3.0,50.0,12.0,92.0,0.413,43.0,8.0,10.0,34.0,46.0,4.0,2.0,3.0,0.0,3.5,61.5,0.0
10/18/2022,Nevada,3-1,4.0,64.0,24.0,130.0,0.308,61.0,6.0,10.0,63.0,64.0,5.0,2.0,10.0,4.0,7.0,77.0,0.0
10/20/2022,@ UNLV,1-3,4.0,66.0,33.0,184.0,0.179,59.0,6.0,15.0,84.0,100.0,3.0,3.0,4.0,4.0,5.0,77.0,0.0
10/27/2022,@ Air Force,0-3,3.0,50.0,29.0,129.0,0.163,45.0,1.0,9.0,41.0,72.0,1.0,1.0,10.0,3.0,6.0,57.0,0.0
10/29/2022,@ New Mexico,3-1,4.0,62.0,28.0,164.0,0.207,60.0,4.0,7.0,75.0,81.0,1.0,3.0,16.0,2.0,11.0,77.0,1.0
11/03/2022,Colorado St.,3-1,4.0,55.0,14.0,122.0,0.336,53.0,14.0,4.0,36.0,64.0,4.0,1.0,18.0,0.0,10.0,79.0,0.0
11/05/2022,Wyoming,3-1,4.0,53.0,23.0,125.0,0.24,49.0,9.0,9.0,40.0,71.0,8.0,7.0,13.0,2.0,13.5,75.5,1.0
11/10/2022,@ Utah St.,2-3,5.0,62.0,27.0,159.0,0.22,62.0,7.0,20.0,59.0,99.0,4.0,11.0,14.0,4.0,18.0,87.0,0.0
11/12/2022,@ Boise St.,3-1,4.0,67.0,20.0,143.0,0.329,64.0,8.0,7.0,55.0,82.0,4.0,2.0,16.0,2.0,10.0,85.0,0.0
11/17/2022,Fresno St.,3-0,3.0,49.0,16.0,108.0,0.306,47.0,9.0,6.0,42.0,58.0,6.0,1.0,4.0,0.0,3.0,61.0,0.0
11/19/2022,San Diego St.,1-3,4.0,45.0,28.0,150.0,0.113,38.0,7.0,7.0,63.0,87.0,3.0,4.0,18.0,1.0,13.0,65.0,0.0
11/24/2022,"San Diego St. @ Fort Collins, CO",3-1,4.0,52.0,22.0,133.0,0.226,45.0,11.0,9.0,55.0,79.0,5.0,1.0,14.0,1.0,8.0,71.0,1.0
11/25/2022,"Utah St. @ Fort Collins, CO",1-3,4.0,43.0,28.0,142.0,0.106,38.0,3.0,8.0,47.0,89.0,4.0,0.0,16.0,0.0,8.0,54.0,0.0
