date,opponent/venue,result,sets,kills,errors,total_attacks,hit_pct,assists,aces,serr,digs,retatt,rerr,b_solo,b_assist,b_error,pts,bhe
08/25/2023,"Coastal Carolina @ Charlotte, NC",0-3,3.0,30.0,17.0,97.0,0.134,29.0,3.0,10.0,38.0,66.0,6.0,0.0,8.0,0.0,37.0,1.0
08/25/2023,@ Charlotte,1-3,4.0,34.0,27.0,145.0,0.048,29.0,9.0,10.0,57.0,88.0,7.0,2.0,20.0,1.0,55.0,0.0
08/26/2023,"Charleston So. @ Charlotte, NC",1-3,4.0,46.0,29.0,151.0,0.113,39.0,2.0,10.0,62.0,90.0,6.0,2.0,6.0,1.0,53.0,1.0
09/01/2023,"Georgia St. @ Spartanburg, SC",0-3,3.0,33.0,26.0,124.0,0.056,31.0,1.0,8.0,62.0,67.0,8.0,3.0,10.0,1.0,42.0,0.0
09/01/2023,"South Carolina St. @ Spartanburg, SC",3-0,3.0,33.0,14.0,84.0,0.226,27.0,14.0,5.0,46.0,36.0,2.0,1.0,6.0,0.0,51.0,0.0
09/02/2023,@ Wofford,0-3,3.0,32.0,19.0,107.0,0.121,30.0,3.0,8.0,42.0,68.0,7.0,1.0,6.0,1.0,39.0,2.0
09/05/2023,@ Duke,0-3,3.0,21.0,22.0,90.0,-0.011,20.0,0.0,6.0,32.0,65.0,7.0,0.0,6.0,4.0,24.0,0.0
09/08/2023,Western Caro.,3-0,3.0,32.0,15.0,104.0,0.163,29.0,9.0,9.0,51.0,51.0,1.0,6.0,6.0,3.0,50.0,0.0
09/10/2023,N.C. Central,3-0,3.0,45.0,20.0,114.0,0.219,40.0,1.0,10.0,47.0,61.0,3.0,0.0,18.0,1.0,55.0,0.0
09/16/2023,@ Hofstra,0-3,3.0,41.0,8.0,102.0,0.324,38.0,4.0,5.0,38.0,75.0,8.0,0.0,10.0,2.0,50.0,1.0
09/17/2023,@ Hofstra,1-3,4.0,36.0,19.0,115.0,0.148,34.0,8.0,7.0,38.0,81.0,9.0,1.0,6.0,1.0,48.0,0.0
09/23/2023,UNCW,0-3,3.0,27.0,15.0,112.0,0.107,26.0,4.0,7.0,51.0,65.0,8.0,1.0,18.0,0.0,41.0,0.0
09/24/2023,UNCW,2-3,5.0,57.0,30.0,162.0,0.167,53.0,11.0,12.0,61.0,92.0,3.0,1.0,12.0,1.0,75.0,0.0
09/30/2023,Northeastern,2-3,5.0,62.0,21.0,156.0,0.263,59.0,6.0,14.0,69.0,89.0,12.0,1.0,14.0,2.0,76.0,0.0
10/01/2023,Northeastern,1-3,4.0,46.0,24.0,144.0,0.153,43.0,4.0,12.0,56.0,87.0,7.0,5.0,16.0,1.0,63.0,2.0
10/07/2023,@ William & Mary,1-3,4.0,48.0,21.0,131.0,0.206,45.0,4.0,11.0,52.0,85.0,9.0,2.0,14.0,1.0,61.0,0.0
10/08/2023,@ William & Mary,0-3,3.0,37.0,19.0,107.0,0.168,37.0,1.0,8.0,49.0,68.0,6.0,1.0,6.0,0.0,42.0,0.0
10/14/2023,N.C. A&T,2-3,5.0,51.0,25.0,148.0,0.176,45.0,4.0,18.0,62.0,91.0,9.0,5.0,14.0,1.0,67.0,0.0
10/15/2023,N.C. A&T,0-3,3.0,29.0,22.0,100.0,0.07,27.0,9.0,7.0,36.0,64.0,6.0,1.0,8.0,3.0,43.0,1.0
10/21/2023,@ Col. of Charleston,1-3,4.0,48.0,28.0,167.0,0.12,42.0,7.0,11.0,70.0,91.0,8.0,2.0,8.0,1.0,61.0,1.0
10/22/2023,@ Col. of Charleston,2-3,5.0,68.0,30.0,213.0,0.178,48.0,15.0,10.0,80.0,124.0,7.0,4.0,18.0,2.0,96.0,1.0
10/28/2023,Hampton,3-0,3.0,44.0,14.0,105.0,0.286,38.0,6.0,7.0,45.0,44.0,2.0,1.0,2.0,0.0,52.0,2.0
10/29/2023,Hampton,3-0,3.0,38.0,17.0,85.0,0.247,36.0,11.0,5.0,33.0,41.0,2.0,3.0,10.0,1.0,57.0,1.0
11/04/2023,@ Towson,0-3,3.0,26.0,19.0,84.0,0.083,25.0,2.0,5.0,34.0,64.0,2.0,0.0,4.0,2.0,30.0,0.0
11/05/2023,@ Towson,0-3,3.0,24.0,21.0,95.0,0.032,24.0,4.0,7.0,38.0,63.0,7.0,1.0,7.0,0.0,32.5,0.0
11/11/2023,Delaware,0-3,3.0,33.0,25.0,97.0,0.082,32.0,4.0,11.0,41.0,65.0,3.0,2.0,4.0,0.0,41.0,0.0
11/12/2023,Delaware,1-3,4.0,60.0,24.0,145.0,0.248,56.0,2.0,8.0,53.0,87.0,8.0,0.0,10.0,1.0,67.0,0.0
